,m1,m2,m3,m4,m5,m6,m7,m8
T1,163.12,10.6,109.88,25.5,10.05,26.34,109.3,26.62
T2,160.54,10.44,106.26,26.17,10.32,25.24,105.61,25.84
T3,152.55,10.33,101.87,25.46,10.41,26.12,103.21,26.44
T4,164.97,10.52,105.3,26.68,10.07,25.88,104.18,27.37
T5,158.72,11.0,103.44,25.04,10.06,25.15,103.14,27.35
T6,162.29,10.33,104.24,26.37,10.04,25.46,106.18,27.01
T7,153.91,10.2,106.4,26.15,10.11,25.88,107.1,26.41
T8,156.01,10.67,109.85,25.24,10.91,25.35,103.39,27.1
T9,153.97,10.53,106.88,27.34,10.26,27.48,101.86,25.12
T10,150.6,10.4,102.14,26.7,10.93,26.3,105.94,27.04
