etc_id,h_index
28,15.1
57,4.16
20,18.4
18,17.11
30,17.71
9,6.87
77,14.5
93,27.51
44,13.91
79,22.94
29,4.15
23,18.8
64,27.66
61,20.59
46,15.24
82,2.34
32,3.85
19,27
97,2.73
17,17.22
75,13.63
71,3.76
86,28.77
92,15.28
25,24.76
15,24.99
7,20.58
95,17.63
47,3.04
88,15.05
0,8.8
55,16.91
24,4.14
26,15.81
78,7.27
58,27.87
14,27.47
3,4.22
33,16
8,19.23
2,31.9
13,16.06
52,2.25
11,17.84
98,16.49
37,19.25
91,8.37
1,5.64
42,4.15
21,16.31
45,16.33
74,19.14
12,38.06
84,27.46
70,5.01
69,5.67
4,6.07
66,9.93
87,25.9
81,17.6
22,6.53
27,4.21
68,14.63
90,17.42
31,8.38
36,27.35
54,7.46
65,17.52
50,19.57
67,16.33
39,4.92
6,27.69
49,21.11
43,6.81
72,30.07
40,15.6
85,39.5
41,15.33
94,2.71
10,28.12
83,37.69
48,28.82
59,16.89
96,15.65
73,31.48
51,18.26
60,9.43
56,8.7
34,3.38
76,17.86
99,6.39
62,16.67
38,13.69
89,13.38
80,25.62
53,7.63
63,28.12
35,14.8
16,4.29
5,20.42
100,15.1
