task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
2,0.127,6.153,0.983,4.779,0.836
2,0.975,6.133,1.015,5.743,0.8
1,2.771,1.035,1.233,1.961,0.615
1,2.961,1.203,0.96,0.994,0.612
1,3.085,1.288,0.9,1.343,0.92
1,3.373,1.021,0.918,1.813,0.927
1,3.537,1.096,0.817,1.429,1.128
1,3.735,2.333,0.729,2.012,0.929
2,3.984,5.105,0.672,3.969,0.611
2,4.344,2.677,0.727,4.289,0.699
1,6.761,2.149,0.936,0.987,0.623
1,7.127,1.206,1.239,1.405,0.91
2,7.2,4.933,1.564,4.2,1.891
2,7.232,7.287,3.139,2.449,1.961
1,8.385,1.288,0.92,1.253,0.816
1,8.887,0.944,1.258,1.221,0.943
2,11.542,11.718,0.567,9.789,0.836
1,12.341,1.253,0.983,1.799,0.998
2,12.906,2.838,2.167,13.409,0.89
2,15.032,4.16,3.244,4.781,3.085
1,16.012,1.407,1.451,1.252,0.929
2,16.554,7.584,1.404,2.229,0.611
2,17.967,3.929,2.669,2.135,2.766
1,19.556,1.318,1.25,2.155,1.282
1,20.521,1.217,0.623,2.091,0.956
1,23.154,1.247,0.617,1.82,0.853
2,24.235,4.033,1.001,3.21,2.954
2,27.397,2.31,1.541,2.587,1.618
2,27.578,5.018,2.247,5.089,1.466
1,28.296,1.286,1.339,1.422,0.849
1,28.704,1.252,0.613,1.435,0.871
1,31.443,1.257,0.869,1.417,0.821
2,31.731,1.602,0.827,4.507,2.213
2,33.543,5.708,2.038,1.969,0.689
1,34.155,2.128,0.827,1.467,1.232
1,34.27,1.287,1.002,1.436,1.522
2,37.31,3.169,1.028,4.99,2.4
2,38.072,2.638,0.814,2.271,0.855
2,41.38,2.313,0.835,2.864,2.755
2,41.381,11.226,1.092,5.018,0.952
2,42.205,8.715,0.878,7.084,1.28
1,42.529,1.216,1.183,1.441,1.229
1,42.562,1.328,0.618,1.275,0.903
1,42.935,1.301,0.652,1.422,1.09
2,45.641,1.641,1.336,2.119,1.091
2,47.559,10.636,0.819,2.485,2.139
1,47.997,1.408,0.947,1.244,0.84
2,48.771,2.873,0.905,2.486,1.279
1,52.781,1.213,0.895,1.935,0.629
1,54.921,1.78,1.401,0.953,0.89
2,56.408,4.776,1.018,6.553,0.67
2,57.395,2.573,0.971,4.327,1.957
1,57.474,2.016,0.876,1.228,0.612
1,57.611,1.018,0.611,1.038,0.886
2,59.518,5.1,2.903,2.687,1.53
1,63.935,1.263,0.91,1.066,1.166
2,65.055,3.911,1.172,4.174,2.546
1,65.512,1.82,1.214,1.231,0.85
1,65.623,1.506,1.483,1.461,0.835
1,71.267,2.382,0.621,1.792,1.115
1,72.528,0.936,1.383,2.103,0.899
1,76.167,1.304,0.937,1.339,0.72
1,76.423,1.272,0.872,1.123,0.587
2,76.663,1.993,1.172,3.004,1.919
2,76.914,5.915,0.542,1.918,1.04
2,78.047,12.106,1.5,11.821,0.9
2,78.554,7.238,1.822,3.911,1.707
1,78.59,1.294,0.865,1.248,1.4
1,81.995,1.815,0.624,1.094,0.995
1,82.983,1.261,0.788,1.292,0.837
2,83.987,8.062,1.587,7.178,1.19
1,85.136,1.501,0.873,1.252,0.82
1,85.137,1.115,1.093,1.21,0.835
1,85.172,1.128,0.872,1.539,0.934
2,85.352,13.409,0.975,5.734,2.067
2,86.841,2.864,1.96,6.406,2.911
1,87.127,1.55,1.09,2.361,1.209
1,88.215,1.335,0.642,1.812,1.219
2,89.22,1.75,1.637,7.286,0.745
2,89.498,11.284,2.546,9.048,0.918
2,90.377,8.012,2.05,2.241,1.363
1,92.048,1.232,0.746,1.288,0.872
2,92.569,5.335,1.403,11.71,1.133
1,94.618,2.025,0.936,1.185,1.161
2,96.729,4.841,3.037,13.059,0.781
1,97.087,1.825,0.832,2.02,0.629
1,98.11,1.223,1.555,1.456,0.592
2,100.422,2.864,1.641,3.299,0.996
1,100.709,1.257,0.731,1.487,1.377
2,101.838,11.37,1.659,8.387,1.548
