task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,5.942,2.0,3.0,5.0,2.0,3.0,5.0
T2,16.146,7.0,10.0,15.0,7.0,10.0,15.0
T2,26.238,7.0,10.0,15.0,7.0,10.0,15.0
T2,27.224,7.0,10.0,15.0,7.0,10.0,15.0
T3,28.969,2.0,3.0,5.0,2.0,3.0,5.0
T1,37.502,5.0,8.0,10.0,5.0,8.0,10.0
T4,38.209,1.0,1.5,2.0,1.0,1.5,2.0
T4,39.744,1.0,1.5,2.0,1.0,1.5,2.0
T2,42.142,7.0,10.0,15.0,7.0,10.0,15.0
T2,45.464,7.0,10.0,15.0,7.0,10.0,15.0
T3,50.761,2.0,3.0,5.0,2.0,3.0,5.0
T1,53.975,5.0,8.0,10.0,5.0,8.0,10.0
T2,59.327,7.0,10.0,15.0,7.0,10.0,15.0
T2,65.244,7.0,10.0,15.0,7.0,10.0,15.0
T1,66.11,5.0,8.0,10.0,5.0,8.0,10.0
T1,74.792,5.0,8.0,10.0,5.0,8.0,10.0
T3,80.784,2.0,3.0,5.0,2.0,3.0,5.0
T2,80.909,7.0,10.0,15.0,7.0,10.0,15.0
T4,84.807,1.0,1.5,2.0,1.0,1.5,2.0
T1,92.423,5.0,8.0,10.0,5.0,8.0,10.0
T4,96.279,1.0,1.5,2.0,1.0,1.5,2.0
T2,96.802,7.0,10.0,15.0,7.0,10.0,15.0
T4,99.011,1.0,1.5,2.0,1.0,1.5,2.0
T2,101.92,7.0,10.0,15.0,7.0,10.0,15.0
T2,103.79,7.0,10.0,15.0,7.0,10.0,15.0
T1,107.77,5.0,8.0,10.0,5.0,8.0,10.0
T2,115.815,7.0,10.0,15.0,7.0,10.0,15.0
T3,115.916,2.0,3.0,5.0,2.0,3.0,5.0
T4,116.165,1.0,1.5,2.0,1.0,1.5,2.0
T3,124.738,2.0,3.0,5.0,2.0,3.0,5.0
T3,134.517,2.0,3.0,5.0,2.0,3.0,5.0
T1,142.912,5.0,8.0,10.0,5.0,8.0,10.0
T2,145.505,7.0,10.0,15.0,7.0,10.0,15.0
T1,149.057,5.0,8.0,10.0,5.0,8.0,10.0
T4,152.875,1.0,1.5,2.0,1.0,1.5,2.0
T3,161.723,2.0,3.0,5.0,2.0,3.0,5.0
T1,162.073,5.0,8.0,10.0,5.0,8.0,10.0
T4,164.298,1.0,1.5,2.0,1.0,1.5,2.0
T3,168.364,2.0,3.0,5.0,2.0,3.0,5.0
T2,168.426,7.0,10.0,15.0,7.0,10.0,15.0
T1,170.621,5.0,8.0,10.0,5.0,8.0,10.0
T1,173.509,5.0,8.0,10.0,5.0,8.0,10.0
T3,175.329,2.0,3.0,5.0,2.0,3.0,5.0
T1,179.531,5.0,8.0,10.0,5.0,8.0,10.0
T1,180.507,5.0,8.0,10.0,5.0,8.0,10.0
T4,188.107,1.0,1.5,2.0,1.0,1.5,2.0
T1,190.534,5.0,8.0,10.0,5.0,8.0,10.0
T3,192.394,2.0,3.0,5.0,2.0,3.0,5.0
T3,193.36,2.0,3.0,5.0,2.0,3.0,5.0
T1,199.826,5.0,8.0,10.0,5.0,8.0,10.0
T3,203.15,2.0,3.0,5.0,2.0,3.0,5.0
T2,208.057,7.0,10.0,15.0,7.0,10.0,15.0
T4,211.187,1.0,1.5,2.0,1.0,1.5,2.0
T1,216.098,5.0,8.0,10.0,5.0,8.0,10.0
T2,220.154,7.0,10.0,15.0,7.0,10.0,15.0
T4,235.31,1.0,1.5,2.0,1.0,1.5,2.0
T2,237.007,7.0,10.0,15.0,7.0,10.0,15.0
T2,237.113,7.0,10.0,15.0,7.0,10.0,15.0
T3,239.135,2.0,3.0,5.0,2.0,3.0,5.0
T3,253.859,2.0,3.0,5.0,2.0,3.0,5.0
T3,256.588,2.0,3.0,5.0,2.0,3.0,5.0
T1,261.655,5.0,8.0,10.0,5.0,8.0,10.0
T1,265.317,5.0,8.0,10.0,5.0,8.0,10.0
T4,265.565,1.0,1.5,2.0,1.0,1.5,2.0
T3,267.308,2.0,3.0,5.0,2.0,3.0,5.0
T1,275.776,5.0,8.0,10.0,5.0,8.0,10.0
T2,278.626,7.0,10.0,15.0,7.0,10.0,15.0
T4,286.151,1.0,1.5,2.0,1.0,1.5,2.0
T2,295.875,7.0,10.0,15.0,7.0,10.0,15.0
T1,296.907,5.0,8.0,10.0,5.0,8.0,10.0
T3,301.696,2.0,3.0,5.0,2.0,3.0,5.0
T3,310.147,2.0,3.0,5.0,2.0,3.0,5.0
T1,313.682,5.0,8.0,10.0,5.0,8.0,10.0
T1,330.4,5.0,8.0,10.0,5.0,8.0,10.0
T1,345.262,5.0,8.0,10.0,5.0,8.0,10.0
T4,351.048,1.0,1.5,2.0,1.0,1.5,2.0
T4,353.345,1.0,1.5,2.0,1.0,1.5,2.0
T2,353.967,7.0,10.0,15.0,7.0,10.0,15.0
T3,359.654,2.0,3.0,5.0,2.0,3.0,5.0
T3,363.806,2.0,3.0,5.0,2.0,3.0,5.0
T1,363.97,5.0,8.0,10.0,5.0,8.0,10.0
T3,364.36,2.0,3.0,5.0,2.0,3.0,5.0
T1,366.715,5.0,8.0,10.0,5.0,8.0,10.0
T3,369.775,2.0,3.0,5.0,2.0,3.0,5.0
T1,370.913,5.0,8.0,10.0,5.0,8.0,10.0
T1,382.551,5.0,8.0,10.0,5.0,8.0,10.0
T4,385.148,1.0,1.5,2.0,1.0,1.5,2.0
T3,395.217,2.0,3.0,5.0,2.0,3.0,5.0
T2,398.44,7.0,10.0,15.0,7.0,10.0,15.0
T3,401.49,2.0,3.0,5.0,2.0,3.0,5.0
T3,418.201,2.0,3.0,5.0,2.0,3.0,5.0
T4,420.893,1.0,1.5,2.0,1.0,1.5,2.0
T2,421.347,7.0,10.0,15.0,7.0,10.0,15.0
T1,422.166,5.0,8.0,10.0,5.0,8.0,10.0
T4,427.078,1.0,1.5,2.0,1.0,1.5,2.0
T3,438.085,2.0,3.0,5.0,2.0,3.0,5.0
T3,442.864,2.0,3.0,5.0,2.0,3.0,5.0
T4,463.32,1.0,1.5,2.0,1.0,1.5,2.0
T2,465.556,7.0,10.0,15.0,7.0,10.0,15.0
T1,467.624,5.0,8.0,10.0,5.0,8.0,10.0
T3,469.666,2.0,3.0,5.0,2.0,3.0,5.0
T2,469.856,7.0,10.0,15.0,7.0,10.0,15.0
T1,472.823,5.0,8.0,10.0,5.0,8.0,10.0
T3,478.184,2.0,3.0,5.0,2.0,3.0,5.0
T4,478.511,1.0,1.5,2.0,1.0,1.5,2.0
T1,485.381,5.0,8.0,10.0,5.0,8.0,10.0
T3,486.042,2.0,3.0,5.0,2.0,3.0,5.0
T4,493.062,1.0,1.5,2.0,1.0,1.5,2.0
T3,493.669,2.0,3.0,5.0,2.0,3.0,5.0
T4,495.137,1.0,1.5,2.0,1.0,1.5,2.0
T1,498.1,5.0,8.0,10.0,5.0,8.0,10.0
T2,502.302,7.0,10.0,15.0,7.0,10.0,15.0
