task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
3,0.033,113.68,103.69,102.36,98.0,100.96,10.12,99.29,95.99,104.2,106.59,116.11,96.11,112.64,10.82,100.57,113.6
4,0.343,106.91,105.54,111.92,103.91,108.37,10.27,100.66,102.35,102.66,105.06,113.53,108.84,106.18,10.31,98.6,107.28
2,0.368,93.99,99.61,99.83,108.89,100.14,10.22,100.18,106.7,103.57,107.06,107.79,109.64,102.06,10.38,112.28,99.11
4,0.465,101.41,110.07,107.96,109.88,95.71,11.18,103.95,105.71,99.02,98.93,100.47,98.33,95.2,9.97,105.48,109.81
3,0.56,106.07,103.23,116.42,101.27,99.26,11.23,96.89,101.44,112.16,104.89,108.55,93.71,102.81,9.56,110.35,110.83
1,0.707,111.54,99.38,104.98,104.74,109.38,10.3,98.53,103.13,99.75,115.41,107.75,104.78,104.02,10.17,106.12,99.51
1,1.098,117.5,108.3,114.52,98.3,99.51,11.27,95.57,105.91,115.95,106.64,111.31,111.23,102.25,10.58,101.25,105.13
3,1.126,102.08,97.59,98.49,102.69,105.05,10.35,103.82,109.57,107.22,101.99,108.19,100.63,114.33,9.46,102.39,96.66
2,1.437,95.08,106.68,107.83,104.27,101.88,10.1,100.51,106.53,100.25,108.92,99.34,106.83,106.88,11.23,104.52,100.48
4,1.641,112.27,98.33,98.66,110.7,93.78,10.58,111.32,111.19,106.9,103.9,113.3,105.61,107.09,11.11,111.09,109.31
4,1.978,104.46,100.81,108.05,108.26,107.63,10.27,97.21,108.71,101.18,107.74,105.58,100.64,98.1,11.14,107.8,106.91
2,2.282,94.21,108.79,108.63,111.85,110.53,11.02,103.34,108.15,103.38,108.05,100.03,109.48,99.14,9.82,109.68,108.89
3,2.895,104.9,104.97,105.55,104.46,109.95,10.27,97.07,100.78,118.82,93.49,98.14,104.59,102.96,9.55,99.22,100.33
2,3.35,98.01,110.93,94.68,111.28,112.61,10.92,110.65,101.44,101.57,111.27,103.9,111.33,106.07,10.57,107.69,110.5
3,3.473,113.84,99.28,106.36,94.45,105.69,11.09,100.64,100.41,118.07,93.08,108.48,103.16,103.99,10.91,96.62,98.46
3,3.755,107.89,92.78,109.77,94.26,102.61,10.57,107.79,103.34,118.42,99.39,107.6,100.94,102.23,10.14,109.63,96.23
2,3.956,99.61,106.55,93.76,110.8,100.19,9.81,105.24,96.8,105.9,108.1,96.4,104.32,108.42,10.44,105.35,103.09
1,3.978,111.03,114.25,111.6,99.51,102.25,10.42,107.43,107.2,107.78,104.72,106.94,109.5,94.72,11.38,93.92,109.1
1,4.237,100.74,106.1,103.85,105.3,108.36,9.97,98.32,108.82,107.93,101.31,109.84,95.44,107.84,10.78,99.41,103.64
2,4.378,108.69,101.75,98.84,111.49,105.74,10.32,101.78,107.14,93.48,112.12,110.42,96.98,102.79,10.12,106.71,100.65
3,4.499,104.75,100.75,108.91,101.02,101.28,9.63,105.37,110.28,118.13,97.76,112.0,94.73,100.47,10.95,101.89,110.7
4,4.601,96.14,115.1,106.97,102.79,94.12,11.16,109.25,102.46,113.39,101.85,99.71,102.79,93.61,10.44,108.09,108.76
2,4.898,96.31,114.03,106.9,97.15,109.29,11.28,99.37,99.61,96.44,108.57,97.72,111.18,103.5,9.71,97.4,111.49
2,4.9,93.12,103.51,95.39,109.98,110.46,10.62,107.86,103.03,93.51,106.45,98.3,107.85,97.01,10.28,97.74,108.54
1,5.716,103.72,112.12,102.92,101.0,102.4,11.13,105.58,112.42,100.25,104.04,110.47,96.63,97.76,9.77,102.56,112.22
2,5.845,100.13,101.11,100.91,106.78,98.86,11.03,105.47,100.94,94.11,102.5,105.8,109.98,113.96,10.6,114.53,106.54
3,6.201,103.63,93.72,105.29,96.48,113.18,9.97,108.62,101.36,112.43,106.16,99.55,94.48,98.28,10.6,101.54,107.76
1,6.34,108.68,110.51,106.88,107.15,110.75,11.22,103.9,103.54,104.38,100.81,108.6,95.91,96.89,10.25,101.89,103.62
3,6.368,118.86,102.09,112.86,108.14,113.71,10.22,96.22,111.85,102.31,95.33,110.87,103.96,111.13,9.46,98.56,107.78
2,6.695,96.54,100.58,98.07,105.79,105.27,11.01,109.14,110.14,103.34,101.95,102.9,113.33,103.27,9.87,112.42,108.43
2,6.954,95.87,105.05,103.18,104.51,100.59,9.68,113.32,101.9,96.4,100.74,102.71,100.31,103.65,10.95,114.63,107.0
4,7.267,111.11,109.1,99.91,111.16,100.44,11.1,107.19,106.24,98.95,113.48,98.26,102.95,95.52,10.6,109.73,104.55
4,7.493,101.36,112.23,100.06,110.48,94.11,10.14,100.41,96.33,112.76,103.91,103.82,97.8,96.93,11.19,100.87,111.22
2,7.806,104.58,104.61,107.76,103.37,109.48,10.57,112.46,110.82,98.93,96.98,98.85,97.64,112.29,11.01,114.2,100.47
4,7.846,111.81,108.99,112.5,111.85,93.02,10.39,103.65,95.94,103.54,114.37,96.54,111.85,106.0,11.07,106.37,100.24
2,8.045,93.56,101.86,103.02,111.55,99.18,10.32,98.34,109.79,106.86,99.33,107.52,113.74,105.89,9.85,97.68,110.79
