task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.581,108.11,0.94,10.26,113.91,118.6,9.64,0.98,10.66,99.58,1.03,10.09,107.36,109.57,10.03,1.03,9.75
T3,0.667,102.79,0.95,11.67,100.71,111.0,11.36,0.96,11.42,101.63,0.99,11.53,107.75,110.44,10.33,1.05,11.61
T1,0.733,96.98,0.99,9.91,106.67,108.78,10.62,1.05,10.44,111.47,1.1,10.31,108.55,104.76,11.4,1.07,10.24
T3,0.933,117.59,0.98,9.87,103.36,101.18,11.04,1.08,11.83,102.5,1.01,11.3,99.34,99.68,11.07,1.11,10.16
T4,1.34,107.05,1.08,10.31,106.04,99.68,10.51,1.04,11.24,99.01,0.95,9.38,106.04,106.4,11.14,1.04,10.46
T4,1.921,107.28,0.92,10.76,96.79,102.14,10.78,1.08,10.46,102.42,0.98,9.87,109.87,92.85,10.01,1.09,10.49
T3,2.242,108.14,0.97,11.41,110.75,112.48,11.66,0.95,10.85,109.37,0.98,11.21,102.41,112.41,10.14,0.98,10.48
T1,2.652,103.68,1.07,9.37,103.69,101.97,10.8,1.04,10.2,97.22,1.08,10.07,105.54,107.05,9.95,1.03,10.33
T2,2.849,94.71,0.99,10.7,114.2,119.15,10.14,1.07,10.32,94.97,1.1,10.17,97.77,104.3,9.84,1.0,9.39
T3,2.95,119.0,0.92,11.02,109.92,98.89,11.58,1.02,11.76,104.44,1.01,10.42,116.55,108.57,11.37,0.97,10.37
T1,3.35,100.92,1.04,10.33,115.81,98.64,10.48,0.98,9.58,99.12,1.05,9.65,114.53,96.18,10.33,1.07,10.84
T1,3.386,112.5,1.06,11.06,114.76,94.94,10.28,0.98,10.5,114.24,0.98,10.83,114.99,99.36,10.4,1.15,10.44
T2,3.508,99.06,0.95,9.69,115.17,100.87,9.36,0.92,10.32,95.06,1.0,9.83,101.8,110.4,9.53,0.93,10.13
T3,3.634,114.55,0.98,10.52,110.97,97.86,10.72,1.04,10.56,114.86,1.09,11.64,99.83,107.96,10.78,1.09,11.56
T4,3.7,112.42,1.02,11.01,107.06,97.7,10.63,1.1,10.12,110.82,1.02,10.92,99.5,91.87,10.45,1.07,11.36
T2,3.77,109.55,1.09,9.62,112.46,108.47,9.64,1.02,9.5,96.53,1.07,9.69,110.4,111.79,9.74,1.05,10.87
T4,3.807,111.55,1.08,9.34,98.44,93.24,11.19,1.04,10.38,111.4,0.98,9.94,104.69,95.27,11.68,1.09,10.53
T3,4.056,103.53,0.96,11.47,108.15,111.52,11.45,1.1,11.7,109.79,1.02,10.41,107.16,107.24,11.68,1.02,10.39
T3,4.324,104.84,1.06,11.35,102.33,111.46,10.18,0.98,10.32,115.97,1.05,11.63,116.94,95.9,11.45,1.07,10.07
T3,4.435,108.07,1.08,10.51,104.82,110.36,10.4,0.99,10.07,104.01,0.94,10.56,102.41,103.43,11.32,1.03,11.15
T4,4.827,113.57,0.98,11.0,109.38,93.61,11.2,1.11,10.46,116.43,1.08,9.43,104.2,93.5,11.54,1.02,9.86
T1,5.934,112.38,0.99,10.87,109.62,108.74,10.54,1.14,10.08,100.35,1.0,9.55,113.85,102.52,10.45,1.06,10.79
T2,6.847,103.5,1.0,10.58,107.01,111.27,10.21,0.98,10.63,108.08,0.99,9.81,113.64,118.85,9.89,1.07,10.48
T1,6.913,105.53,1.06,10.42,113.81,95.5,10.77,0.98,9.82,102.56,1.09,10.56,101.52,98.6,9.99,1.08,10.18
T1,7.191,105.5,1.09,9.6,114.97,99.72,11.1,1.1,10.32,111.08,1.09,10.78,107.61,111.34,10.26,1.09,10.96
T2,7.26,107.75,1.05,9.67,102.25,113.81,10.57,1.09,10.69,98.61,1.07,10.28,99.73,110.28,10.58,0.99,10.62
T1,7.762,104.45,1.01,9.81,101.94,104.55,10.31,1.07,10.86,110.68,1.02,10.07,105.24,107.31,10.2,1.15,11.08
T1,8.06,107.18,1.04,10.07,116.09,97.57,10.37,1.04,9.91,108.62,1.03,10.05,107.55,99.68,10.88,0.99,10.73
T4,8.172,102.06,1.07,9.63,110.73,102.71,10.89,1.09,11.47,114.03,1.05,11.05,105.76,100.66,11.06,1.12,11.08
T2,8.303,106.61,1.09,10.05,107.93,106.02,10.06,1.0,9.79,108.7,1.05,10.61,99.5,117.63,9.76,1.06,10.68
T4,8.696,108.44,1.05,10.91,111.81,105.27,10.91,1.07,11.42,106.99,1.02,9.54,106.39,106.21,10.84,1.08,10.69
T1,8.697,106.3,1.02,9.84,106.11,109.1,11.42,1.13,10.57,100.72,0.99,9.92,102.68,101.56,10.97,1.04,9.4
T4,8.818,102.49,1.0,10.16,112.23,93.28,10.07,1.1,11.54,114.66,1.0,9.4,103.07,95.78,11.15,1.0,11.13
T4,8.868,98.27,1.02,11.01,101.29,99.68,9.9,1.1,11.03,114.02,0.96,10.44,95.08,95.27,11.54,0.99,11.07
T1,8.971,102.91,1.0,9.91,108.07,100.49,10.77,1.07,10.62,101.92,1.03,10.83,108.48,102.62,11.0,1.01,9.79
T1,9.107,100.83,0.99,10.33,113.64,102.78,10.89,1.03,10.19,96.86,1.06,10.35,117.12,95.37,11.07,1.0,10.93
T4,9.304,114.44,1.07,10.7,106.84,108.54,10.33,1.04,10.44,108.65,1.0,10.07,102.43,108.33,11.54,1.09,9.93
T1,9.908,107.2,1.06,9.57,102.19,96.24,11.2,1.03,10.29,101.22,0.98,9.89,115.22,110.31,10.8,1.09,10.81
T1,9.916,111.34,0.96,9.74,100.86,95.93,10.17,1.04,9.74,104.11,0.97,10.76,107.61,101.8,10.25,1.07,10.54
T3,10.035,118.77,0.94,10.6,111.33,102.56,11.3,1.02,10.63,113.61,1.04,10.81,102.69,109.45,10.64,0.98,10.18
T2,10.13,109.73,1.03,10.5,104.06,100.58,10.11,1.07,10.28,94.58,1.08,11.29,104.59,109.98,10.64,0.99,9.8
T4,10.637,110.09,1.08,9.88,95.84,105.46,11.29,1.12,10.67,109.84,1.01,10.41,100.02,101.39,10.62,1.0,10.75
T4,10.951,107.8,1.04,10.77,95.47,94.19,10.43,1.12,11.38,102.32,0.98,9.7,112.29,97.35,10.16,1.1,11.48
T3,11.09,106.6,0.99,10.29,105.5,112.5,10.74,0.95,10.11,105.9,1.09,11.0,113.61,96.54,11.52,0.97,11.08
T3,11.094,116.07,1.04,10.74,107.97,107.32,11.13,0.96,11.08,107.23,1.03,10.41,113.34,105.84,11.93,1.01,10.36
T3,11.22,108.32,1.02,11.66,101.87,99.68,10.2,1.01,11.82,103.33,1.04,11.41,115.72,100.29,10.9,0.93,11.37
T3,11.562,110.66,1.0,10.4,107.21,109.11,10.44,1.1,10.49,102.36,1.05,10.18,106.03,108.92,11.77,1.06,10.51
T4,11.793,103.39,1.02,9.6,105.12,108.32,10.69,1.04,11.58,103.61,1.08,10.45,108.03,95.51,9.89,1.1,11.43
T2,12.53,95.95,0.97,10.6,98.0,102.55,9.83,1.08,10.11,99.44,1.08,9.81,114.96,103.96,10.83,1.06,9.48
T4,12.805,111.25,1.05,9.87,100.96,95.37,10.76,1.1,11.54,115.38,0.92,9.95,110.24,109.08,11.24,1.15,10.48
T4,14.367,98.34,1.02,10.68,112.43,96.95,10.26,1.14,10.08,101.65,0.99,9.6,97.16,106.32,10.42,1.15,10.36
T1,15.219,99.7,1.13,10.6,108.26,110.43,11.42,1.12,10.45,111.08,1.09,10.11,98.69,100.71,10.22,1.02,10.05
T3,15.827,103.88,1.04,11.7,103.31,112.37,11.34,0.93,10.88,117.78,0.95,10.54,102.61,111.37,10.49,1.03,11.04
T1,16.075,107.41,1.07,10.89,111.06,101.54,11.64,1.06,10.2,107.61,1.12,9.52,103.4,105.5,10.8,1.14,11.04
T1,16.126,100.68,1.05,10.5,108.68,100.24,11.66,1.02,9.69,106.73,1.1,9.32,114.48,99.0,10.39,1.06,9.84
T3,16.301,112.31,0.96,11.72,104.99,108.2,10.8,1.04,10.21,114.0,1.03,11.49,105.24,109.99,11.71,1.03,11.8
T3,16.483,118.5,1.06,10.59,105.61,107.83,11.08,1.06,10.94,110.3,0.93,9.86,116.94,98.48,10.96,1.08,11.29
T3,17.505,102.58,0.97,10.47,102.5,106.41,11.26,1.09,11.38,107.37,1.08,11.38,104.93,98.57,10.15,1.05,10.05
T3,17.93,106.65,0.94,9.93,110.33,108.78,11.87,1.01,11.37,102.36,1.03,11.38,108.79,103.64,10.36,1.03,10.12
T1,18.24,106.74,0.98,10.09,104.34,104.5,10.52,1.08,10.87,102.55,1.05,10.89,103.29,109.4,10.31,0.99,10.87
T3,18.467,118.84,1.09,10.08,117.18,96.3,10.39,0.97,10.79,107.82,1.04,10.4,113.1,105.51,11.02,0.93,11.18
T4,18.517,109.3,0.92,10.64,99.23,99.76,9.93,1.07,10.46,100.67,0.95,10.96,110.84,98.39,10.41,1.1,11.56
