task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T4,0.305,2.0,2.0,2.0,2.04,2.0,2.03
T1,10.199,10.0,10.0,10.0,9.92,10.08,9.84
T1,11.692,10.0,10.0,10.0,10.13,9.94,9.88
T3,14.758,5.0,5.0,5.0,5.01,5.08,4.97
T2,21.37,15.0,15.0,15.0,15.07,14.99,15.0
T3,30.734,5.0,5.0,5.0,4.93,5.06,5.01
T4,34.701,2.0,2.0,2.0,2.01,2.02,2.0
T1,43.849,10.0,10.0,10.0,9.84,10.06,9.86
T1,46.018,10.0,10.0,10.0,10.01,9.98,10.11
T2,52.096,15.0,15.0,15.0,14.9,15.02,14.87
T3,54.844,5.0,5.0,5.0,5.04,4.93,5.05
T4,68.183,2.0,2.0,2.0,1.98,1.97,1.97
T3,70.004,5.0,5.0,5.0,4.95,5.06,4.94
T4,71.898,2.0,2.0,2.0,2.03,1.98,2.03
T2,77.013,15.0,15.0,15.0,14.9,15.04,14.96
T3,77.492,5.0,5.0,5.0,5.08,5.03,4.97
T3,78.881,5.0,5.0,5.0,5.04,5.04,4.95
T4,79.206,2.0,2.0,2.0,1.99,1.97,2.03
T1,88.561,10.0,10.0,10.0,10.15,10.01,10.09
T1,100.285,10.0,10.0,10.0,9.97,9.91,9.97
T2,117.47,15.0,15.0,15.0,14.93,14.78,15.07
T2,118.594,15.0,15.0,15.0,14.96,15.03,15.12
T1,124.827,10.0,10.0,10.0,9.92,10.12,9.94
T3,126.151,5.0,5.0,5.0,4.95,4.97,5.05
T2,126.405,15.0,15.0,15.0,14.91,14.74,15.15
T1,128.556,10.0,10.0,10.0,9.94,10.11,10.06
T4,135.899,2.0,2.0,2.0,1.99,1.99,1.99
T4,155.352,2.0,2.0,2.0,2.02,1.98,1.97
T2,160.696,15.0,15.0,15.0,15.13,15.12,15.24
T4,164.261,2.0,2.0,2.0,2.02,1.98,2.02
T1,165.88,10.0,10.0,10.0,9.99,9.87,9.84
T1,166.93,10.0,10.0,10.0,9.92,9.97,10.09
T3,167.878,5.0,5.0,5.0,4.99,5.08,4.94
T2,170.149,15.0,15.0,15.0,15.1,15.1,14.98
T3,176.588,5.0,5.0,5.0,5.03,5.05,4.92
T3,188.915,5.0,5.0,5.0,4.93,5.03,5.08
T1,189.375,10.0,10.0,10.0,10.1,9.96,9.9
T2,199.101,15.0,15.0,15.0,14.8,15.24,14.86
T2,208.32,15.0,15.0,15.0,14.85,15.06,15.12
T3,208.804,5.0,5.0,5.0,4.97,5.08,4.93
T2,214.305,15.0,15.0,15.0,14.78,14.98,15.14
T4,216.342,2.0,2.0,2.0,2.0,2.02,2.0
T4,220.154,2.0,2.0,2.0,2.0,2.01,2.01
T2,220.893,15.0,15.0,15.0,14.9,14.78,15.06
T2,223.355,15.0,15.0,15.0,15.0,15.01,15.0
T1,225.682,10.0,10.0,10.0,10.16,10.17,10.13
T2,230.12,15.0,15.0,15.0,14.9,15.23,14.82
T3,230.338,5.0,5.0,5.0,4.93,5.03,5.04
T4,235.068,2.0,2.0,2.0,2.0,1.97,1.97
T3,237.169,5.0,5.0,5.0,5.04,4.94,5.01
T3,238.523,5.0,5.0,5.0,5.03,5.0,4.96
T1,240.365,10.0,10.0,10.0,10.06,10.14,10.08
T1,244.791,10.0,10.0,10.0,10.16,9.89,9.94
T3,255.248,5.0,5.0,5.0,4.93,5.04,4.99
T3,262.783,5.0,5.0,5.0,4.93,4.97,5.06
T3,264.044,5.0,5.0,5.0,4.97,4.97,4.97
T2,264.937,15.0,15.0,15.0,15.1,15.1,15.08
T3,276.415,5.0,5.0,5.0,5.08,4.97,4.96
T4,278.616,2.0,2.0,2.0,2.03,2.0,1.97
T2,285.846,15.0,15.0,15.0,14.77,15.2,14.79
T4,289.79,2.0,2.0,2.0,2.03,1.97,2.0
T1,290.592,10.0,10.0,10.0,9.83,9.87,10.1
T4,295.018,2.0,2.0,2.0,1.97,1.97,1.99
T3,307.414,5.0,5.0,5.0,5.05,4.95,4.96
T2,321.095,15.0,15.0,15.0,14.82,14.99,14.98
T4,329.181,2.0,2.0,2.0,2.01,1.99,1.98
T4,338.22,2.0,2.0,2.0,1.98,1.99,2.0
T4,341.208,2.0,2.0,2.0,1.97,1.99,2.01
T3,346.922,5.0,5.0,5.0,4.94,5.05,4.98
T3,347.599,5.0,5.0,5.0,4.95,4.95,4.97
T2,378.642,15.0,15.0,15.0,15.13,15.17,15.13
T3,379.009,5.0,5.0,5.0,4.99,5.01,4.95
T4,396.269,2.0,2.0,2.0,2.0,1.97,2.02
T4,397.754,2.0,2.0,2.0,1.99,2.0,1.98
T4,401.121,2.0,2.0,2.0,2.02,1.97,2.0
T1,407.94,10.0,10.0,10.0,10.05,9.84,10.04
T3,410.884,5.0,5.0,5.0,4.92,4.92,4.93
T4,412.701,2.0,2.0,2.0,1.98,2.02,2.03
T2,417.766,15.0,15.0,15.0,15.08,14.74,14.76
T3,418.194,5.0,5.0,5.0,4.94,5.02,4.92
T4,420.174,2.0,2.0,2.0,2.01,1.97,1.98
T3,426.384,5.0,5.0,5.0,5.05,5.08,5.07
T3,426.739,5.0,5.0,5.0,5.07,5.08,5.06
T2,433.915,15.0,15.0,15.0,15.18,15.25,15.15
T1,435.272,10.0,10.0,10.0,10.01,10.07,10.13
T3,437.929,5.0,5.0,5.0,5.03,5.02,5.0
T1,443.898,10.0,10.0,10.0,10.05,9.87,9.98
T3,452.863,5.0,5.0,5.0,5.07,5.06,5.03
T2,460.233,15.0,15.0,15.0,15.22,15.21,14.77
T1,460.583,10.0,10.0,10.0,9.85,10.15,9.92
T3,462.059,5.0,5.0,5.0,4.98,4.94,5.0
T2,462.724,15.0,15.0,15.0,14.87,15.15,15.16
T1,463.548,10.0,10.0,10.0,10.0,9.85,9.99
T4,464.171,2.0,2.0,2.0,1.97,2.01,1.98
T2,472.558,15.0,15.0,15.0,15.23,15.08,14.86
T4,474.204,2.0,2.0,2.0,2.02,2.0,2.0
T3,474.71,5.0,5.0,5.0,5.06,4.92,4.97
T2,479.908,15.0,15.0,15.0,14.93,15.02,14.81
T1,480.635,10.0,10.0,10.0,10.14,9.85,10.12
T2,481.694,15.0,15.0,15.0,15.25,15.15,15.0
T2,483.517,15.0,15.0,15.0,14.76,15.02,14.77
T3,485.139,5.0,5.0,5.0,5.04,4.92,4.95
T1,485.85,10.0,10.0,10.0,10.06,9.94,9.94
T3,486.207,5.0,5.0,5.0,4.98,4.94,4.94
T1,497.424,10.0,10.0,10.0,10.1,10.15,10.11
T2,500.206,15.0,15.0,15.0,14.91,15.11,15.0
T1,503.433,10.0,10.0,10.0,10.12,9.83,10.05
T3,507.397,5.0,5.0,5.0,5.05,5.07,4.97
T2,528.936,15.0,15.0,15.0,14.95,15.16,14.81
T2,531.039,15.0,15.0,15.0,15.1,14.87,15.14
T4,533.466,2.0,2.0,2.0,2.0,2.03,2.0
T4,537.255,2.0,2.0,2.0,1.99,2.01,2.01
T2,538.757,15.0,15.0,15.0,15.21,15.15,15.2
T4,540.147,2.0,2.0,2.0,2.02,1.98,2.0
T2,540.936,15.0,15.0,15.0,14.82,14.76,14.84
T1,546.273,10.0,10.0,10.0,10.12,10.1,9.94
T2,549.983,15.0,15.0,15.0,14.79,15.17,15.02
T3,554.661,5.0,5.0,5.0,4.92,4.95,5.01
T3,559.251,5.0,5.0,5.0,5.06,5.03,5.05
T2,561.158,15.0,15.0,15.0,14.95,14.8,15.08
T2,563.953,15.0,15.0,15.0,15.16,15.05,15.06
T2,569.054,15.0,15.0,15.0,15.02,14.85,14.85
T4,570.797,2.0,2.0,2.0,2.03,2.0,1.99
T2,574.575,15.0,15.0,15.0,15.13,15.17,15.06
T4,575.27,2.0,2.0,2.0,2.03,2.0,2.0
T1,575.537,10.0,10.0,10.0,10.04,9.84,10.15
T3,575.867,5.0,5.0,5.0,5.05,4.94,4.99
T3,577.252,5.0,5.0,5.0,5.05,5.01,5.04
T3,580.7,5.0,5.0,5.0,5.06,5.06,4.94
T4,590.718,2.0,2.0,2.0,1.97,2.0,1.99
T4,591.818,2.0,2.0,2.0,2.02,1.98,2.0
T1,593.485,10.0,10.0,10.0,10.0,9.91,10.05
T3,593.954,5.0,5.0,5.0,5.02,5.07,5.08
T4,597.78,2.0,2.0,2.0,1.99,2.02,1.99
T3,602.333,5.0,5.0,5.0,4.98,5.04,4.94
T2,604.273,15.0,15.0,15.0,15.11,15.24,15.02
T4,606.19,2.0,2.0,2.0,1.98,2.0,2.02
T3,607.787,5.0,5.0,5.0,5.03,5.02,4.97
T3,608.148,5.0,5.0,5.0,5.04,5.08,5.04
T3,609.207,5.0,5.0,5.0,4.92,5.01,4.97
T4,610.426,2.0,2.0,2.0,1.98,1.98,1.97
T2,612.976,15.0,15.0,15.0,15.14,14.88,15.11
T1,623.016,10.0,10.0,10.0,10.08,10.05,10.14
T4,624.528,2.0,2.0,2.0,2.0,1.97,2.02
T3,630.078,5.0,5.0,5.0,4.92,5.08,5.07
T2,638.341,15.0,15.0,15.0,15.12,15.19,15.25
T1,639.787,10.0,10.0,10.0,9.94,10.14,10.03
T1,641.338,10.0,10.0,10.0,10.03,10.05,9.88
T1,641.464,10.0,10.0,10.0,9.89,9.94,9.88
T1,643.236,10.0,10.0,10.0,10.13,9.83,9.9
T4,645.533,2.0,2.0,2.0,2.0,2.0,2.01
T4,649.955,2.0,2.0,2.0,2.01,2.02,2.03
T2,650.735,15.0,15.0,15.0,15.02,15.02,14.98
T2,651.203,15.0,15.0,15.0,15.0,15.03,14.79
T3,654.023,5.0,5.0,5.0,5.08,5.0,5.01
T4,660.311,2.0,2.0,2.0,1.98,1.99,2.02
T2,665.232,15.0,15.0,15.0,15.13,14.95,15.18
T3,670.02,5.0,5.0,5.0,5.0,5.05,4.98
T4,671.348,2.0,2.0,2.0,2.03,2.02,2.03
T4,674.421,2.0,2.0,2.0,2.01,2.0,2.03
T1,681.862,10.0,10.0,10.0,9.91,9.85,10.11
T1,686.307,10.0,10.0,10.0,9.91,10.06,10.1
T3,688.012,5.0,5.0,5.0,4.99,5.04,5.0
T2,689.821,15.0,15.0,15.0,14.79,15.13,14.99
T2,693.217,15.0,15.0,15.0,14.8,15.09,15.12
T1,693.849,10.0,10.0,10.0,9.95,10.15,9.86
T2,694.575,15.0,15.0,15.0,15.04,14.92,15.21
T2,700.774,15.0,15.0,15.0,15.01,15.22,15.01
T2,700.816,15.0,15.0,15.0,14.9,15.01,15.02
T4,707.008,2.0,2.0,2.0,1.98,2.0,2.03
T4,708.783,2.0,2.0,2.0,1.99,2.01,1.97
T2,710.212,15.0,15.0,15.0,15.08,14.77,14.99
T2,712.225,15.0,15.0,15.0,14.91,14.94,15.16
T2,715.714,15.0,15.0,15.0,15.1,15.08,15.01
T4,722.323,2.0,2.0,2.0,1.97,2.02,1.98
T1,732.43,10.0,10.0,10.0,10.12,10.07,10.15
T1,736.876,10.0,10.0,10.0,10.17,10.15,9.86
T1,745.707,10.0,10.0,10.0,9.86,9.96,10.15
T1,762.543,10.0,10.0,10.0,10.11,10.17,10.04
T3,769.317,5.0,5.0,5.0,5.01,4.92,4.99
T2,772.517,15.0,15.0,15.0,14.83,14.97,14.76
T1,776.259,10.0,10.0,10.0,9.84,10.03,9.98
T4,787.411,2.0,2.0,2.0,2.01,2.02,2.03
T2,795.226,15.0,15.0,15.0,15.1,14.89,15.11
T4,797.174,2.0,2.0,2.0,2.03,1.98,2.03
T1,801.264,10.0,10.0,10.0,9.92,9.98,9.9
T1,802.741,10.0,10.0,10.0,10.15,9.94,9.95
T2,804.867,15.0,15.0,15.0,14.76,14.8,15.0
T4,813.764,2.0,2.0,2.0,2.0,2.03,2.01
T4,814.233,2.0,2.0,2.0,2.01,2.02,1.99
T1,814.76,10.0,10.0,10.0,9.85,10.04,10.14
T4,816.139,2.0,2.0,2.0,1.98,1.99,2.02
T2,820.566,15.0,15.0,15.0,14.9,14.98,15.18
T1,820.889,10.0,10.0,10.0,10.02,10.13,9.95
T3,823.409,5.0,5.0,5.0,5.04,5.03,4.96
T1,832.555,10.0,10.0,10.0,10.04,9.89,9.96
T4,833.27,2.0,2.0,2.0,2.01,2.0,1.99
T1,834.632,10.0,10.0,10.0,9.86,9.85,9.84
T1,838.709,10.0,10.0,10.0,9.96,10.03,10.1
T2,849.368,15.0,15.0,15.0,15.17,14.81,14.84
T4,858.7,2.0,2.0,2.0,1.97,2.03,2.0
T2,858.853,15.0,15.0,15.0,15.16,14.96,14.86
T4,863.588,2.0,2.0,2.0,2.02,1.99,2.02
T2,864.715,15.0,15.0,15.0,15.24,15.15,15.02
T2,865.348,15.0,15.0,15.0,15.16,15.15,14.85
T3,866.688,5.0,5.0,5.0,4.95,5.04,4.98
T2,869.769,15.0,15.0,15.0,14.96,15.01,15.09
T4,871.6,2.0,2.0,2.0,2.01,2.0,2.01
T1,901.638,10.0,10.0,10.0,9.98,9.99,9.93
T1,904.165,10.0,10.0,10.0,10.15,9.95,9.92
T4,906.29,2.0,2.0,2.0,2.01,1.97,2.01
T1,915.33,10.0,10.0,10.0,9.9,9.96,10.1
T2,916.486,15.0,15.0,15.0,15.04,15.24,14.99
T4,920.918,2.0,2.0,2.0,1.98,2.03,2.02
T1,920.936,10.0,10.0,10.0,10.14,10.17,9.99
T1,924.907,10.0,10.0,10.0,10.12,9.97,9.94
T3,928.051,5.0,5.0,5.0,5.0,4.97,4.99
T3,936.515,5.0,5.0,5.0,5.02,4.97,4.99
T3,948.728,5.0,5.0,5.0,4.97,5.05,5.06
T4,957.08,2.0,2.0,2.0,2.02,1.97,1.97
T1,957.715,10.0,10.0,10.0,10.12,9.83,10.17
T1,967.107,10.0,10.0,10.0,10.1,10.0,9.93
