task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T2,0.755,91.97,9.8,1.03,104.44,10.87,0.97
T2,1.427,106.1,9.99,0.95,101.37,9.4,1.07
T2,2.083,100.04,10.7,1.0,107.44,9.26,1.08
T2,2.132,105.28,10.78,0.92,107.42,9.49,1.01
T1,6.387,92.15,102.69,9.98,93.9,101.66,9.53
T2,9.334,97.48,9.32,0.98,102.54,9.52,1.0
T3,16.914,94.79,0.92,10.76,99.03,1.01,9.42
T1,17.024,106.85,101.07,9.84,106.6,103.57,10.45
T1,23.307,97.84,92.3,9.42,107.67,94.04,10.79
T3,28.616,101.79,0.98,9.68,106.35,1.0,9.91
T1,28.836,100.37,105.16,9.99,108.47,98.0,10.08
T2,34.238,99.15,10.69,0.99,105.66,9.81,1.06
T3,39.654,103.26,0.97,10.28,104.87,1.07,10.02
T3,44.232,106.56,0.94,10.54,105.38,1.0,10.09
T1,47.495,100.44,97.71,9.84,103.47,103.36,9.66
T2,48.991,103.66,9.76,1.01,102.84,9.3,0.92
T1,49.233,100.94,94.73,9.64,91.5,104.44,10.16
T3,54.921,91.44,1.03,9.87,96.41,0.94,10.75
T2,60.844,96.72,10.52,0.94,99.25,10.08,0.94
T3,74.595,93.83,1.06,9.34,92.2,1.04,9.79
T3,74.654,93.0,1.02,9.36,105.69,0.99,9.31
T3,76.468,93.88,1.07,10.4,103.24,0.92,9.61
T3,79.405,106.73,0.92,10.34,98.59,1.06,9.59
T3,81.961,94.66,1.0,9.51,97.33,1.06,10.07
T3,83.078,98.32,0.95,9.33,97.3,1.06,9.49
T1,85.001,92.35,100.65,9.32,106.72,107.49,10.47
T1,88.827,107.48,97.15,10.78,107.28,94.66,9.38
T2,91.899,104.45,9.69,0.96,93.08,10.05,1.06
T3,93.032,101.92,1.08,10.56,91.53,0.96,9.38
T2,97.984,107.17,9.65,1.06,102.79,9.44,1.03
T2,98.278,101.32,9.95,0.94,94.17,10.04,0.98
T3,103.466,91.84,0.96,9.94,91.96,1.02,10.47
T3,104.54,106.24,1.06,10.14,105.5,1.01,10.72
T2,105.288,98.06,10.15,1.04,91.55,10.51,1.08
T2,106.531,102.55,10.14,1.0,92.8,9.78,1.06
