task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T2,2.244,107.48,10.58,0.97,95.25,9.56,1.05
T1,3.294,108.5,97.66,10.38,105.25,101.26,9.2
T2,6.234,95.5,9.45,0.96,94.58,10.34,0.95
T1,6.42,103.4,103.44,9.42,107.98,102.71,9.24
T3,9.472,98.66,1.04,10.09,95.27,0.94,9.54
T2,9.751,105.32,9.47,0.96,92.37,9.55,1.03
T2,10.731,94.88,9.82,0.96,106.0,9.32,1.03
T3,11.324,98.6,1.05,9.49,95.36,0.94,9.9
T2,14.782,105.51,9.85,0.99,103.0,9.99,1.07
T3,17.052,98.2,0.92,9.54,107.18,1.0,10.56
T1,26.705,93.58,98.97,9.29,99.88,94.88,10.25
T2,27.7,95.72,10.67,1.01,101.87,9.24,0.93
T3,31.717,103.85,1.08,9.97,103.58,1.06,10.29
T3,35.217,100.92,1.06,9.83,93.76,0.98,10.47
T3,36.832,91.9,1.04,9.76,104.01,1.06,10.66
T3,37.06,93.88,1.08,9.96,91.84,1.05,9.72
T2,38.266,93.42,10.47,0.92,102.89,9.24,0.97
T3,42.511,101.51,0.92,10.72,99.91,1.08,10.83
T1,45.089,98.95,102.92,9.14,93.69,104.87,9.7
T3,45.238,99.22,0.99,10.42,106.56,1.04,9.66
T2,45.295,94.16,10.22,1.02,91.42,9.78,0.94
T3,49.358,95.24,1.05,9.24,103.68,0.97,10.85
T1,58.716,101.2,92.95,10.05,92.13,95.64,9.58
T1,59.176,92.21,93.41,10.46,94.59,100.65,10.46
T1,61.316,102.93,91.62,10.68,101.03,93.57,10.56
T1,66.652,93.89,104.87,9.48,97.68,99.91,10.73
T1,67.356,93.69,94.04,10.34,92.02,104.09,10.42
T2,74.732,104.29,10.34,1.08,92.52,9.63,1.04
T1,78.889,101.79,104.2,9.57,107.29,95.81,10.25
T1,82.71,91.61,96.8,10.02,98.42,100.85,9.64
T2,84.604,98.12,10.32,0.99,95.53,9.45,1.08
T1,87.094,96.7,94.41,9.66,101.92,98.74,9.18
T3,96.148,96.38,1.07,9.22,99.69,1.08,9.15
T1,98.062,92.92,103.63,10.44,105.25,107.01,9.56
T3,98.863,92.46,0.94,9.87,104.53,1.06,10.65
T3,99.71,108.0,1.03,10.44,102.54,0.99,9.42
T1,104.324,95.8,94.84,9.93,105.25,97.14,10.81
T1,106.436,101.0,108.54,9.24,99.11,99.08,10.77
T3,110.784,105.92,1.08,10.65,93.29,1.08,9.98
T1,112.342,95.79,98.7,9.25,105.33,98.2,9.74
T1,113.513,97.62,93.21,9.46,102.63,101.74,9.98
T1,117.982,105.75,98.68,10.27,103.13,103.4,10.81
T3,120.493,105.41,0.99,9.45,99.41,0.99,9.71
T1,122.679,105.87,91.49,9.79,105.28,99.08,10.29
T3,123.698,103.73,1.08,9.92,91.96,1.06,9.7
T3,129.976,105.69,1.07,10.74,95.84,0.99,9.2
T3,131.236,105.17,0.99,10.66,102.9,1.0,9.78
T3,132.004,104.74,0.93,9.8,107.45,0.94,10.55
T1,132.159,104.2,95.64,10.43,99.18,99.03,9.15
T2,133.252,94.93,10.27,1.03,107.67,9.66,1.05
T2,134.044,98.26,9.49,1.02,95.3,10.16,1.01
T2,138.238,92.6,10.21,1.02,101.07,10.7,1.08
T2,141.905,106.11,10.72,0.98,104.64,9.38,1.04
T2,154.291,105.57,10.24,0.97,99.73,9.19,0.96
T3,155.108,96.5,0.99,10.63,94.53,1.04,9.29
T1,155.288,100.35,108.25,9.57,102.29,97.73,9.2
T1,162.641,105.81,100.98,10.01,107.14,98.67,10.62
T1,166.702,92.21,104.86,10.6,92.11,108.2,10.12
T3,170.905,93.53,1.03,9.32,107.08,0.97,9.35
T2,179.218,95.92,10.09,0.96,92.7,9.96,0.92
T2,180.062,107.56,10.75,0.98,98.58,9.31,1.06
T2,180.711,97.94,10.77,1.0,94.36,10.56,1.08
T1,183.53,100.73,101.3,10.28,107.33,107.87,9.51
T1,186.485,102.59,106.54,9.88,99.11,103.44,9.94
T3,189.266,103.86,1.08,10.56,100.11,0.92,10.8
T2,189.437,96.03,10.82,1.0,107.58,9.48,1.04
T2,200.5,91.65,9.48,1.04,107.31,10.14,1.08
T2,200.594,92.06,10.33,1.07,102.87,9.27,0.92
T2,206.074,104.27,9.75,0.99,97.72,9.92,0.92
T3,206.151,92.5,1.08,10.45,98.92,0.94,9.82
T2,211.106,101.87,9.84,1.08,106.24,10.49,1.08
T2,211.866,95.06,10.58,0.97,101.82,10.62,0.92
T1,216.913,97.79,97.48,9.55,92.46,93.38,10.63
T1,226.2,107.51,98.39,10.63,97.0,91.38,10.49
T2,226.576,93.1,9.36,1.04,99.92,10.53,0.98
T2,228.675,91.59,10.27,0.95,91.59,9.6,0.92
T2,234.986,98.54,10.62,0.98,97.65,9.97,0.92
T1,245.359,97.08,107.72,9.99,97.32,107.53,10.84
T2,245.535,104.08,9.25,1.05,96.64,9.4,0.98
T2,245.617,100.3,9.78,0.98,106.57,10.74,1.02
T2,246.321,99.82,10.69,0.99,94.93,9.36,1.05
T3,253.207,96.9,1.04,9.57,95.47,1.06,9.78
T3,261.817,103.72,0.92,9.38,92.89,1.0,10.31
T3,278.625,105.18,1.0,9.31,97.17,1.03,10.75
T1,279.013,93.74,105.8,9.98,96.93,93.67,10.79
T3,284.095,93.21,0.94,9.69,105.85,0.93,10.8
T3,284.373,92.41,1.04,10.19,103.86,0.93,9.97
T1,288.742,92.88,97.1,9.47,92.48,101.89,9.64
T3,290.427,106.25,1.05,10.09,92.57,0.92,9.5
T3,291.54,108.26,1.05,10.0,96.64,1.0,9.14
T1,291.757,94.98,102.89,10.8,103.86,92.04,9.2
T1,294.099,107.82,97.71,10.1,91.83,98.94,10.57
T1,294.91,105.41,95.52,10.59,105.41,93.71,10.03
T1,296.448,91.71,102.52,10.36,108.64,104.91,10.82
T1,298.117,93.67,99.03,10.39,106.09,100.56,9.69
T1,304.614,100.3,104.38,10.37,100.55,96.97,10.61
T1,306.839,98.62,92.68,10.28,105.96,104.71,9.44
T1,309.846,104.05,98.06,10.22,104.16,91.69,10.28
T1,310.481,108.48,104.38,10.15,105.55,104.53,9.57
T1,319.894,107.73,92.59,9.54,104.55,107.01,9.59
