task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
3,0.5,2.335,1.533,5.554,0.941,1.724,1.698,5.22,0.983
4,0.658,2.136,1.828,4.363,0.759,2.099,1.424,4.18,0.932
2,1.433,1.873,1.884,3.751,0.831,1.968,1.514,4.647,0.771
2,1.546,2.616,1.591,4.929,0.907,2.307,2.088,3.774,0.928
1,2.269,2.065,1.413,3.944,0.686,2.557,1.801,4.553,0.768
2,2.44,2.14,1.839,4.397,0.914,1.932,1.887,4.198,0.93
3,2.505,2.275,1.721,5.89,0.859,2.13,1.515,4.309,0.815
2,2.698,2.517,2.127,4.987,1.002,2.006,1.824,4.365,0.874
2,2.916,1.973,2.133,4.656,0.905,2.065,1.545,3.772,0.804
1,3.148,1.879,1.518,4.541,0.668,2.325,1.97,4.354,0.684
2,3.642,2.202,2.02,5.053,0.783,2.39,1.982,4.167,0.75
3,3.933,2.248,1.751,5.785,0.814,1.813,1.693,4.958,0.941
2,4.587,2.263,2.12,5.016,0.944,2.333,1.825,3.912,0.911
1,4.972,2.214,1.711,4.348,0.862,2.382,1.75,4.992,0.633
4,4.984,1.91,1.52,4.171,1.047,1.919,1.781,3.802,0.967
3,5.203,2.392,1.763,4.728,0.994,2.288,1.603,5.41,0.984
4,5.281,2.347,1.611,3.817,0.922,1.982,1.51,3.877,0.874
2,5.618,1.966,1.966,4.85,0.771,2.339,1.605,3.658,0.856
3,6.135,2.206,1.774,5.045,0.911,2.223,1.609,5.977,0.958
4,6.414,2.359,1.693,4.01,0.889,2.354,1.722,3.642,0.81
2,7.082,2.04,1.632,4.201,0.914,1.88,1.543,5.06,0.964
2,7.758,2.314,1.606,5.134,0.753,2.404,1.804,4.115,0.989
3,7.818,2.022,1.76,5.419,0.893,2.383,1.792,4.448,0.766
3,8.367,2.201,1.272,4.895,0.959,2.318,1.476,5.152,0.773
1,8.445,2.213,1.801,3.901,0.62,1.936,1.603,4.342,0.784
4,8.853,2.279,1.739,4.684,1.062,1.775,1.841,5.036,0.87
3,9.105,2.291,1.584,4.392,0.807,2.285,1.55,5.748,0.807
1,9.35,2.215,1.631,3.707,0.677,2.558,1.553,4.505,0.691
3,10.478,1.901,1.55,4.796,0.817,1.961,1.671,4.505,0.861
2,10.814,2.224,1.783,4.357,0.917,1.97,1.658,4.097,0.986
1,11.858,2.52,1.434,3.987,0.723,2.528,1.461,3.719,0.754
3,11.94,2.212,1.533,4.807,0.801,2.423,1.782,5.661,0.872
4,12.505,2.316,1.568,4.768,0.762,2.075,1.347,4.485,0.855
2,12.741,2.134,1.787,4.801,0.966,2.121,2.071,4.357,0.739
2,12.815,1.972,1.604,4.152,0.905,2.401,1.757,4.52,0.937
4,13.176,2.022,1.342,4.724,0.776,1.844,1.421,5.139,0.955
3,13.256,2.305,1.526,5.81,0.839,2.397,1.784,5.233,0.963
3,14.177,1.733,1.571,4.214,0.817,1.809,1.682,5.495,0.831
3,14.381,1.794,1.347,5.654,0.747,2.018,1.374,4.783,0.979
2,15.24,2.427,1.868,5.074,0.719,2.545,1.716,3.636,0.907
4,15.36,2.033,1.753,4.447,0.944,2.167,1.515,4.986,1.04
4,15.74,2.168,1.503,3.675,1.002,2.005,1.436,5.089,0.853
1,15.94,1.979,1.688,4.16,0.617,1.889,1.882,4.219,0.834
2,16.257,2.122,1.984,4.818,0.863,2.192,1.888,4.117,0.727
3,16.34,2.12,1.511,5.856,0.86,2.263,1.462,4.985,0.859
2,16.522,2.386,2.037,4.901,0.886,2.32,1.811,5.063,0.982
4,16.601,1.948,1.742,3.707,1.002,2.381,1.789,4.813,0.759
3,16.794,2.119,1.583,4.866,0.958,2.235,1.716,5.684,0.765
3,18.644,2.322,1.513,5.175,0.795,2.05,1.757,5.523,0.958
1,19.039,1.878,1.613,4.099,0.847,1.979,1.562,4.54,0.696
4,19.309,2.296,1.573,4.896,1.003,2.423,1.687,5.068,0.756
3,20.182,1.851,1.652,5.649,0.757,1.923,1.467,4.646,0.919
2,20.395,1.912,1.97,4.031,0.952,2.078,2.127,4.861,0.756
2,21.201,2.269,1.82,4.928,0.799,2.258,2.076,4.149,0.826
2,21.264,2.606,1.658,4.933,0.904,2.256,1.714,4.207,0.785
4,21.849,2.147,1.887,3.84,1.047,2.095,1.626,4.981,0.826
1,22.216,1.983,1.901,4.047,0.815,1.935,1.876,3.691,0.729
3,22.44,1.999,1.52,4.692,0.873,2.051,1.564,4.38,0.947
2,22.773,2.381,1.978,3.744,0.955,2.629,2.142,4.9,0.749
3,22.782,1.759,1.273,4.392,1.01,1.955,1.484,5.209,0.75
4,23.554,1.838,1.87,4.03,1.053,1.911,1.667,4.089,0.824
2,24.045,2.093,1.98,4.535,0.944,2.316,1.99,4.259,0.997
1,24.138,1.852,1.479,3.659,0.61,2.057,1.715,3.72,0.768
3,24.277,2.432,1.428,4.716,0.865,1.863,1.501,5.008,0.875
