task_type,arrival_time
T2,56.414
T4,57.091
T1,78.22
T2,113.048
T3,120.009
T1,137.774
T1,184.135
T3,216.874
T2,247.041
T3,274.493
T1,302.325
T2,415.071
T3,418.851
T4,419.971
T1,448.82
T3,449.544
T2,463.007
T4,517.808
T4,559.5
T3,612.14
T3,661.515
T4,677.06
T4,701.25
T4,706.717
T1,752.734
T3,761.1
T3,772.505
T2,798.366
T2,842.07
T2,903.031
T3,908.355
T1,914.749
T3,1090.669
T2,1140.226
T3,1171.649
T1,1197.804
T4,1202.754
T2,1218.173
T2,1258.976
T1,1283.119
T4,1330.21
T3,1343.615
T3,1363.35
T1,1381.634
T4,1414.023
T3,1421.072
T3,1448.108
T3,1457.682
T3,1499.886
T4,1543.792
T4,1569.71
T1,1579.191
T3,1582.033
T2,1584.565
T1,1612.008
T2,1640.213
T4,1652.968
T3,1662.531
T3,1761.952
T3,1770.496
T3,1786.189
T2,1790.06
T3,1807.381
T4,1823.601
T1,1855.097
T2,1855.955
T1,1924.188
T2,1937.0
T4,1964.455
T1,1968.114
T4,1975.684
T1,1975.974
T3,2008.5
T4,2013.602
T3,2037.629
T4,2072.22
T2,2074.086
T2,2098.521
T2,2146.079
T2,2147.248
T3,2151.411
T3,2170.89
T2,2183.003
T1,2204.65
T4,2220.573
T4,2234.624
T2,2252.109
T2,2321.23
T2,2327.701
T3,2327.83
T3,2331.806
T3,2347.917
T1,2357.916
T2,2368.783
T4,2374.035
T4,2381.3
T1,2423.493
T4,2470.785
T4,2478.589
T3,2528.09
T4,2533.507
T3,2559.194
T2,2573.003
T2,2593.086
T4,2599.281
T4,2646.329
T4,2693.488
T3,2693.745
T3,2796.492
T4,2800.479
T1,2801.504
T3,2835.764
T4,2836.794
T2,2891.665
T3,2896.953
T2,2900.425
T3,2907.722
T3,2922.604
T1,3001.761
T2,3020.563
T4,3053.574
T3,3065.396
T3,3089.808
T1,3095.156
T3,3098.853
T1,3130.168
T1,3138.041
T2,3144.06
T3,3145.273
T3,3150.193
T2,3166.179
T1,3180.374
T1,3267.274
T3,3285.545
T4,3298.973
T4,3301.462
T2,3311.507
T1,3341.025
T1,3382.871
T4,3400.565
T3,3486.898
T1,3493.832
T4,3531.364
T2,3584.535
T2,3599.172
T1,3611.209
T3,3659.247
T3,3770.801
T4,3836.534
T1,3851.586
T1,3911.788
T4,3966.63
T2,3970.08
T3,4023.166
T1,4037.683
T1,4039.973
T2,4085.451
T2,4125.678
T4,4146.434
T2,4156.473
T4,4165.052
T2,4170.581
T3,4180.435
T2,4187.037
T3,4269.742
T3,4292.276
T1,4299.555
T1,4305.071
T4,4379.303
T3,4399.671
T1,4490.177
T4,4496.219
T1,4518.584
T1,4534.158
T1,4544.619
T1,4564.397
T1,4588.773
T2,4615.791
T3,4616.642
T2,4642.224
T3,4651.447
T1,4681.568
T2,4697.662
T2,4714.945
T2,4724.001
T1,4729.679
T4,4762.841
T1,4776.203
T2,4801.341
T4,4891.805
T1,4895.986
T4,4902.267
T1,4906.407
T4,4923.509
T1,4931.89
T3,4947.173
T4,4954.159
T2,4962.569
T1,4967.332
T1,4988.071
T1,4992.12
T1,5001.374
T3,5041.953
T2,5106.298
T1,5106.65
T4,5115.771
T1,5127.884
T3,5143.348
T2,5196.828
T3,5221.789
T2,5228.963
T2,5248.222
T2,5251.509
T1,5301.282
T3,5306.023
T1,5321.394
T2,5350.328
T1,5351.063
T1,5358.755
T4,5364.184
T4,5365.577
T2,5368.486
T3,5381.17
T1,5383.719
T2,5431.16
T1,5469.541
T3,5491.256
T1,5516.792
T3,5538.602
T1,5541.813
T3,5564.579
T3,5571.611
T3,5610.995
T3,5639.183
T2,5679.156
T1,5693.122
T4,5693.654
T4,5695.631
T1,5702.636
T3,5723.6
T3,5730.729
T2,5767.837
T1,5860.155
T1,5870.93
T4,5913.008
T3,5959.899
T4,5969.856
T2,5970.284
T3,5971.052
T2,5981.216
T1,6010.734
T2,6026.47
T2,6060.086
T1,6085.428
T2,6095.199
T4,6132.072
T1,6204.301
T4,6231.415
T1,6233.98
T2,6239.291
T4,6242.345
T2,6248.2
T2,6353.518
T3,6360.718
T4,6370.475
T2,6391.038
T1,6469.547
T3,6491.229
T4,6513.157
T1,6548.232
T4,6564.806
T2,6584.077
T4,6596.224
T4,6608.357
T4,6645.307
T4,6663.97
T3,6682.491
T3,6692.901
T3,6717.606
T3,6757.405
T1,6760.498
T1,6770.886
T3,6780.279
T3,6784.309
T1,6836.128
T1,6847.924
T3,6880.759
T4,6898.425
T2,6916.313
T4,6916.558
T3,6999.31
T2,7055.065
T1,7068.288
T3,7086.25
T4,7110.991
T4,7134.525
T2,7195.44
T1,7218.3
T4,7241.044
T3,7258.987
T1,7259.827
T2,7337.441
T1,7339.548
T3,7346.098
T3,7368.211
T1,7382.101
T3,7393.051
T1,7449.991
T3,7477.714
T3,7505.265
T4,7505.303
T1,7509.88
T1,7528.717
T1,7539.857
T4,7599.383
T2,7623.929
T3,7663.605
T2,7665.096
T1,7674.273
T1,7679.373
T2,7681.799
T4,7699.073
T3,7712.091
T4,7723.444
T1,7773.758
T2,7774.998
T3,7817.243
T3,7876.902
T3,7881.812
T1,7883.267
T4,7892.519
T1,7896.428
T4,7904.235
T4,7917.21
