task_type,arrival_time
T2,0.987
T3,1.222
T3,4.208
T1,6.272
T1,8.882
T2,9.581
T3,10.682
T3,11.758
T1,13.302
T2,13.349
T4,14.337
T3,17.205
T4,17.463
T2,20.939
T4,21.285
T4,24.214
T1,28.205
T1,28.243
T1,29.28
T2,30.042
T4,30.903
T3,37.525
T1,38.167
T2,39.219
T4,40.498
T3,41.347
T4,42.061
T3,42.429
T4,46.04
T4,48.925
T1,52.15
T1,53.326
T4,59.517
T1,60.173
T2,64.029
T2,72.141
T2,77.896
T1,77.928
T2,78.617
T1,79.806
T4,81.241
T1,81.446
T1,82.363
T2,82.538
T1,84.348
T2,85.283
T2,86.447
T2,86.528
T2,90.788
T3,95.911
T2,96.215
T2,96.389
T4,96.751
T4,100.881
T4,101.335
T4,101.973
T2,102.947
T2,103.594
T3,107.701
T2,107.783
T2,110.8
T1,115.112
T3,118.179
T3,118.436
T4,122.086
T2,122.576
T4,128.257
T1,128.469
T2,129.927
T1,129.978
T3,131.736
T3,132.159
T4,133.288
T2,134.248
T4,135.543
T2,137.513
T2,137.716
T2,138.466
T3,138.933
T4,140.681
T3,142.251
T1,143.53
T3,144.216
T1,146.093
T4,149.647
T1,150.614
T2,153.864
T3,155.773
T2,159.268
T2,161.566
T2,173.025
T1,173.125
T2,179.241
T3,179.388
T4,180.161
T2,183.138
T1,186.74
T3,189.184
T1,190.017
T2,191.403
T1,191.56
T2,192.909
T1,195.292
T1,195.338
T1,197.665
T2,202.79
T2,203.118
T4,208.41
T1,210.369
T2,210.447
T1,210.492
T3,210.649
T2,212.266
T4,214.349
T2,214.556
T3,215.271
T1,217.799
T2,218.631
T3,223.159
T1,225.206
T1,226.095
T2,228.641
T1,229.944
T1,230.241
T4,231.902
T3,231.963
T3,232.616
T3,233.171
T3,238.455
T2,241.22
T4,245.725
T1,247.93
T3,255.775
T4,258.43
T2,259.24
T2,261.234
T2,261.338
T4,265.116
T3,268.698
T2,272.782
T4,273.024
T2,274.396
T4,277.08
T3,279.507
T1,279.603
T1,280.097
T3,281.625
T4,283.872
T2,287.018
T4,292.206
T4,293.733
T1,297.795
T4,298.59
T3,304.33
T1,304.677
T2,311.105
T2,311.136
T4,314.459
T1,315.53
T4,319.281
T1,323.488
T3,324.829
T2,329.421
T3,330.055
T1,330.463
T1,330.628
T1,332.514
T4,334.189
T4,334.8
T1,338.808
T3,344.578
T3,345.513
T2,346.821
T1,350.535
T3,351.496
T3,352.756
T1,352.844
T3,352.933
T1,355.538
T3,356.503
T3,369.957
T1,370.843
T4,372.781
T4,374.365
T2,381.527
T4,382.329
T4,383.906
T3,385.851
T4,386.493
T3,390.609
T4,391.391
T3,391.491
T2,397.191
T2,399.934
T1,400.357
T4,402.475
T3,408.077
T3,410.874
T4,412.923
T1,417.649
T2,417.787
T4,419.922
T4,420.47
T1,421.213
T4,421.222
T4,421.947
T2,423.127
T3,423.879
T3,425.162
T3,426.562
T3,427.118
T1,428.521
T2,428.535
T1,432.026
T4,433.18
T1,435.353
T4,436.479
T1,436.922
T1,439.093
T3,439.195
T4,439.314
T1,439.46
T4,442.19
T1,445.093
T2,447.467
T1,448.869
T1,456.056
T3,459.096
T2,459.332
T1,464.009
T1,465.24
T2,468.003
T3,469.04
T2,472.1
T3,473.03
T4,475.648
T3,480.715
T4,481.661
T3,481.904
T4,486.372
T2,486.693
T1,486.965
T2,490.85
T3,491.267
T2,491.402
T3,492.183
T4,498.096
T2,499.451
T2,500.941
T3,501.993
T4,502.914
T1,510.372
T3,514.298
T1,517.749
T2,517.874
T3,519.275
T2,519.937
T3,520.252
T2,520.62
T1,521.674
T3,522.906
T4,523.033
T3,524.395
T1,525.284
T1,527.113
T2,527.125
T1,529.705
T1,531.969
T3,532.526
T1,533.495
T3,533.936
T3,540.446
T2,542.364
