task_type,arrival_time
T1,0.071
T2,0.24
T2,0.382
T2,0.487
T1,0.633
T4,0.915
T1,0.965
T4,0.987
T1,1.067
T3,1.152
T4,1.158
T3,1.189
T1,1.234
T4,1.286
T1,1.3
T2,1.354
T2,1.436
T1,1.469
T1,1.486
T1,1.6
T3,1.664
T1,1.967
T3,2.146
T3,2.423
T2,2.509
T2,2.528
T4,2.643
T3,2.702
T2,3.098
T2,3.135
T2,3.195
T1,3.382
T3,3.592
T3,3.629
T2,3.646
T1,3.867
T4,4.011
T4,4.289
T1,4.376
T3,4.381
T1,4.464
T3,4.558
T1,4.738
T1,4.832
T4,4.985
T2,5.004
T1,5.456
T2,5.686
T4,5.7
T1,6.138
T4,6.158
T1,6.195
T2,6.601
T4,6.702
T3,7.008
T2,7.147
T1,7.236
T1,7.273
T4,7.426
T3,7.586
T1,7.592
T1,7.626
T2,7.666
T4,7.678
T2,7.731
T1,7.873
T4,7.931
T1,8.068
T3,8.154
T2,8.257
T1,8.336
T2,8.389
T1,8.593
T3,8.637
T4,8.644
T1,8.712
T2,8.74
T2,8.751
T2,8.763
T2,8.772
T4,8.823
T4,8.998
T2,9.082
T2,9.114
T3,9.217
T3,9.219
T4,9.513
T4,9.923
T4,9.944
T2,9.985
T3,10.012
T4,10.21
T3,10.298
T3,10.344
T4,10.518
T3,10.755
T4,10.785
T1,10.906
T4,10.91
T4,11.01
T1,11.101
T1,11.326
T2,11.399
T4,11.475
T3,11.635
T4,11.836
T2,12.106
T4,12.161
T1,12.319
T3,12.357
T4,12.593
T2,12.725
T4,12.749
T3,13.208
T2,13.249
T1,13.401
T3,13.524
T3,13.78
T4,14.182
T3,14.49
T1,14.746
T3,14.794
T4,14.843
T2,14.888
T3,14.908
T4,15.031
T1,15.044
T2,15.173
T3,15.346
T4,15.54
T3,15.657
T3,15.835
T1,15.957
T2,16.129
T3,16.258
T1,16.26
T4,16.295
T4,16.313
T2,16.494
T1,16.629
T4,16.771
T2,16.81
T3,17.022
T1,17.125
T2,17.369
T4,17.398
T4,17.408
T4,17.41
T2,17.412
T2,17.425
T3,17.753
T4,17.787
T2,17.984
T3,18.092
T2,18.165
T2,18.19
T4,18.342
T2,18.344
T4,18.5
T4,18.626
T3,18.682
T3,18.733
T4,18.735
T3,18.75
T2,18.82
T1,18.861
T1,19.02
T3,19.084
T3,19.228
T4,19.242
T4,19.336
T3,19.4
T3,19.485
T1,19.485
T4,19.495
T2,19.599
T2,19.628
T4,19.85
T2,19.856
T2,20.329
