Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,24.9,37.5,0,376,24.8862316667
1,1000,1000,0,0,32.6,32.2,0,352,25.0031788889
2,1000,1000,0,0,25,35.9,0,391,24.7056922222
3,1000,1000,0,0,28.4,33.8,0,378,24.6497622222
4,1000,1000,0,0,27.3,33.1,0,396,25.638205
5,1000,1000,0,0,23.6,36.5,0,399,25.3297488889
6,1000,1000,0,0,25.4,35.2,0,394,25.0119677778
7,1000,1000,0,0,30,30.6,0,394,24.7983011111
8,1000,1000,0,0,27.4,34.2,0,384,25.0558733333
9,1000,1000,0,0,26.1,33.1,0,408,25.3456844444
10,1000,1000,0,0,24.1,35.4,0,405,25.4899038889
11,1000,1000,0,0,23.9,36.2,0,399,24.9767683333
12,1000,1000,0,0,24.9,35.3,0,398,25.1887572222
13,1000,1000,0,0,28.6,33.9,0,375,24.6444033333
14,1000,1000,0,0,28.7,31.9,0,394,24.5916322222
15,1000,1000,0,0,22.7,37,0,403,24.4542788889
16,1000,1000,0,0,26.4,36.5,0,371,24.7703438889
17,1000,1000,0,0,26.9,36.2,0,369,24.6492277778
18,1000,1000,0,0,32.7,31.5,0,358,24.9396111111
19,1000,1000,0,0,24.9,36.7,0,384,25.8580961111
20,1000,1000,0,0,28.4,33.3,0,383,25.6197861111
21,1000,1000,0,0,21.7,37,0,413,25.09451
22,1000,1000,0,0,24.6,37.2,0,382,25.7207527778
23,1000,1000,0,0,27.3,36.5,0,362,24.5753177778
24,1000,1000,0,0,27.6,34.9,0,375,24.9995511111
25,1000,1000,0,0,29.7,32.5,0,378,25.5835255556
26,1000,1000,0,0,26.1,34.2,0,397,25.7497672222
27,1000,1000,0,0,30.3,31.7,0,380,24.9425555556
28,1000,1000,0,0,25.8,37.6,0,366,24.6302516667
29,1000,1000,0,0,27.1,34.3,0,386,25.5251316667
