id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,6.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 2.439, 'gpu': 0.229, 'CLOUD': 0.184}",0.0,0.229,4.0,6.0
2,TT1,447.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 1.566, 'gpu': 0.229, 'CLOUD': 0.188}",0.229,0.458,4.0,6.0
3,TT2,175.0,BESTEFFORT,COMPLETED,gpu,0.328,"{'cpu': 14.835, 'gpu': 1.258, 'CLOUD': 1.053}",0.458,1.716,3.828,5.577999999999999
4,TT2,166.0,BESTEFFORT,COMPLETED,gpu,2.041,"{'cpu': 10.753, 'gpu': 1.318, 'CLOUD': 1.07}",2.041,3.359,5.541,7.291
5,TT2,127.0,BESTEFFORT,COMPLETED,gpu,2.498,"{'cpu': 10.288, 'gpu': 1.083, 'CLOUD': 1.112}",3.359,4.442,5.998,7.748
6,TT2,98.0,BESTEFFORT,COMPLETED,gpu,3.438,"{'cpu': 12.567, 'gpu': 1.475, 'CLOUD': 1.095}",4.442,5.917,6.938000000000001,8.688
7,TT2,228.0,BESTEFFORT,MISSED,cpu,3.717,"{'cpu': 14.994, 'gpu': 1.348, 'CLOUD': 1.147}",3.717,inf,7.2170000000000005,8.967
8,TT2,135.0,BESTEFFORT,MISSED,cpu,3.897,"{'cpu': 11.21, 'gpu': 1.48, 'CLOUD': 1.174}",8.967,inf,7.397,9.147
9,TT2,224.0,BESTEFFORT,COMPLETED,gpu,4.086,"{'cpu': 14.881, 'gpu': 1.111, 'CLOUD': 1.124}",5.917,7.028,7.586,9.336
10,TT2,138.0,BESTEFFORT,XCOMPLETED,gpu,4.483,"{'cpu': 13.889, 'gpu': 1.095, 'CLOUD': 1.137}",7.028,8.123,7.983,9.733
11,TT2,59.0,BESTEFFORT,XCOMPLETED,gpu,5.465,"{'cpu': 13.033, 'gpu': 1.22, 'CLOUD': 1.175}",9.321,10.541,8.965,10.715
12,TT2,179.0,BESTEFFORT,COMPLETED,gpu,5.925,"{'cpu': 12.618, 'gpu': 1.198, 'CLOUD': 1.071}",8.123,9.321,9.425,11.175
13,TT2,236.0,BESTEFFORT,MISSED,cpu,9.176,"{'cpu': 12.195, 'gpu': 1.194, 'CLOUD': 1.138}",9.176,inf,12.676,14.426
14,TT2,100.0,BESTEFFORT,COMPLETED,gpu,10.449,"{'cpu': 10.319, 'gpu': 1.122, 'CLOUD': 1.163}",10.541,11.663,13.949,15.699
15,TT1,10.0,BESTEFFORT,COMPLETED,gpu,10.965,"{'cpu': 1.722, 'gpu': 0.21, 'CLOUD': 0.137}",11.663,11.873000000000001,14.965,16.965
16,TT1,7.0,BESTEFFORT,COMPLETED,gpu,14.658,"{'cpu': 1.235, 'gpu': 0.254, 'CLOUD': 0.164}",14.658,14.911999999999999,18.658,20.658
17,TT2,186.0,BESTEFFORT,COMPLETED,gpu,18.008,"{'cpu': 11.947, 'gpu': 1.109, 'CLOUD': 1.07}",18.008,19.116999999999997,21.508,23.258
18,TT2,106.0,BESTEFFORT,COMPLETED,gpu,18.512,"{'cpu': 10.464, 'gpu': 1.165, 'CLOUD': 1.132}",19.116999999999997,20.281999999999996,22.012,23.762
19,TT2,107.0,BESTEFFORT,MISSED,cpu,18.701,"{'cpu': 14.302, 'gpu': 1.478, 'CLOUD': 1.163}",18.701,inf,22.201,23.951
20,TT2,50.0,BESTEFFORT,COMPLETED,gpu,20.384,"{'cpu': 13.534, 'gpu': 1.169, 'CLOUD': 1.194}",20.384,21.553,23.884,25.634
21,TT2,199.0,BESTEFFORT,COMPLETED,gpu,21.139,"{'cpu': 14.861, 'gpu': 1.22, 'CLOUD': 1.092}",21.553,22.773,24.639,26.389
22,TT2,209.0,BESTEFFORT,COMPLETED,gpu,21.763,"{'cpu': 13.59, 'gpu': 1.251, 'CLOUD': 1.052}",22.773,24.024,25.263,27.013
23,TT2,239.0,BESTEFFORT,MISSED,cpu,22.208,"{'cpu': 10.881, 'gpu': 1.48, 'CLOUD': 1.006}",23.951,inf,25.708,27.458
24,TT1,387.0,BESTEFFORT,COMPLETED,gpu,23.611,"{'cpu': 2.617, 'gpu': 0.109, 'CLOUD': 0.154}",24.024,24.133000000000003,27.611,29.611
25,TT2,314.0,BESTEFFORT,COMPLETED,gpu,24.233,"{'cpu': 11.527, 'gpu': 1.169, 'CLOUD': 1.122}",24.233,25.402,27.733,29.483
26,TT1,447.0,BESTEFFORT,COMPLETED,gpu,24.381,"{'cpu': 1.641, 'gpu': 0.209, 'CLOUD': 0.139}",25.402,25.611,28.381,30.381
27,TT1,157.0,BESTEFFORT,XCOMPLETED,cpu,24.385,"{'cpu': 2.224, 'gpu': 0.159, 'CLOUD': 0.184}",27.458,29.682,28.385,30.385
28,TT2,171.0,BESTEFFORT,COMPLETED,gpu,25.023,"{'cpu': 12.197, 'gpu': 1.358, 'CLOUD': 1.153}",25.611,26.969,28.523,30.273
29,TT2,198.0,BESTEFFORT,COMPLETED,gpu,27.812,"{'cpu': 11.982, 'gpu': 1.035, 'CLOUD': 1.072}",27.812,28.847,31.312,33.062
30,TT1,387.0,BESTEFFORT,COMPLETED,gpu,28.515,"{'cpu': 2.325, 'gpu': 0.134, 'CLOUD': 0.126}",28.847,28.981,32.515,34.515
31,TT1,59.0,BESTEFFORT,COMPLETED,gpu,31.233,"{'cpu': 2.604, 'gpu': 0.16, 'CLOUD': 0.125}",31.233,31.393,35.233000000000004,37.233000000000004
32,TT2,70.0,BESTEFFORT,COMPLETED,gpu,32.087,"{'cpu': 13.519, 'gpu': 1.098, 'CLOUD': 1.096}",32.087,33.185,35.587,37.337
33,TT2,117.0,BESTEFFORT,COMPLETED,gpu,32.477,"{'cpu': 14.772, 'gpu': 1.249, 'CLOUD': 1.071}",33.185,34.434000000000005,35.977,37.727
34,TT2,206.0,BESTEFFORT,MISSED,cpu,32.916,"{'cpu': 11.798, 'gpu': 1.263, 'CLOUD': 1.059}",32.916,inf,36.416,38.166
35,TT2,138.0,BESTEFFORT,COMPLETED,gpu,33.36,"{'cpu': 10.137, 'gpu': 1.092, 'CLOUD': 1.057}",34.434000000000005,35.526,36.86,38.61
36,TT2,198.0,BESTEFFORT,MISSED,cpu,33.746,"{'cpu': 11.206, 'gpu': 1.451, 'CLOUD': 1.148}",38.166,inf,37.246,38.996
37,TT2,239.0,BESTEFFORT,MISSED,gpu,34.125,"{'cpu': 13.101, 'gpu': 1.313, 'CLOUD': 1.046}",39.281,inf,37.625,39.375
38,TT2,111.0,BESTEFFORT,COMPLETED,gpu,34.167,"{'cpu': 15.165, 'gpu': 1.214, 'CLOUD': 1.13}",35.526,36.74,37.667,39.417
39,TT2,114.0,BESTEFFORT,COMPLETED,gpu,35.158,"{'cpu': 14.86, 'gpu': 1.218, 'CLOUD': 1.045}",36.74,37.958,38.658,40.408
40,TT2,226.0,BESTEFFORT,COMPLETED,gpu,36.686,"{'cpu': 14.152, 'gpu': 1.323, 'CLOUD': 1.049}",37.958,39.281,40.186,41.936
41,TT1,28.0,BESTEFFORT,COMPLETED,cpu,37.383,"{'cpu': 1.087, 'gpu': 0.158, 'CLOUD': 0.113}",38.996,40.083000000000006,41.383,43.383
42,TT2,66.0,BESTEFFORT,COMPLETED,gpu,37.946,"{'cpu': 13.991, 'gpu': 1.019, 'CLOUD': 1.092}",39.375,40.394,41.446,43.196
43,TT1,447.0,BESTEFFORT,COMPLETED,cpu,38.456,"{'cpu': 1.183, 'gpu': 0.228, 'CLOUD': 0.143}",40.083000000000006,41.266000000000005,42.456,44.456
44,TT2,66.0,BESTEFFORT,COMPLETED,gpu,40.539,"{'cpu': 14.473, 'gpu': 1.298, 'CLOUD': 1.102}",40.539,41.837,44.039,45.789
45,TT1,7.0,BESTEFFORT,COMPLETED,gpu,40.596,"{'cpu': 1.613, 'gpu': 0.133, 'CLOUD': 0.125}",41.837,41.970000000000006,44.596,46.596
46,TT2,128.0,BESTEFFORT,MISSED,cpu,40.932,"{'cpu': 12.711, 'gpu': 1.156, 'CLOUD': 1.098}",41.266000000000005,inf,44.432,46.182
47,TT1,10.0,BESTEFFORT,MISSED,cpu,41.282,"{'cpu': 1.424, 'gpu': 0.116, 'CLOUD': 0.176}",46.182,inf,45.282,47.282
48,TT1,10.0,BESTEFFORT,COMPLETED,gpu,42.131,"{'cpu': 1.164, 'gpu': 0.117, 'CLOUD': 0.149}",42.131,42.248,46.131,48.131
49,TT1,169.0,BESTEFFORT,COMPLETED,gpu,42.202,"{'cpu': 1.488, 'gpu': 0.149, 'CLOUD': 0.193}",42.248,42.397,46.202,48.202
