id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,379.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 1.236, 'gpu': 0.461, 'CLOUD': 0.222}",0.0,0.461,4.0,6.0
2,TT1,6.0,BESTEFFORT,COMPLETED,cpu,0.0,"{'cpu': 1.581, 'gpu': 0.255, 'CLOUD': 0.157}",0.0,1.581,4.0,6.0
3,TT1,126.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 3.176, 'gpu': 0.367, 'CLOUD': 0.168}",0.461,0.8280000000000001,4.0,6.0
4,TT2,109.0,BESTEFFORT,COMPLETED,gpu,1.334,"{'cpu': 10.6, 'gpu': 1.108, 'CLOUD': 1.137}",1.334,2.442,4.834,6.584
5,TT2,114.0,BESTEFFORT,COMPLETED,gpu,2.228,"{'cpu': 15.919, 'gpu': 1.313, 'CLOUD': 1.187}",2.442,3.755,5.728,7.478
6,TT2,237.0,BESTEFFORT,COMPLETED,gpu,2.58,"{'cpu': 11.585, 'gpu': 1.073, 'CLOUD': 1.256}",3.755,4.827999999999999,6.08,7.83
7,TT2,132.0,BESTEFFORT,MISSED,cpu,2.726,"{'cpu': 14.939, 'gpu': 1.582, 'CLOUD': 1.186}",2.726,inf,6.226,7.976
8,TT2,210.0,BESTEFFORT,MISSED,cpu,3.695,"{'cpu': 11.614, 'gpu': 1.346, 'CLOUD': 1.156}",7.976,inf,7.195,8.945
9,TT2,144.0,BESTEFFORT,COMPLETED,gpu,3.953,"{'cpu': 14.429, 'gpu': 1.341, 'CLOUD': 1.07}",4.827999999999999,6.169,7.452999999999999,9.203
10,TT1,59.0,BESTEFFORT,COMPLETED,gpu,4.396,"{'cpu': 2.624, 'gpu': 0.48, 'CLOUD': 0.242}",6.169,6.648999999999999,8.396,10.396
11,TT2,215.0,BESTEFFORT,MISSED,cpu,4.474,"{'cpu': 11.643, 'gpu': 1.249, 'CLOUD': 1.179}",8.945,inf,7.974,9.724
