id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT2,114.0,BESTEFFORT,MISSED,cpu,0.203,"{'cpu': 13.897, 'gpu': 1.7, 'CLOUD': 1.203}",2.149,inf,3.703,5.452999999999999
2,TT2,214.0,BESTEFFORT,COMPLETED,gpu,0.461,"{'cpu': 10.461, 'gpu': 1.16, 'CLOUD': 1.192}",0.461,1.621,3.961,5.711
3,TT2,28.0,BESTEFFORT,COMPLETED,gpu,1.996,"{'cpu': 11.585, 'gpu': 1.02, 'CLOUD': 1.098}",1.996,3.016,5.496,7.246
4,TT2,287.0,BESTEFFORT,MISSED,cpu,2.149,"{'cpu': 10.8, 'gpu': 1.523, 'CLOUD': 1.274}",5.452999999999999,inf,5.649,7.399
5,TT2,35.0,BESTEFFORT,XCOMPLETED,gpu,2.233,"{'cpu': 15.203, 'gpu': 1.112, 'CLOUD': 1.254}",6.034000000000001,7.146000000000001,5.7330000000000005,7.4830000000000005
6,TT2,209.0,BESTEFFORT,COMPLETED,gpu,2.637,"{'cpu': 10.756, 'gpu': 1.307, 'CLOUD': 1.135}",3.016,4.323,6.1370000000000005,7.8870000000000005
7,TT1,120.0,BESTEFFORT,COMPLETED,gpu,2.781,"{'cpu': 2.024, 'gpu': 0.121, 'CLOUD': 0.221}",4.323,4.444000000000001,6.781000000000001,8.781
8,TT2,376.0,BESTEFFORT,COMPLETED,gpu,3.952,"{'cpu': 10.745, 'gpu': 1.59, 'CLOUD': 1.168}",4.444000000000001,6.034000000000001,7.452,9.202
9,TT2,112.0,BESTEFFORT,XCOMPLETED,gpu,4.062,"{'cpu': 15.276, 'gpu': 1.523, 'CLOUD': 1.029}",7.146000000000001,8.669,7.562,9.312000000000001
10,TT1,7.0,BESTEFFORT,XCOMPLETED,cpu,4.103,"{'cpu': 2.066, 'gpu': 0.393, 'CLOUD': 0.18}",7.399,9.465,8.103,10.103
11,TT2,127.0,BESTEFFORT,MISSED,cpu,4.476,"{'cpu': 11.0, 'gpu': 1.534, 'CLOUD': 1.216}",9.465,inf,7.976,9.725999999999999
12,TT2,200.0,BESTEFFORT,XCOMPLETED,gpu,4.849,"{'cpu': 15.417, 'gpu': 1.211, 'CLOUD': 1.283}",8.669,9.88,8.349,10.099
13,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,5.097,"{'cpu': 2.188, 'gpu': 0.466, 'CLOUD': 0.14}",9.88,10.346,9.097000000000001,11.097000000000001
14,TT2,137.0,BESTEFFORT,MISSED,cpu,5.197,"{'cpu': 13.055, 'gpu': 1.533, 'CLOUD': 1.172}",11.253,inf,8.697,10.447
15,TT2,210.0,BESTEFFORT,MISSED,cpu,6.003,"{'cpu': 14.194, 'gpu': 1.368, 'CLOUD': 1.11}",9.725999999999999,inf,9.503,11.253
16,TT2,109.0,BESTEFFORT,MISSED,gpu,6.797,"{'cpu': 15.582, 'gpu': 1.381, 'CLOUD': 1.256}",12.519,inf,10.297,12.047
