id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,214.0,BESTEFFORT,COMPLETED,cpu,0.0,"{'cpu': 1.122, 'gpu': 0.116, 'CLOUD': 0.108}",0.0,1.122,4.0,6.0
2,TT2,135.0,BESTEFFORT,MISSED,cpu,0.164,"{'cpu': 10.903, 'gpu': 1.211, 'CLOUD': 1.054}",1.122,inf,3.664,5.414
3,TT2,53.0,BESTEFFORT,COMPLETED,gpu,0.219,"{'cpu': 11.447, 'gpu': 1.073, 'CLOUD': 1.028}",0.219,1.292,3.719,5.468999999999999
4,TT2,230.0,BESTEFFORT,COMPLETED,gpu,0.973,"{'cpu': 12.02, 'gpu': 1.087, 'CLOUD': 1.094}",1.292,2.379,4.473,6.223
5,TT1,44.0,BESTEFFORT,COMPLETED,gpu,2.639,"{'cpu': 1.172, 'gpu': 0.118, 'CLOUD': 0.116}",2.639,2.7569999999999997,6.638999999999999,8.639
6,TT2,233.0,BESTEFFORT,COMPLETED,gpu,2.739,"{'cpu': 12.846, 'gpu': 1.021, 'CLOUD': 1.097}",2.7569999999999997,3.7779999999999996,6.239,7.989
7,TT1,28.0,BESTEFFORT,COMPLETED,gpu,3.258,"{'cpu': 1.21, 'gpu': 0.135, 'CLOUD': 0.105}",3.7779999999999996,3.9129999999999994,7.258,9.258
8,TT2,109.0,BESTEFFORT,MISSED,cpu,3.759,"{'cpu': 12.02, 'gpu': 1.153, 'CLOUD': 1.02}",5.414,inf,7.259,9.009
9,TT2,150.0,BESTEFFORT,COMPLETED,gpu,5.171,"{'cpu': 10.948, 'gpu': 1.204, 'CLOUD': 1.006}",5.171,6.375,8.671,10.421
10,TT1,7.0,BESTEFFORT,COMPLETED,gpu,5.307,"{'cpu': 1.232, 'gpu': 0.137, 'CLOUD': 0.12}",6.375,6.5120000000000005,9.307,11.307
11,TT1,44.0,BESTEFFORT,XCOMPLETED,cpu,5.606,"{'cpu': 1.049, 'gpu': 0.134, 'CLOUD': 0.117}",9.009,10.058,9.606,11.606
