id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,13.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 1.818, 'gpu': 0.122, 'CLOUD': 0.118}",0.0,0.122,4.0,6.0
2,TT2,179.0,BESTEFFORT,MISSED,cpu,1.487,"{'cpu': 12.846, 'gpu': 1.162, 'CLOUD': 1.11}",1.946,inf,4.987,6.737
3,TT2,158.0,BESTEFFORT,MISSED,gpu,1.946,"{'cpu': 12.775, 'gpu': 1.386, 'CLOUD': 1.002}",7.532,inf,5.446,7.196
4,TT2,85.0,BESTEFFORT,XCOMPLETED,gpu,2.54,"{'cpu': 11.933, 'gpu': 1.069, 'CLOUD': 1.17}",5.265,6.334,6.04,7.79
5,TT2,168.0,BESTEFFORT,XCOMPLETED,gpu,2.597,"{'cpu': 11.552, 'gpu': 1.198, 'CLOUD': 1.037}",6.334,7.532,6.0969999999999995,7.8469999999999995
6,TT2,148.0,BESTEFFORT,MISSED,gpu,3.021,"{'cpu': 10.76, 'gpu': 1.29, 'CLOUD': 1.023}",7.532,inf,6.521,8.271
7,TT2,162.0,BESTEFFORT,MISSED,gpu,3.324,"{'cpu': 11.197, 'gpu': 1.415, 'CLOUD': 1.074}",8.722,inf,6.824,8.574
8,TT2,178.0,BESTEFFORT,MISSED,gpu,3.472,"{'cpu': 14.911, 'gpu': 1.495, 'CLOUD': 1.011}",8.271,inf,6.9719999999999995,8.722
9,TT2,89.0,BESTEFFORT,MISSED,gpu,4.458,"{'cpu': 10.071, 'gpu': 1.211, 'CLOUD': 1.098}",10.844999999999999,inf,7.958,9.708
10,TT2,169.0,BESTEFFORT,XCOMPLETED,gpu,5.265,"{'cpu': 13.441, 'gpu': 1.367, 'CLOUD': 1.008}",8.722,10.088999999999999,8.765,10.515
11,TT2,127.0,BESTEFFORT,MISSED,gpu,5.595,"{'cpu': 12.369, 'gpu': 1.274, 'CLOUD': 1.122}",10.088999999999999,inf,9.094999999999999,10.844999999999999
12,TT2,134.0,BESTEFFORT,MISSED,gpu,5.679,"{'cpu': 12.839, 'gpu': 1.491, 'CLOUD': 1.064}",10.844999999999999,inf,9.179,10.929
13,TT2,158.0,BESTEFFORT,MISSED,cpu,5.737,"{'cpu': 10.358, 'gpu': 1.358, 'CLOUD': 1.139}",13.41,inf,9.237,10.987
14,TT2,120.0,BESTEFFORT,MISSED,gpu,7.024,"{'cpu': 10.629, 'gpu': 1.423, 'CLOUD': 1.084}",10.929,inf,10.524000000000001,12.274000000000001
15,TT2,152.0,BESTEFFORT,MISSED,gpu,7.547,"{'cpu': 12.669, 'gpu': 1.425, 'CLOUD': 1.151}",12.274000000000001,inf,11.047,12.797
16,TT2,136.0,BESTEFFORT,MISSED,gpu,7.825,"{'cpu': 11.109, 'gpu': 1.408, 'CLOUD': 1.109}",12.797,inf,11.325,13.075
17,TT2,237.0,BESTEFFORT,MISSED,gpu,7.987,"{'cpu': 13.8, 'gpu': 1.221, 'CLOUD': 1.166}",13.075,inf,11.487,13.237
18,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,8.336,"{'cpu': 2.675, 'gpu': 0.173, 'CLOUD': 0.18}",13.237,13.41,12.336,14.336
19,TT2,89.0,BESTEFFORT,MISSED,cpu,8.341,"{'cpu': 14.264, 'gpu': 1.318, 'CLOUD': 1.006}",14.057,inf,11.841,13.591
20,TT2,135.0,BESTEFFORT,MISSED,cpu,8.807,"{'cpu': 13.604, 'gpu': 1.427, 'CLOUD': 1.002}",13.41,inf,12.307,14.057
21,TT2,212.0,BESTEFFORT,MISSED,cpu,9.161,"{'cpu': 14.937, 'gpu': 1.333, 'CLOUD': 1.031}",14.581,inf,12.661,14.411
22,TT2,87.0,BESTEFFORT,MISSED,cpu,9.331,"{'cpu': 15.045, 'gpu': 1.217, 'CLOUD': 1.189}",14.057,inf,12.831,14.581
23,TT2,219.0,BESTEFFORT,MISSED,cpu,9.431,"{'cpu': 15.017, 'gpu': 1.142, 'CLOUD': 1.094}",14.896,inf,12.931,14.681
24,TT2,185.0,BESTEFFORT,MISSED,cpu,9.646,"{'cpu': 15.101, 'gpu': 1.486, 'CLOUD': 1.0}",14.581,inf,13.146,14.896
25,TT1,120.0,BESTEFFORT,XCOMPLETED,gpu,9.654,"{'cpu': 1.68, 'gpu': 0.146, 'CLOUD': 0.109}",14.896,15.042000000000002,13.654,15.654
26,TT2,220.0,BESTEFFORT,MISSED,cpu,9.657,"{'cpu': 14.301, 'gpu': 1.423, 'CLOUD': 1.136}",15.329,inf,13.157,14.907
27,TT2,132.0,BESTEFFORT,MISSED,cpu,10.079,"{'cpu': 13.033, 'gpu': 1.382, 'CLOUD': 1.059}",15.042000000000002,inf,13.579,15.329
28,TT1,447.0,BESTEFFORT,XCOMPLETED,gpu,10.161,"{'cpu': 1.964, 'gpu': 0.165, 'CLOUD': 0.126}",15.329,15.494,14.161,16.161
29,TT2,135.0,BESTEFFORT,MISSED,cpu,10.183,"{'cpu': 10.672, 'gpu': 1.182, 'CLOUD': 1.115}",15.494,inf,13.683,15.433
30,TT1,28.0,BESTEFFORT,XCOMPLETED,gpu,10.205,"{'cpu': 2.469, 'gpu': 0.234, 'CLOUD': 0.198}",15.494,15.728,14.205,16.205
31,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,10.424,"{'cpu': 1.88, 'gpu': 0.133, 'CLOUD': 0.119}",15.728,15.861,14.424,16.424
32,TT2,100.0,BESTEFFORT,MISSED,cpu,10.579,"{'cpu': 14.394, 'gpu': 1.343, 'CLOUD': 1.147}",16.989,inf,14.079,15.829
33,TT2,150.0,BESTEFFORT,MISSED,cpu,10.858,"{'cpu': 12.614, 'gpu': 1.195, 'CLOUD': 1.057}",15.861,inf,14.358,16.108
34,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,10.919,"{'cpu': 1.884, 'gpu': 0.166, 'CLOUD': 0.113}",16.108,16.274,14.919,16.919
35,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,11.092,"{'cpu': 1.811, 'gpu': 0.108, 'CLOUD': 0.145}",16.274,16.382,15.092,17.092
36,TT2,235.0,BESTEFFORT,MISSED,cpu,11.739,"{'cpu': 10.266, 'gpu': 1.491, 'CLOUD': 1.022}",16.382,inf,15.239,16.989
37,TT1,10.0,BESTEFFORT,XCOMPLETED,gpu,12.115,"{'cpu': 1.067, 'gpu': 0.251, 'CLOUD': 0.148}",16.989,17.240000000000002,16.115000000000002,18.115000000000002
38,TT2,139.0,BESTEFFORT,MISSED,cpu,12.14,"{'cpu': 11.541, 'gpu': 1.187, 'CLOUD': 1.066}",17.240000000000002,inf,15.64,17.39
39,TT1,10.0,BESTEFFORT,XCOMPLETED,gpu,12.269,"{'cpu': 1.139, 'gpu': 0.195, 'CLOUD': 0.185}",17.240000000000002,17.435000000000002,16.269,18.269
40,TT1,157.0,BESTEFFORT,XCOMPLETED,gpu,12.38,"{'cpu': 1.378, 'gpu': 0.116, 'CLOUD': 0.176}",17.435000000000002,17.551000000000002,16.380000000000003,18.380000000000003
41,TT2,157.0,BESTEFFORT,MISSED,cpu,12.542,"{'cpu': 11.206, 'gpu': 1.309, 'CLOUD': 1.072}",17.435000000000002,inf,16.042,17.792
42,TT1,146.0,BESTEFFORT,XCOMPLETED,gpu,12.942,"{'cpu': 1.88, 'gpu': 0.124, 'CLOUD': 0.126}",17.792,17.916,16.942,18.942
43,TT2,202.0,BESTEFFORT,MISSED,cpu,13.288,"{'cpu': 12.732, 'gpu': 1.123, 'CLOUD': 1.056}",17.806,inf,16.788,18.538
44,TT1,146.0,BESTEFFORT,XCOMPLETED,gpu,13.474,"{'cpu': 2.272, 'gpu': 0.204, 'CLOUD': 0.17}",17.916,18.12,17.474,19.474
45,TT1,103.0,BESTEFFORT,XCOMPLETED,gpu,13.8,"{'cpu': 2.502, 'gpu': 0.141, 'CLOUD': 0.134}",18.982,19.122999999999998,17.8,19.8
46,TT2,180.0,BESTEFFORT,MISSED,cpu,14.018,"{'cpu': 10.695, 'gpu': 1.481, 'CLOUD': 1.126}",18.538,inf,17.518,19.268
47,TT2,168.0,BESTEFFORT,MISSED,cpu,14.061,"{'cpu': 14.978, 'gpu': 1.087, 'CLOUD': 1.058}",19.268,inf,17.561,19.311
48,TT1,16.0,BESTEFFORT,XCOMPLETED,gpu,14.116,"{'cpu': 1.966, 'gpu': 0.127, 'CLOUD': 0.151}",18.547,18.674,18.116,20.116
49,TT2,134.0,BESTEFFORT,MISSED,cpu,14.139,"{'cpu': 10.5, 'gpu': 1.314, 'CLOUD': 1.113}",19.311,inf,17.639,19.389
50,TT1,10.0,BESTEFFORT,XCOMPLETED,gpu,14.342,"{'cpu': 1.696, 'gpu': 0.226, 'CLOUD': 0.161}",19.122999999999998,19.348999999999997,18.342,20.342
51,TT2,309.0,BESTEFFORT,MISSED,cpu,14.564,"{'cpu': 11.148, 'gpu': 1.139, 'CLOUD': 1.002}",19.389,inf,18.064,19.814
52,TT1,146.0,BESTEFFORT,XCOMPLETED,gpu,14.604,"{'cpu': 2.174, 'gpu': 0.241, 'CLOUD': 0.166}",19.389,19.63,18.604,20.604
53,TT1,387.0,BESTEFFORT,XCOMPLETED,gpu,15.312,"{'cpu': 2.016, 'gpu': 0.138, 'CLOUD': 0.169}",19.994,20.132,19.311999999999998,21.311999999999998
