Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,999,0,0,0.4,1.7000000000000002,2.1,0,978,5.516156666666627
1,1000,1000,0,0,2.0,4.8,6.8,0,932,6.938287777777519
2,1000,1000,0,0,1.7999999999999998,3.9,5.699999999999999,0,943,7.437957777777582
3,1000,999,0,0,0.4,3.6999999999999997,4.1,0,958,5.896747777777445
4,1000,999,0,0,1.7000000000000002,3.0,4.7,0,952,5.886783333333034
5,1000,999,0,0,0.6,3.6999999999999997,4.3,0,956,5.805542222222138
6,1000,999,0,0,1.6,3.5000000000000004,5.1000000000000005,0,948,5.853698888888759
7,1000,1000,0,0,0.5,0.5,1.0,0,990,5.531689999999944
8,1000,999,0,0,1.0999999999999999,1.6,2.7,0,972,5.703657777777693
9,1000,999,0,0,2.1,1.6,3.7,0,962,7.457949999999891
10,1000,1000,0,0,1.0999999999999999,6.4,7.5,0,925,7.4032122222218
11,1000,999,0,0,1.6,7.6,9.2,0,907,7.183791111111271
12,1000,1000,0,0,0.1,1.4000000000000001,1.5000000000000002,0,985,6.595583333333321
13,1000,999,0,0,2.7,7.8,10.5,0,894,8.124791111111163
14,1000,999,0,0,0.7000000000000001,4.8,5.5,0,944,6.110171111110896
15,1000,999,0,0,0.5,1.3,1.8,0,981,6.068207777777602
16,1000,999,0,0,0.2,0.1,0.30000000000000004,0,996,4.86921888888906
17,1000,1000,0,0,0.6,3.2,3.8000000000000003,0,962,6.158553333333138
18,1000,999,0,0,0.8999999999999999,4.3,5.199999999999999,0,947,7.369117777777556
19,1000,1000,0,0,0.2,0.4,0.6000000000000001,0,994,5.144992222222422
20,1000,999,0,0,0.7000000000000001,5.2,5.9,0,940,6.279255555555707
21,1000,999,0,0,0.4,1.3,1.7000000000000002,0,982,5.620746666667031
22,1000,1000,0,0,1.4000000000000001,0.8,2.2,0,978,5.7154188888887685
23,1000,999,0,0,1.4000000000000001,2.3,3.7,0,962,5.666233333333381
24,1000,999,0,0,1.0,8.4,9.4,0,905,8.733248888888866
25,1000,999,0,0,2.0,3.9,5.9,0,940,6.774146666666514
26,1000,1000,0,0,0.4,4.3,4.7,0,953,6.503126666666392
27,1000,1000,0,0,0.4,3.3000000000000003,3.7,0,963,6.411594444444624
28,1000,999,0,0,0.8,8.5,9.3,0,906,8.18413222222224
29,1000,999,0,0,1.4000000000000001,13.5,14.9,0,850,9.839847777777633
30,1000,999,0,0,0.1,8.5,8.6,0,913,8.47824777777737
31,1000,999,0,0,2.7,7.9,10.600000000000001,0,893,7.598604444444657
32,1000,1000,0,0,3.6999999999999997,11.3,15.0,0,850,10.29119555555541
33,1000,999,0,0,3.9,7.1,11.0,0,889,9.0818055555559
34,1000,999,0,0,4.0,17.5,21.5,0,784,15.769793333332881
35,1000,999,0,0,2.8000000000000003,14.000000000000002,16.8,0,831,9.69263222222192
36,1000,999,0,0,2.7,20.5,23.2,0,767,14.152893333332662
37,1000,999,0,0,0.3,1.9,2.1999999999999997,0,977,5.357106666666467
38,1000,999,0,0,2.5,18.8,21.3,0,786,13.76372666666662
39,1000,999,0,0,2.1999999999999997,6.3,8.5,0,914,7.575127777777546
40,1000,999,0,0,0.3,15.0,15.3,0,846,12.47016444444331
41,1000,999,0,0,0.5,3.1,3.6,0,963,5.579331111110497
42,1000,999,0,0,2.6,11.1,13.7,0,862,11.9518188888886
43,1000,999,0,0,0.4,6.4,6.800000000000001,0,931,6.4625177777779435
44,1000,999,0,0,2.4,8.5,10.9,0,890,7.857196666666466
45,1000,999,0,0,0.5,2.8000000000000003,3.3000000000000003,0,966,5.61212111111119
46,1000,999,0,0,1.5,14.799999999999999,16.299999999999997,0,836,14.1758299999991
47,1000,999,0,0,1.6,4.7,6.300000000000001,0,936,6.09964444444463
48,1000,1000,0,0,0.2,3.5999999999999996,3.8,0,962,5.920224444443933
49,1000,999,0,0,3.2,11.600000000000001,14.8,0,851,12.13488333333247
50,1000,999,0,0,3.9,13.700000000000001,17.6,0,823,13.120447777776779
51,1000,999,0,0,3.2,17.299999999999997,20.499999999999996,0,794,14.43858111111057
52,1000,999,0,0,3.3000000000000003,18.6,21.900000000000002,0,780,13.97986666666572
53,1000,1000,0,0,2.8000000000000003,13.8,16.6,0,834,13.13735333333279
54,1000,999,0,0,0.8,20.5,21.3,0,786,13.860038888887761
55,1000,999,0,0,3.0,17.1,20.1,0,798,13.731681111110728
56,1000,999,0,0,1.6,19.1,20.700000000000003,0,792,13.743929999999072
57,1000,999,0,0,1.6,19.5,21.1,0,788,14.25126888888828
58,1000,1000,0,0,2.1999999999999997,4.2,6.4,0,936,6.944046666666493
59,1000,1000,0,0,0.8,4.0,4.8,0,952,6.665865555555383
60,1000,999,0,0,0.1,4.5,4.6,0,953,6.151921111111136
61,1000,987,0,0,0.7000000000000001,7.1,7.8,0,909,7.994629999999803
62,1000,999,0,0,0.7000000000000001,1.6,2.3000000000000003,0,976,5.041740000000139
63,1000,999,0,0,1.0,1.4000000000000001,2.4000000000000004,0,975,5.480874444444462
64,1000,999,0,0,0.5,5.5,6.0,0,939,6.840567777777473
65,1000,999,0,0,2.1,20.4,22.5,0,774,14.145762222221137
66,1000,999,0,0,0.3,2.7,3.0,0,969,6.302685555555376
67,1000,999,0,0,1.0999999999999999,7.5,8.6,0,913,7.328441111110495
68,1000,999,0,0,3.0,16.0,19.0,0,809,13.11580999999883
69,1000,999,0,0,0.0,4.3999999999999995,4.3999999999999995,0,955,5.9926344444442226
70,1000,999,0,0,0.7000000000000001,0.8,1.5,0,984,5.867201111111009
71,1000,999,0,0,0.3,1.4000000000000001,1.7000000000000002,0,982,5.5022944444442
