#, task_type_id, size, arrival_time,	execution_time_cpu,	execution_time_gpu,	execution_time_CLOUD
1,	2,	188.0,	0.0,			2.302,			0.111,			0.111,			2.295,			0.107,			0.051
2,	1,	126.0,	0.332,			1.462,			0.954,			0.954,			1.457,			0.981,			0.501
3,	1,	90.0,	0.471,			1.465,			0.979,			0.979,			1.468,			0.965,			0.501
4,	1,	379.0,	0.478,			1.46,			0.968,			0.968,			1.468,			0.965,			0.499
5,	1,	379.0,	1.078,			1.453,			0.978,			0.978,			1.456,			0.965,			0.501
6,	1,	90.0,	1.271,			1.477,			0.966,			0.966,			1.462,			0.965,			0.503
7,	1,	95.0,	2.431,			1.447,			0.979,			0.979,			1.451,			0.97,			0.499
8,	1,	59.0,	3.177,			1.446,			0.981,			0.981,			1.452,			0.967,			0.499
9,	1,	95.0,	3.517,			1.471,			0.969,			0.969,			1.465,			0.979,			0.501
10,	1,	49.0,	4.827,			1.478,			0.969,			0.969,			1.465,			0.975,			0.501
11,	1,	44.0,	4.874,			1.457,			0.964,			0.964,			1.457,			0.966,			0.501
12,	1,	13.0,	5.251,			1.477,			0.965,			0.965,			1.48,			0.984,			0.5
13,	1,	49.0,	5.343,			1.458,			0.971,			0.971,			1.456,			0.959,			0.501
14,	1,	498.0,	5.374,			1.453,			0.963,			0.963,			1.466,			0.971,			0.499
15,	1,	7.0,	6.706,			1.456,			0.965,			0.965,			1.473,			0.961,			0.499
16,	1,	146.0,	6.908,			1.459,			0.956,			0.956,			1.468,			0.965,			0.5
17,	1,	379.0,	7.113,			1.463,			0.969,			0.969,			1.471,			0.971,			0.502
18,	1,	16.0,	7.36,			1.462,			0.973,			0.973,			1.465,			0.987,			0.5
19,	1,	512.0,	7.941,			1.456,			0.972,			0.972,			1.43,			0.955,			0.5
20,	1,	7.0,	7.957,			1.455,			0.971,			0.971,			1.45,			0.971,			0.499
21,	1,	512.0,	8.715,			1.48,			0.969,			0.969,			1.462,			0.975,			0.498
22,	1,	6.0,	9.278,			1.463,			0.981,			0.981,			1.47,			0.977,			0.5
23,	1,	7.0,	9.483,			1.436,			0.965,			0.965,			1.456,			0.956,			0.5
24,	1,	559.0,	9.796,			1.465,			0.974,			0.974,			1.452,			0.963,			0.501
25,	1,	7.0,	10.897,			1.456,			0.956,			0.956,			1.458,			0.954,			0.5
26,	1,	44.0,	11.092,			1.44,			0.966,			0.966,			1.455,			0.98,			0.502
27,	1,	6.0,	11.135,			1.464,			0.973,			0.973,			1.46,			0.957,			0.5
28,	1,	6.0,	12.442,			1.476,			0.983,			0.983,			1.46,			0.962,			0.5
29,	1,	157.0,	12.712,			1.445,			0.968,			0.968,			1.474,			0.969,			0.502
30,	2,	180.0,	13.242,			2.304,			0.101,			0.101,			2.306,			0.101,			0.05
