#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,2,204.0,0.392,10.521,1.128,1.128,13.452,1.386,0.182
2,2,106.0,3.066,13.232,1.027,1.027,10.198,1.354,0.154
3,2,95.0,4.312,10.717,1.098,1.098,10.936,1.027,0.101
4,2,96.0,4.602,14.368,1.467,1.467,10.339,1.065,0.106
5,2,164.0,5.529,11.059,1.153,1.153,14.646,1.179,0.173
6,2,204.0,7.093,12.127,1.489,1.489,12.357,1.457,0.124
7,2,162.0,7.347,14.114,1.07,1.07,12.912,1.288,0.179
8,2,166.0,7.622,14.317,1.058,1.058,12.738,1.449,0.125
9,2,108.0,11.026,10.312,1.483,1.483,13.404,1.284,0.196
10,2,103.0,12.019,10.51,1.25,1.25,14.716,1.368,0.104
11,2,179.0,12.29,14.187,1.212,1.212,13.816,1.245,0.122
12,2,274.0,15.659,12.581,1.021,1.021,12.976,1.27,0.196
13,1,7.0,17.437,2.842,0.195,0.195,1.575,0.183,0.059
14,2,119.0,18.591,12.733,1.175,1.175,10.895,1.241,0.152
15,2,136.0,19.367,10.332,1.251,1.251,12.088,1.21,0.185
16,2,317.0,19.475,13.316,1.058,1.058,11.884,1.5,0.122
17,1,6.0,19.54,1.914,0.236,0.236,2.393,0.236,0.057
18,2,151.0,20.41,11.506,1.477,1.477,11.429,1.456,0.123
19,2,130.0,21.357,10.808,1.438,1.438,13.136,1.117,0.107
20,1,7.0,22.34,2.956,0.17,0.17,2.013,0.136,0.057
21,2,215.0,22.341,12.741,1.261,1.261,13.222,1.367,0.133
22,2,146.0,22.936,10.273,1.299,1.299,12.046,1.198,0.132
23,2,126.0,23.563,11.228,1.273,1.273,12.242,1.361,0.129
24,1,7.0,25.022,1.426,0.112,0.112,1.391,0.125,0.055
25,2,171.0,25.477,10.064,1.335,1.335,13.399,1.465,0.182
26,1,90.0,26.704,2.669,0.174,0.174,2.711,0.109,0.054
27,2,233.0,28.338,13.456,1.323,1.323,10.316,1.029,0.13
28,2,218.0,28.793,13.228,1.046,1.046,13.89,1.299,0.199
