#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,1,512.0,0.0,2.221,0.296,0.296,1.663,0.169,0.123
2,2,87.0,0.523,14.673,1.602,1.602,16.428,1.109,1.181
3,1,10.0,1.245,1.814,0.49,0.49,4.201,0.436,0.135
4,2,107.0,3.235,10.293,1.659,1.659,13.267,1.098,1.129
5,2,146.0,3.568,14.591,1.644,1.644,12.27,1.041,1.055
6,2,173.0,4.301,14.652,1.239,1.239,16.834,1.45,1.207
7,1,120.0,4.914,3.852,0.453,0.453,3.299,0.436,0.125
8,2,109.0,5.866,16.313,1.534,1.534,16.869,1.298,1.167
9,2,144.0,6.027,11.468,1.191,1.191,15.246,1.348,1.237
10,2,332.0,8.816,11.804,1.339,1.339,10.348,1.465,1.056
11,2,197.0,9.447,15.029,1.306,1.306,12.612,1.323,1.265
12,2,129.0,11.955,16.008,1.232,1.232,15.228,1.533,1.02
13,2,195.0,12.347,10.992,1.368,1.368,16.865,1.181,1.222
14,2,210.0,12.919,11.778,1.21,1.21,16.831,1.364,1.152
15,2,198.0,13.134,10.758,1.44,1.44,14.581,1.351,1.128
16,1,126.0,14.235,3.05,0.347,0.347,2.537,0.409,0.146
17,1,103.0,15.71,3.693,0.383,0.383,2.533,0.261,0.236
18,2,168.0,16.843,13.933,1.654,1.654,13.052,1.562,1.254
19,1,146.0,17.297,3.919,0.247,0.247,3.314,0.36,0.115
20,2,135.0,19.337,12.271,1.604,1.604,11.441,1.21,1.285
21,2,141.0,19.443,11.686,1.504,1.504,16.966,1.139,1.162
22,1,7.0,19.537,3.219,0.415,0.415,3.619,0.475,0.166
23,2,289.0,20.18,12.717,1.007,1.007,10.264,1.008,1.109
24,1,44.0,20.297,2.288,0.252,0.252,2.974,0.116,0.15
25,2,205.0,20.739,12.551,1.006,1.006,11.821,1.281,1.254
26,2,132.0,21.656,13.94,1.102,1.102,16.578,1.676,1.016
27,2,100.0,21.821,10.758,1.098,1.098,13.909,1.441,1.0
28,2,110.0,22.966,14.654,1.258,1.258,14.26,1.59,1.288
29,2,303.0,23.301,12.931,1.268,1.268,13.838,1.297,1.07
30,1,379.0,23.512,3.153,0.469,0.469,1.55,0.301,0.1
31,1,49.0,24.818,1.234,0.144,0.144,1.395,0.205,0.157
32,2,184.0,25.185,11.774,1.482,1.482,11.053,1.097,1.219
33,2,112.0,25.287,14.946,1.618,1.618,16.015,1.352,1.29
34,2,136.0,25.437,13.724,1.535,1.535,15.08,1.269,1.041
35,2,134.0,26.17,13.859,1.373,1.373,10.825,1.344,1.14
36,1,30.0,26.644,1.155,0.184,0.184,1.426,0.329,0.22
37,2,221.0,27.846,16.265,1.42,1.42,13.923,1.412,1.294
38,2,157.0,27.901,13.095,1.264,1.264,14.334,1.341,1.248
39,2,263.0,28.45,11.121,1.204,1.204,12.034,1.257,1.22
40,2,193.0,30.289,16.214,1.435,1.435,10.992,1.471,1.11
41,2,266.0,33.254,12.462,1.093,1.093,16.528,1.506,1.22
42,2,155.0,33.924,13.774,1.443,1.443,12.045,1.233,1.052
43,2,200.0,35.685,13.626,1.066,1.066,13.399,1.025,1.085
44,2,266.0,36.34,12.146,1.253,1.253,13.228,1.315,1.285
45,2,141.0,36.864,15.99,1.394,1.394,16.067,1.355,1.129
46,1,7.0,37.087,3.985,0.1,0.1,1.547,0.394,0.213
47,2,132.0,37.213,16.535,1.187,1.187,12.657,1.314,1.136
48,2,201.0,37.639,16.673,1.67,1.67,14.363,1.527,1.009
49,2,67.0,38.84,12.498,1.637,1.637,12.438,1.548,1.248
50,1,44.0,38.911,1.088,0.247,0.247,4.224,0.257,0.145
51,1,7.0,40.29,2.109,0.336,0.336,2.823,0.126,0.22
52,2,153.0,43.349,15.104,1.041,1.041,15.417,1.023,1.077
53,1,16.0,43.852,3.125,0.371,0.371,3.393,0.229,0.112
54,1,447.0,44.118,1.713,0.196,0.196,1.305,0.141,0.205
55,2,198.0,44.185,11.908,1.627,1.627,11.514,1.323,1.277
56,1,7.0,44.809,2.632,0.104,0.104,2.894,0.1,0.166
57,2,131.0,46.928,13.464,1.238,1.238,14.64,1.182,1.21
58,2,182.0,47.604,11.746,1.397,1.397,15.25,1.576,1.163
59,2,180.0,50.45,14.774,1.341,1.341,11.402,1.616,1.189
60,2,171.0,50.739,16.323,1.428,1.428,15.399,1.661,1.105
61,2,80.0,51.262,10.275,1.41,1.41,16.059,1.53,1.294
62,2,206.0,52.019,14.591,1.163,1.163,10.511,1.011,1.258
63,1,90.0,52.161,3.736,0.124,0.124,1.299,0.215,0.127
64,1,7.0,52.467,4.428,0.103,0.103,4.327,0.266,0.226
65,1,379.0,52.543,3.44,0.122,0.122,2.646,0.146,0.235
66,2,186.0,53.414,11.009,1.399,1.399,12.217,1.253,1.057
67,1,10.0,53.71,1.904,0.254,0.254,1.19,0.362,0.137
68,2,237.0,54.505,16.946,1.236,1.236,12.637,1.401,1.252
69,1,120.0,54.725,3.7,0.246,0.246,4.14,0.148,0.17
70,1,387.0,55.235,3.295,0.48,0.48,3.016,0.302,0.148
71,1,10.0,56.031,2.81,0.193,0.193,3.48,0.325,0.159
72,2,171.0,56.628,10.758,1.138,1.138,15.078,1.536,1.255
73,2,172.0,56.757,16.448,1.522,1.522,15.375,1.048,1.16
74,2,181.0,57.652,14.256,1.126,1.126,12.176,1.157,1.265
75,2,141.0,57.829,16.84,1.471,1.471,15.54,1.686,1.066
76,2,103.0,58.42,16.816,1.385,1.385,10.11,1.63,1.07
77,2,167.0,59.322,11.347,1.544,1.544,10.334,1.654,1.175
78,2,153.0,59.373,13.228,1.484,1.484,10.153,1.414,1.064
79,1,379.0,59.956,1.485,0.453,0.453,2.624,0.271,0.119
80,1,30.0,60.462,2.699,0.269,0.269,1.982,0.223,0.2
81,2,239.0,60.704,10.825,1.494,1.494,14.581,1.169,1.085
82,2,293.0,60.906,13.68,1.025,1.025,11.25,1.549,1.054
83,2,113.0,61.155,13.36,1.659,1.659,10.275,1.365,1.264
84,1,13.0,61.315,1.113,0.207,0.207,4.419,0.404,0.243
85,2,136.0,62.054,11.121,1.675,1.675,15.581,1.198,1.172
86,1,126.0,62.31,3.728,0.166,0.166,1.159,0.442,0.228
87,1,44.0,62.321,4.152,0.305,0.305,4.433,0.487,0.189
88,2,119.0,62.862,10.494,1.606,1.606,16.06,1.432,1.009
89,1,126.0,63.169,1.958,0.12,0.12,2.74,0.33,0.15
90,1,103.0,63.326,3.047,0.394,0.394,4.229,0.17,0.156
91,1,6.0,63.712,2.726,0.331,0.331,2.778,0.16,0.21
92,1,13.0,63.812,2.97,0.178,0.178,1.828,0.211,0.157
93,1,59.0,64.451,2.197,0.169,0.169,1.062,0.173,0.215
94,2,214.0,65.329,10.996,1.67,1.67,11.612,1.023,1.246
95,1,7.0,65.757,2.662,0.254,0.254,3.054,0.21,0.11
96,1,49.0,66.714,1.795,0.403,0.403,1.508,0.112,0.223
97,1,95.0,67.366,2.146,0.334,0.334,3.815,0.468,0.174
98,2,189.0,68.005,14.617,1.257,1.257,15.375,1.001,1.011
99,1,7.0,68.067,3.968,0.46,0.46,3.678,0.38,0.151
100,1,379.0,68.56,2.475,0.185,0.185,1.939,0.335,0.207
101,1,379.0,68.587,2.61,0.31,0.31,3.855,0.166,0.176
102,2,207.0,70.171,15.719,1.051,1.051,13.799,1.343,1.143
103,1,169.0,70.373,1.304,0.48,0.48,3.142,0.443,0.135
104,2,134.0,70.895,12.966,1.664,1.664,12.431,1.691,1.159
105,1,387.0,70.951,2.545,0.438,0.438,2.668,0.199,0.159
106,2,145.0,71.255,11.369,1.045,1.045,11.441,1.697,1.232
107,1,7.0,71.96,2.566,0.116,0.116,3.718,0.25,0.116
108,2,275.0,72.223,15.54,1.131,1.131,13.523,1.433,1.176
109,2,138.0,72.376,16.146,1.055,1.055,13.574,1.659,1.105
110,1,44.0,72.819,4.447,0.495,0.495,1.871,0.193,0.184
111,1,559.0,72.996,1.832,0.349,0.349,1.277,0.487,0.162
112,1,447.0,73.304,2.541,0.166,0.166,3.657,0.263,0.131
113,1,387.0,73.398,1.584,0.284,0.284,3.741,0.237,0.126
114,1,7.0,73.898,1.991,0.109,0.109,3.956,0.468,0.216
115,1,16.0,74.083,2.984,0.473,0.473,2.48,0.31,0.105
116,1,103.0,74.389,2.71,0.482,0.482,2.447,0.404,0.123
117,2,249.0,75.387,13.153,1.289,1.289,12.681,1.298,1.234
118,1,7.0,76.634,3.953,0.462,0.462,3.331,0.389,0.13
119,1,49.0,76.981,2.204,0.196,0.196,4.229,0.271,0.139
120,1,387.0,76.987,3.726,0.343,0.343,2.355,0.258,0.194
121,1,126.0,77.211,1.863,0.14,0.14,2.202,0.447,0.198
122,1,95.0,77.741,2.284,0.273,0.273,2.533,0.408,0.231
123,1,7.0,77.954,1.925,0.444,0.444,4.184,0.339,0.211
124,2,90.0,78.112,10.828,1.535,1.535,11.246,1.251,1.202
125,1,126.0,78.124,2.825,0.261,0.261,2.499,0.303,0.141
126,1,379.0,78.505,2.12,0.388,0.388,2.335,0.287,0.192
127,1,90.0,78.558,3.844,0.17,0.17,2.194,0.395,0.15
128,2,154.0,78.74,12.336,1.562,1.562,16.865,1.698,1.147
129,1,559.0,79.261,1.868,0.485,0.485,3.016,0.499,0.17
130,2,106.0,79.288,14.946,1.281,1.281,14.109,1.606,1.091
131,1,169.0,79.873,2.437,0.318,0.318,2.602,0.114,0.231
132,1,28.0,79.9,2.797,0.114,0.114,2.284,0.458,0.191
133,1,387.0,79.961,1.856,0.292,0.292,1.289,0.392,0.143
134,1,126.0,80.173,1.026,0.288,0.288,3.855,0.398,0.237
