#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,1,387.0,0.0,1.162,0.14,0.14,1.316,0.104,0.112
2,2,178.0,1.291,10.017,1.322,1.322,12.576,1.053,1.088
3,2,125.0,1.574,10.926,1.329,1.329,13.01,1.325,1.025
4,2,141.0,1.725,13.208,1.134,1.134,12.799,1.287,1.014
5,2,162.0,2.078,11.483,1.084,1.084,11.428,1.007,1.088
6,2,140.0,3.162,11.277,1.227,1.227,10.617,1.103,1.074
7,2,134.0,4.127,11.617,1.017,1.017,13.241,1.151,1.083
8,1,13.0,4.657,1.328,0.125,0.125,1.206,0.139,0.114
9,2,126.0,5.592,12.401,1.143,1.143,11.728,1.295,1.032
10,2,193.0,6.043,10.098,1.32,1.32,11.419,1.186,1.081
11,2,160.0,9.547,12.621,1.219,1.219,12.854,1.179,1.059
12,2,223.0,10.574,11.654,1.257,1.257,10.767,1.186,1.008
13,2,161.0,11.182,10.415,1.32,1.32,12.283,1.32,1.023
14,2,155.0,12.905,13.297,1.279,1.279,11.528,1.279,1.054
15,2,154.0,14.552,13.055,1.091,1.091,12.311,1.236,1.02
16,2,138.0,15.312,12.813,1.185,1.185,12.267,1.219,1.07
17,2,79.0,17.509,13.342,1.315,1.315,11.783,1.074,1.039
18,1,169.0,17.729,1.001,0.111,0.111,1.121,0.121,0.111
19,2,153.0,19.12,10.903,1.258,1.258,13.451,1.262,1.098
20,2,168.0,19.137,10.768,1.338,1.338,10.296,1.187,1.019
21,2,138.0,19.385,11.438,1.042,1.042,10.76,1.266,1.031
22,1,7.0,19.788,1.041,0.129,0.129,1.138,0.116,0.114
23,2,111.0,21.597,10.981,1.158,1.158,10.339,1.34,1.044
24,2,287.0,22.715,11.404,1.303,1.303,10.138,1.132,1.093
25,2,129.0,22.841,12.021,1.134,1.134,12.243,1.014,1.092
26,2,218.0,23.425,10.562,1.089,1.089,13.265,1.069,1.019
27,2,302.0,23.962,12.552,1.148,1.148,10.177,1.269,1.085
28,1,126.0,24.573,1.279,0.14,0.14,1.267,0.139,0.117
29,2,195.0,25.43,12.091,1.294,1.294,11.463,1.257,1.019
30,1,387.0,25.566,1.044,0.125,0.125,1.15,0.138,0.101
31,2,234.0,26.4,12.963,1.093,1.093,12.129,1.135,1.089
32,2,182.0,26.649,12.696,1.027,1.027,10.983,1.307,1.079
33,2,219.0,26.787,10.96,1.149,1.149,10.669,1.209,1.044
34,2,174.0,30.665,12.714,1.122,1.122,12.185,1.084,1.099
35,2,149.0,30.844,13.229,1.253,1.253,10.333,1.303,1.049
36,1,90.0,31.04,1.002,0.129,0.129,1.292,0.106,0.1
37,1,6.0,31.405,1.081,0.12,0.12,1.106,0.117,0.108
38,2,67.0,31.773,13.106,1.044,1.044,10.068,1.325,1.042
39,2,68.0,33.702,11.721,1.302,1.302,13.008,1.054,1.089
40,2,109.0,33.812,11.984,1.207,1.207,12.57,1.084,1.048
41,1,7.0,34.761,1.047,0.121,0.121,1.006,0.14,0.116
42,2,226.0,35.742,10.101,1.128,1.128,10.544,1.2,1.075
43,1,30.0,41.232,1.245,0.114,0.114,1.278,0.111,0.112
44,1,146.0,41.467,1.016,0.11,0.11,1.261,0.112,0.104
45,2,182.0,41.948,10.76,1.274,1.274,12.068,1.279,1.02
46,2,192.0,42.16,13.318,1.211,1.211,13.047,1.219,1.036
47,2,143.0,42.332,12.321,1.033,1.033,10.116,1.236,1.003
48,2,124.0,42.625,10.337,1.254,1.254,11.028,1.297,1.036
49,2,352.0,43.807,10.416,1.014,1.014,11.369,1.089,1.077
50,2,270.0,44.172,13.184,1.195,1.195,10.371,1.216,1.022
51,2,235.0,44.476,10.951,1.01,1.01,13.066,1.107,1.066
52,1,28.0,44.683,1.08,0.117,0.117,1.001,0.116,0.117
53,2,166.0,45.46,11.104,1.162,1.162,10.669,1.266,1.033
54,1,95.0,45.598,1.163,0.14,0.14,1.132,0.137,0.102
55,1,559.0,46.064,1.195,0.119,0.119,1.126,0.135,0.1
56,1,120.0,46.851,1.064,0.108,0.108,1.304,0.104,0.107
