#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,2,225.0,0.466,11.142,1.368,1.368,13.601,1.439,1.187
2,2,249.0,0.507,14.401,1.174,1.174,14.104,1.094,1.091
3,2,187.0,0.602,13.311,1.418,1.418,12.203,1.169,1.145
4,2,240.0,0.653,10.068,1.355,1.355,14.681,1.338,1.003
5,2,293.0,0.973,11.444,1.399,1.399,13.311,1.084,1.015
6,2,124.0,1.061,13.491,1.205,1.205,12.092,1.358,1.186
7,2,111.0,1.32,10.525,1.37,1.37,12.89,1.067,1.054
8,2,162.0,2.691,14.304,1.004,1.004,12.806,1.016,1.039
9,2,164.0,2.763,10.332,1.047,1.047,10.448,1.111,1.033
10,2,203.0,2.767,14.681,1.277,1.277,15.039,1.408,1.192
11,2,57.0,2.773,11.572,1.174,1.174,13.863,1.388,1.163
12,1,157.0,3.715,2.434,0.157,0.157,1.3,0.216,0.107
13,2,133.0,4.103,11.321,1.166,1.166,13.456,1.034,1.054
14,1,44.0,4.207,1.953,0.198,0.198,1.969,0.226,0.102
15,2,275.0,4.845,10.725,1.07,1.07,10.803,1.011,1.187
16,2,108.0,6.025,15.017,1.293,1.293,12.93,1.138,1.149
17,2,65.0,6.789,13.243,1.065,1.065,15.134,1.278,1.07
18,1,126.0,6.861,2.457,0.146,0.146,1.324,0.143,0.104
19,1,157.0,7.345,1.958,0.133,0.133,1.708,0.185,0.147
20,2,183.0,7.564,10.15,1.375,1.375,10.285,1.202,1.17
21,2,82.0,7.572,10.701,1.281,1.281,14.366,1.263,1.049
22,2,178.0,7.626,13.217,1.436,1.436,13.916,1.218,1.075
23,2,206.0,8.925,10.779,1.049,1.049,13.89,1.003,1.066
24,2,190.0,9.149,12.812,1.098,1.098,12.023,1.124,1.177
25,2,148.0,9.451,10.064,1.316,1.316,14.145,1.198,1.064
26,2,141.0,10.026,13.444,1.459,1.459,14.515,1.056,1.191
27,2,124.0,10.147,15.059,1.136,1.136,11.939,1.333,1.063
28,2,162.0,10.181,15.038,1.249,1.249,12.775,1.033,1.139
29,2,170.0,10.263,13.441,1.116,1.116,10.089,1.394,1.09
30,2,111.0,10.711,14.394,1.008,1.008,12.926,1.336,1.104
31,2,175.0,10.832,11.312,1.416,1.416,13.345,1.352,1.014
32,2,130.0,11.093,13.813,1.084,1.084,12.546,1.242,1.146
33,1,59.0,11.692,1.52,0.204,0.204,1.71,0.141,0.18
34,2,145.0,11.7,13.414,1.21,1.21,11.372,1.271,1.136
35,2,199.0,12.18,11.775,1.282,1.282,12.426,1.405,1.139
36,2,126.0,12.718,10.064,1.432,1.432,12.012,1.141,1.115
37,2,91.0,12.776,14.289,1.034,1.034,13.234,1.174,1.128
38,2,171.0,12.854,11.451,1.122,1.122,10.23,1.278,1.144
39,1,6.0,12.958,1.17,0.255,0.255,1.619,0.169,0.164
40,2,213.0,12.976,13.004,1.045,1.045,10.319,1.473,1.077
41,1,447.0,13.354,2.293,0.127,0.127,2.198,0.223,0.113
42,2,197.0,13.794,14.198,1.375,1.375,11.95,1.397,1.111
43,1,49.0,14.221,1.512,0.19,0.19,2.363,0.266,0.183
44,2,157.0,14.9,12.723,1.119,1.119,13.217,1.256,1.091
45,1,30.0,14.948,1.572,0.181,0.181,1.048,0.151,0.108
46,1,10.0,14.969,2.057,0.185,0.185,1.258,0.17,0.187
47,1,7.0,15.029,1.66,0.123,0.123,2.582,0.102,0.133
48,1,387.0,15.281,1.358,0.156,0.156,1.736,0.123,0.132
49,1,7.0,15.348,1.711,0.15,0.15,2.483,0.141,0.114
50,2,98.0,15.481,13.903,1.014,1.014,13.9,1.024,1.125
51,2,117.0,15.562,12.206,1.473,1.473,12.671,1.173,1.079
52,1,6.0,15.595,2.236,0.239,0.239,1.923,0.108,0.163
53,2,244.0,15.959,13.412,1.035,1.035,12.628,1.401,1.09
54,2,186.0,15.97,13.48,1.188,1.188,14.512,1.375,1.092
55,2,112.0,16.229,12.266,1.091,1.091,11.876,1.166,1.169
56,2,204.0,16.828,10.316,1.019,1.019,15.042,1.056,1.026
57,2,185.0,16.914,12.766,1.211,1.211,14.104,1.061,1.117
58,2,239.0,16.95,14.897,1.139,1.139,13.129,1.039,1.158
59,1,7.0,16.981,2.272,0.181,0.181,2.11,0.264,0.181
60,1,214.0,17.013,1.784,0.136,0.136,1.469,0.173,0.116
61,1,126.0,17.036,1.68,0.156,0.156,2.281,0.205,0.147
62,2,147.0,17.445,12.031,1.408,1.408,14.223,1.01,1.157
63,1,28.0,17.762,1.505,0.143,0.143,1.13,0.146,0.112
64,1,44.0,17.831,1.763,0.119,0.119,2.264,0.261,0.156
65,1,95.0,18.143,1.02,0.113,0.113,1.948,0.107,0.127
66,1,90.0,18.296,1.34,0.187,0.187,1.15,0.173,0.175
67,1,379.0,18.432,2.609,0.106,0.106,1.298,0.268,0.13
68,2,214.0,18.818,14.778,1.264,1.264,14.394,1.078,1.105
69,2,118.0,18.914,12.652,1.278,1.278,10.151,1.166,1.073
70,2,96.0,19.336,14.496,1.172,1.172,10.866,1.158,1.108
71,2,187.0,19.337,14.629,1.173,1.173,10.274,1.097,1.056
72,1,49.0,19.431,1.497,0.17,0.17,2.601,0.262,0.114
73,1,120.0,19.533,1.676,0.131,0.131,2.276,0.16,0.187
74,1,16.0,19.538,1.13,0.235,0.235,1.763,0.114,0.142
75,2,185.0,19.586,14.204,1.139,1.139,10.659,1.278,1.101
76,1,90.0,19.831,2.251,0.255,0.255,2.243,0.226,0.183
77,2,210.0,20.054,11.976,1.11,1.11,12.122,1.01,1.121
78,1,95.0,20.328,1.651,0.157,0.157,1.923,0.265,0.186
79,1,498.0,20.51,1.178,0.193,0.193,1.385,0.151,0.164
80,2,233.0,21.134,13.074,1.406,1.406,13.2,1.277,1.135
81,1,157.0,21.311,1.201,0.192,0.192,1.732,0.262,0.162
82,1,90.0,21.323,1.188,0.264,0.264,2.306,0.111,0.178
83,1,49.0,21.452,2.353,0.14,0.14,2.275,0.101,0.157
84,1,59.0,21.487,2.588,0.143,0.143,1.719,0.228,0.189
85,1,28.0,21.686,1.416,0.25,0.25,2.206,0.175,0.171
86,1,379.0,21.694,2.679,0.127,0.127,1.705,0.213,0.162
87,2,266.0,21.762,11.252,1.285,1.285,15.035,1.105,1.189
88,1,447.0,21.802,2.723,0.15,0.15,2.483,0.195,0.125
89,1,95.0,21.808,1.789,0.158,0.158,1.467,0.265,0.142
90,1,6.0,22.169,1.576,0.234,0.234,2.281,0.269,0.193
91,1,379.0,22.196,2.568,0.137,0.137,2.061,0.248,0.103
92,1,59.0,22.212,1.147,0.214,0.214,1.881,0.212,0.155
93,1,103.0,22.221,2.663,0.163,0.163,2.173,0.225,0.191
94,1,7.0,22.223,2.449,0.102,0.102,2.422,0.197,0.191
95,2,223.0,22.43,12.971,1.338,1.338,11.544,1.14,1.035
96,1,28.0,22.436,2.586,0.135,0.135,1.705,0.198,0.185
97,1,44.0,22.6,2.493,0.188,0.188,2.318,0.13,0.169
98,2,84.0,22.625,13.513,1.271,1.271,13.326,1.405,1.108
99,2,165.0,22.689,11.027,1.201,1.201,12.578,1.023,1.14
100,1,44.0,22.736,1.505,0.134,0.134,1.736,0.131,0.102
101,1,120.0,22.77,1.327,0.191,0.191,1.679,0.234,0.134
102,2,155.0,22.804,10.264,1.333,1.333,10.456,1.338,1.19
103,2,168.0,22.887,14.861,1.305,1.305,11.849,1.258,1.134
104,1,498.0,23.182,2.54,0.115,0.115,2.243,0.159,0.141
105,1,13.0,23.328,1.166,0.18,0.18,1.081,0.147,0.159
106,1,16.0,23.484,1.794,0.115,0.115,1.273,0.119,0.156
