id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,7.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 1.929, 'gpu': 0.227, 'CLOUD': 0.054}",0.0,0.227,4.0,6.0
2,TT1,13.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 2.237, 'gpu': 0.195, 'CLOUD': 0.06}",0.227,0.42200000000000004,4.0,6.0
3,TT2,217.0,BESTEFFORT,COMPLETED,gpu,3.531,"{'cpu': 10.177, 'gpu': 1.096, 'CLOUD': 0.133}",3.531,4.627000000000001,7.031000000000001,8.781
4,TT2,147.0,BESTEFFORT,COMPLETED,gpu,6.674,"{'cpu': 11.537, 'gpu': 1.196, 'CLOUD': 0.155}",6.674,7.87,10.174,11.924
5,TT2,192.0,BESTEFFORT,COMPLETED,gpu,6.726,"{'cpu': 10.297, 'gpu': 1.349, 'CLOUD': 0.172}",7.87,9.219,10.225999999999999,11.975999999999999
6,TT2,116.0,BESTEFFORT,COMPLETED,gpu,8.358,"{'cpu': 14.942, 'gpu': 1.088, 'CLOUD': 0.197}",9.219,10.306999999999999,11.858,13.608
7,TT2,140.0,BESTEFFORT,MISSED,cpu,8.715,"{'cpu': 11.316, 'gpu': 1.162, 'CLOUD': 0.142}",8.715,inf,12.215,13.965
8,TT2,205.0,BESTEFFORT,MISSED,cpu,9.165,"{'cpu': 10.39, 'gpu': 1.3, 'CLOUD': 0.107}",13.965,inf,12.665,14.415
9,TT2,119.0,BESTEFFORT,COMPLETED,gpu,9.922,"{'cpu': 10.871, 'gpu': 1.049, 'CLOUD': 0.131}",10.306999999999999,11.355999999999998,13.422,15.172
10,TT2,119.0,BESTEFFORT,COMPLETED,gpu,10.635,"{'cpu': 12.291, 'gpu': 1.07, 'CLOUD': 0.167}",11.355999999999998,12.425999999999998,14.135,15.885
11,TT1,7.0,BESTEFFORT,COMPLETED,gpu,13.918,"{'cpu': 2.914, 'gpu': 0.238, 'CLOUD': 0.057}",13.918,14.155999999999999,17.918,19.918
12,TT2,207.0,BESTEFFORT,COMPLETED,gpu,16.486,"{'cpu': 14.89, 'gpu': 1.253, 'CLOUD': 0.133}",16.486,17.739,19.986,21.736
13,TT2,192.0,BESTEFFORT,COMPLETED,gpu,16.742,"{'cpu': 10.909, 'gpu': 1.306, 'CLOUD': 0.122}",17.739,19.045,20.242,21.992
14,TT2,238.0,BESTEFFORT,COMPLETED,gpu,19.694,"{'cpu': 10.443, 'gpu': 1.278, 'CLOUD': 0.197}",19.694,20.971999999999998,23.194,24.944
15,TT2,182.0,BESTEFFORT,COMPLETED,gpu,23.397,"{'cpu': 10.979, 'gpu': 1.306, 'CLOUD': 0.18}",23.397,24.703,26.897,28.647
16,TT2,250.0,BESTEFFORT,COMPLETED,gpu,24.863,"{'cpu': 13.386, 'gpu': 1.029, 'CLOUD': 0.125}",24.863,25.892,28.363,30.113
17,TT1,512.0,BESTEFFORT,COMPLETED,gpu,25.157,"{'cpu': 1.353, 'gpu': 0.14, 'CLOUD': 0.058}",25.892,26.032,29.157,31.157
18,TT2,95.0,BESTEFFORT,MISSED,cpu,25.183,"{'cpu': 12.527, 'gpu': 1.075, 'CLOUD': 0.12}",25.183,inf,28.683,30.433
19,TT2,166.0,BESTEFFORT,COMPLETED,gpu,27.5,"{'cpu': 11.078, 'gpu': 1.021, 'CLOUD': 0.152}",27.5,28.521,31.0,32.75
20,TT1,214.0,BESTEFFORT,COMPLETED,gpu,27.809,"{'cpu': 2.198, 'gpu': 0.197, 'CLOUD': 0.053}",28.521,28.718,31.809,33.809
21,TT2,62.0,BESTEFFORT,COMPLETED,gpu,28.536,"{'cpu': 13.437, 'gpu': 1.058, 'CLOUD': 0.147}",28.718,29.776,32.036,33.786
22,TT1,7.0,BESTEFFORT,COMPLETED,gpu,29.033,"{'cpu': 2.838, 'gpu': 0.227, 'CLOUD': 0.052}",29.776,30.003,33.033,35.033
23,TT1,16.0,BESTEFFORT,COMPLETED,gpu,30.92,"{'cpu': 2.284, 'gpu': 0.123, 'CLOUD': 0.059}",30.92,31.043000000000003,34.92,36.92
24,TT1,13.0,BESTEFFORT,COMPLETED,gpu,30.958,"{'cpu': 2.703, 'gpu': 0.115, 'CLOUD': 0.059}",31.043000000000003,31.158,34.958,36.958
25,TT2,229.0,BESTEFFORT,MISSED,cpu,30.991,"{'cpu': 12.4, 'gpu': 1.486, 'CLOUD': 0.14}",30.991,inf,34.491,36.241
26,TT2,188.0,BESTEFFORT,COMPLETED,gpu,31.046,"{'cpu': 13.574, 'gpu': 1.192, 'CLOUD': 0.166}",31.158,32.35,34.546,36.296
27,TT2,198.0,BESTEFFORT,COMPLETED,gpu,32.002,"{'cpu': 10.16, 'gpu': 1.438, 'CLOUD': 0.169}",32.35,33.788000000000004,35.502,37.252
