id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT2,193.0,URGENT,COMPLETED,gpu,0.0,"{'cpu': 2.299, 'gpu': 0.099, 'CLOUD': 0.099}",0.0,0.099,2.5,3.75
2,TT1,379.0,BESTEFFORT,CANCELLED,,21.264,"{'cpu': 1.475, 'gpu': 0.962, 'CLOUD': 0.962}",inf,inf,24.264,25.764
3,TT1,59.0,BESTEFFORT,CANCELLED,,25.408,"{'cpu': 1.46, 'gpu': 0.966, 'CLOUD': 0.966}",inf,inf,28.408,29.908
4,TT1,379.0,BESTEFFORT,COMPLETED,gpu,28.998,"{'cpu': 1.458, 'gpu': 0.978, 'CLOUD': 0.978}",28.998,29.976000000000003,31.998,33.498000000000005
5,TT1,559.0,BESTEFFORT,CANCELLED,,29.135,"{'cpu': 1.479, 'gpu': 0.974, 'CLOUD': 0.974}",inf,inf,32.135000000000005,33.635000000000005
6,TT1,44.0,BESTEFFORT,COMPLETED,gpu,29.223,"{'cpu': 1.463, 'gpu': 0.968, 'CLOUD': 0.968}",29.976000000000003,30.944000000000003,32.223,33.723
7,TT2,185.0,URGENT,COMPLETED,gpu,29.597,"{'cpu': 2.307, 'gpu': 0.106, 'CLOUD': 0.106}",30.944000000000003,31.050000000000004,32.097,33.347
8,TT1,447.0,BESTEFFORT,MISSED,gpu,32.878,"{'cpu': 1.476, 'gpu': 0.97, 'CLOUD': 0.97}",37.156,inf,35.878,37.378
9,TT1,126.0,BESTEFFORT,COMPLETED,gpu,34.897,"{'cpu': 1.458, 'gpu': 0.945, 'CLOUD': 0.945}",36.085,37.03,37.897,39.397
10,TT2,153.0,URGENT,COMPLETED,gpu,36.085,"{'cpu': 2.31, 'gpu': 0.104, 'CLOUD': 0.104}",37.052,37.156,38.585,39.835
11,TT1,120.0,BESTEFFORT,MISSED,cpu,37.052,"{'cpu': 1.465, 'gpu': 0.963, 'CLOUD': 0.963}",42.349,inf,40.052,41.552
12,TT1,169.0,BESTEFFORT,CANCELLED,,42.349,"{'cpu': 1.47, 'gpu': 0.961, 'CLOUD': 0.961}",inf,inf,45.349,46.849
13,TT1,7.0,BESTEFFORT,CANCELLED,,46.345,"{'cpu': 1.464, 'gpu': 0.958, 'CLOUD': 0.958}",inf,inf,49.345,50.845
14,TT1,214.0,BESTEFFORT,CANCELLED,,47.919,"{'cpu': 1.462, 'gpu': 0.963, 'CLOUD': 0.963}",inf,inf,50.919,52.419
15,TT1,103.0,BESTEFFORT,XCOMPLETED,gpu,50.151,"{'cpu': 1.466, 'gpu': 0.968, 'CLOUD': 0.968}",52.996,53.964,53.151,54.651
16,TT2,76.0,URGENT,COMPLETED,gpu,51.097,"{'cpu': 2.286, 'gpu': 0.093, 'CLOUD': 0.093}",52.903,52.996,53.597,54.847
17,TT1,13.0,BESTEFFORT,COMPLETED,cpu,52.903,"{'cpu': 1.458, 'gpu': 0.977, 'CLOUD': 0.977}",53.479,54.937,55.903,57.403
18,TT1,126.0,BESTEFFORT,COMPLETED,,53.479,"{'cpu': 1.467, 'gpu': 0.975, 'CLOUD': 0.975}",53.91,54.9,56.479,57.979
19,TT2,126.0,URGENT,COMPLETED,,53.91,"{'cpu': 2.305, 'gpu': 0.092, 'CLOUD': 0.092}",53.964,54.071,56.41,57.66
20,TT1,126.0,BESTEFFORT,COMPLETED,gpu,55.531,"{'cpu': 1.456, 'gpu': 0.965, 'CLOUD': 0.965}",55.531,56.496,58.531,60.031
21,TT1,559.0,BESTEFFORT,COMPLETED,gpu,55.857,"{'cpu': 1.46, 'gpu': 0.97, 'CLOUD': 0.97}",56.496,57.466,58.857,60.357
22,TT2,196.0,URGENT,COMPLETED,cpu,56.82,"{'cpu': 2.296, 'gpu': 0.092, 'CLOUD': 0.092}",56.82,59.116,59.32,60.57
23,TT2,244.0,URGENT,COMPLETED,cpu,59.612,"{'cpu': 2.274, 'gpu': 0.117, 'CLOUD': 0.117}",59.612,61.886,62.112,63.362
24,TT1,387.0,BESTEFFORT,CANCELLED,,61.474,"{'cpu': 1.482, 'gpu': 0.972, 'CLOUD': 0.972}",inf,inf,64.47399999999999,65.97399999999999
25,TT1,7.0,BESTEFFORT,COMPLETED,,63.467,"{'cpu': 1.462, 'gpu': 0.975, 'CLOUD': 0.975}",63.467,64.457,66.467,67.967
26,TT2,264.0,URGENT,COMPLETED,,63.569,"{'cpu': 2.303, 'gpu': 0.095, 'CLOUD': 0.095}",64.457,64.567,66.069,67.319
27,TT2,228.0,URGENT,CANCELLED,,65.404,"{'cpu': 2.306, 'gpu': 0.103, 'CLOUD': 0.103}",inf,inf,67.904,69.154
28,TT1,59.0,BESTEFFORT,COMPLETED,cpu,65.668,"{'cpu': 1.474, 'gpu': 0.968, 'CLOUD': 0.968}",67.016,68.49000000000001,68.668,70.168
29,TT1,498.0,BESTEFFORT,COMPLETED,gpu,67.016,"{'cpu': 1.46, 'gpu': 0.971, 'CLOUD': 0.971}",67.027,67.998,70.016,71.516
30,TT2,175.0,URGENT,COMPLETED,gpu,67.027,"{'cpu': 2.291, 'gpu': 0.097, 'CLOUD': 0.097}",67.998,68.095,69.527,70.777
31,TT1,16.0,BESTEFFORT,COMPLETED,gpu,67.509,"{'cpu': 1.462, 'gpu': 0.974, 'CLOUD': 0.974}",68.095,69.069,70.509,72.009
32,TT1,44.0,BESTEFFORT,COMPLETED,gpu,68.401,"{'cpu': 1.474, 'gpu': 0.984, 'CLOUD': 0.984}",69.069,70.053,71.401,72.901
33,TT1,44.0,BESTEFFORT,COMPLETED,gpu,68.848,"{'cpu': 1.438, 'gpu': 0.975, 'CLOUD': 0.975}",70.053,71.02799999999999,71.848,73.348
34,TT2,127.0,URGENT,COMPLETED,gpu,70.009,"{'cpu': 2.298, 'gpu': 0.095, 'CLOUD': 0.095}",71.02799999999999,71.12299999999999,72.509,73.759
35,TT2,106.0,URGENT,COMPLETED,gpu,70.699,"{'cpu': 2.29, 'gpu': 0.098, 'CLOUD': 0.098}",72.088,72.18599999999999,73.199,74.449
36,TT1,379.0,BESTEFFORT,COMPLETED,gpu,70.992,"{'cpu': 1.48, 'gpu': 0.965, 'CLOUD': 0.965}",71.12299999999999,72.088,73.992,75.492
37,TT2,111.0,URGENT,COMPLETED,gpu,71.945,"{'cpu': 2.299, 'gpu': 0.089, 'CLOUD': 0.089}",72.18599999999999,72.27499999999999,74.445,75.695
38,TT2,223.0,URGENT,COMPLETED,gpu,72.832,"{'cpu': 2.299, 'gpu': 0.098, 'CLOUD': 0.098}",72.832,72.92999999999999,75.332,76.582
39,TT2,129.0,URGENT,COMPLETED,gpu,73.677,"{'cpu': 2.306, 'gpu': 0.093, 'CLOUD': 0.093}",73.677,73.77000000000001,76.177,77.427
40,TT1,169.0,BESTEFFORT,CANCELLED,,74.117,"{'cpu': 1.465, 'gpu': 0.968, 'CLOUD': 0.968}",inf,inf,77.117,78.617
41,TT2,144.0,URGENT,COMPLETED,gpu,75.482,"{'cpu': 2.296, 'gpu': 0.105, 'CLOUD': 0.105}",75.482,75.587,77.982,79.232
42,TT1,7.0,BESTEFFORT,COMPLETED,gpu,75.752,"{'cpu': 1.455, 'gpu': 0.961, 'CLOUD': 0.961}",75.752,76.713,78.752,80.252
43,TT1,13.0,BESTEFFORT,COMPLETED,gpu,78.504,"{'cpu': 1.464, 'gpu': 0.965, 'CLOUD': 0.965}",78.504,79.46900000000001,81.504,83.004
44,TT1,13.0,BESTEFFORT,COMPLETED,gpu,78.523,"{'cpu': 1.449, 'gpu': 0.98, 'CLOUD': 0.98}",79.46900000000001,80.44900000000001,81.523,83.023
45,TT2,120.0,URGENT,MISSED,gpu,78.734,"{'cpu': 2.278, 'gpu': 0.105, 'CLOUD': 0.105}",81.42800000000001,inf,81.234,82.484
46,TT1,447.0,BESTEFFORT,COMPLETED,gpu,79.116,"{'cpu': 1.47, 'gpu': 0.979, 'CLOUD': 0.979}",80.44900000000001,81.42800000000001,82.116,83.616
47,TT1,16.0,BESTEFFORT,COMPLETED,gpu,79.856,"{'cpu': 1.446, 'gpu': 0.97, 'CLOUD': 0.97}",81.42800000000001,82.39800000000001,82.856,84.356
48,TT1,447.0,BESTEFFORT,XCOMPLETED,gpu,80.275,"{'cpu': 1.457, 'gpu': 0.975, 'CLOUD': 0.975}",83.56600000000002,84.54100000000001,83.275,84.775
49,TT2,161.0,URGENT,COMPLETED,gpu,80.727,"{'cpu': 2.306, 'gpu': 0.108, 'CLOUD': 0.108}",82.39800000000001,82.50600000000001,83.227,84.477
50,TT2,136.0,URGENT,COMPLETED,gpu,81.546,"{'cpu': 2.318, 'gpu': 0.095, 'CLOUD': 0.095}",83.47100000000002,83.56600000000002,84.046,85.296
51,TT1,30.0,BESTEFFORT,COMPLETED,gpu,81.72,"{'cpu': 1.447, 'gpu': 0.965, 'CLOUD': 0.965}",82.50600000000001,83.47100000000002,84.72,86.22
