Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,377,0,0,11.3,5.2,16.5,0,208,100.12860185185193
1,1000,359,0,0,14.399999999999999,4.7,19.099999999999998,0,164,100.0583888888889
2,1000,348,0,0,9.4,3.5999999999999996,13.0,0,214,99.67223148148145
3,1000,422,0,0,10.100000000000001,7.9,18.0,0,238,100.58504629629623
4,1000,412,0,0,13.5,4.3999999999999995,17.9,0,229,99.64535185185184
5,1000,455,0,0,10.299999999999999,5.8999999999999995,16.2,0,289,100.55844444444446
6,1000,384,0,0,9.2,7.7,16.9,0,211,99.80315740740741
7,1000,362,0,0,10.8,6.6000000000000005,17.400000000000002,0,184,99.968537037037
8,1000,398,0,0,10.299999999999999,4.8,15.099999999999998,0,243,99.65306018518511
9,1000,410,0,0,9.700000000000001,6.2,15.900000000000002,0,247,100.06878703703698
10,1000,420,0,0,11.600000000000001,2.8000000000000003,14.400000000000002,0,272,99.70022222222224
11,1000,410,0,0,10.7,5.7,16.4,0,242,99.83375462962965
12,1000,353,0,0,10.100000000000001,7.6,17.700000000000003,0,172,99.53724074074084
13,1000,380,0,0,10.4,5.800000000000001,16.200000000000003,0,214,99.77858333333329
14,1000,354,0,0,10.2,8.0,18.2,0,168,100.30007870370375
15,1000,376,0,0,10.0,4.1000000000000005,14.100000000000001,0,231,99.54676851851852
16,1000,425,0,0,11.600000000000001,6.800000000000001,18.400000000000002,0,237,99.63258333333339
17,1000,434,0,0,11.899999999999999,3.5000000000000004,15.399999999999999,0,276,99.6265833333333
18,1000,345,0,0,10.299999999999999,4.6,14.899999999999999,0,192,99.88999999999997
19,1000,406,0,0,12.0,5.5,17.5,0,227,99.92587037037029
20,1000,400,0,0,13.0,5.800000000000001,18.8,0,208,99.72937500000006
21,1000,436,0,0,9.9,6.6000000000000005,16.5,0,267,99.75153240740745
22,1000,469,0,0,11.200000000000001,3.9,15.100000000000001,0,314,99.66335648148151
23,1000,443,0,0,9.5,4.8,14.3,0,296,99.64812037037038
24,1000,386,0,0,10.0,7.7,17.7,0,205,100.55401851851853
25,1000,427,0,0,11.1,5.800000000000001,16.9,0,254,99.83906944444445
26,1000,433,0,0,11.1,6.1,17.2,0,257,99.69301851851868
27,1000,434,0,0,11.4,5.5,16.9,0,261,99.5961898148148
28,1000,353,0,0,10.8,6.4,17.200000000000003,0,177,99.55775925925934
29,1000,427,0,0,10.8,5.5,16.3,0,260,99.59660185185189
