id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT2,157.0,BESTEFFORT,MISSED,cpu,0.299,"{'cpu': 11.94, 'gpu': 1.284, 'CLOUD': 1.065}",1.785,inf,3.799,5.5489999999999995
2,TT2,147.0,BESTEFFORT,COMPLETED,gpu,0.944,"{'cpu': 10.955, 'gpu': 1.149, 'CLOUD': 1.027}",0.944,2.093,4.444,6.194
3,TT2,203.0,BESTEFFORT,COMPLETED,gpu,1.785,"{'cpu': 13.079, 'gpu': 1.153, 'CLOUD': 1.086}",3.443,4.596,5.285,7.035
4,TT2,122.0,BESTEFFORT,XCOMPLETED,gpu,3.443,"{'cpu': 11.072, 'gpu': 1.238, 'CLOUD': 1.065}",7.383,8.621,6.943,8.693
5,TT2,162.0,BESTEFFORT,COMPLETED,gpu,6.264,"{'cpu': 10.88, 'gpu': 1.119, 'CLOUD': 1.084}",6.264,7.383,9.764,11.514
6,TT2,75.0,BESTEFFORT,MISSED,cpu,7.128,"{'cpu': 10.569, 'gpu': 1.149, 'CLOUD': 1.058}",7.213,inf,10.628,12.378
7,TT2,142.0,BESTEFFORT,COMPLETED,gpu,7.213,"{'cpu': 12.56, 'gpu': 1.349, 'CLOUD': 1.05}",8.654,10.003,10.713000000000001,12.463000000000001
8,TT2,168.0,BESTEFFORT,MISSED,cpu,8.654,"{'cpu': 12.974, 'gpu': 1.119, 'CLOUD': 1.099}",12.378,inf,12.154,13.904
9,TT2,177.0,BESTEFFORT,COMPLETED,gpu,10.844,"{'cpu': 12.239, 'gpu': 1.059, 'CLOUD': 1.05}",10.844,11.902999999999999,14.344,16.094
10,TT2,106.0,BESTEFFORT,COMPLETED,gpu,11.032,"{'cpu': 12.387, 'gpu': 1.169, 'CLOUD': 1.02}",11.902999999999999,13.072,14.532,16.282
11,TT2,134.0,BESTEFFORT,COMPLETED,gpu,11.247,"{'cpu': 10.5, 'gpu': 1.122, 'CLOUD': 1.041}",13.072,14.193999999999999,14.747,16.497
12,TT2,168.0,BESTEFFORT,MISSED,cpu,11.425,"{'cpu': 13.084, 'gpu': 1.238, 'CLOUD': 1.036}",13.904,inf,14.925,16.675
13,TT2,184.0,BESTEFFORT,XCOMPLETED,gpu,11.519,"{'cpu': 10.648, 'gpu': 1.285, 'CLOUD': 1.09}",14.193999999999999,15.479,15.019,16.769
14,TT2,139.0,BESTEFFORT,MISSED,cpu,11.574,"{'cpu': 13.447, 'gpu': 1.044, 'CLOUD': 1.018}",16.675,inf,15.074,16.823999999999998
15,TT2,76.0,BESTEFFORT,COMPLETED,gpu,15.145,"{'cpu': 13.016, 'gpu': 1.114, 'CLOUD': 1.058}",15.479,16.593,18.645,20.395
16,TT2,146.0,BESTEFFORT,MISSED,cpu,17.722,"{'cpu': 10.256, 'gpu': 1.294, 'CLOUD': 1.089}",21.685000000000002,inf,21.222,22.972
17,TT1,7.0,BESTEFFORT,COMPLETED,cpu,18.966,"{'cpu': 1.153, 'gpu': 0.138, 'CLOUD': 0.111}",18.966,20.119,22.966,24.966
18,TT2,73.0,BESTEFFORT,COMPLETED,gpu,19.54,"{'cpu': 10.77, 'gpu': 1.143, 'CLOUD': 1.066}",19.54,20.683,23.04,24.79
19,TT1,379.0,BESTEFFORT,COMPLETED,cpu,20.504,"{'cpu': 1.181, 'gpu': 0.1, 'CLOUD': 0.106}",20.504,21.685000000000002,24.504,26.504
20,TT2,127.0,BESTEFFORT,COMPLETED,gpu,21.314,"{'cpu': 10.256, 'gpu': 1.004, 'CLOUD': 1.095}",22.542,23.546000000000003,24.814,26.564
21,TT2,177.0,BESTEFFORT,MISSED,cpu,22.542,"{'cpu': 11.192, 'gpu': 1.208, 'CLOUD': 1.04}",37.51499999999999,inf,26.042,27.792
22,TT1,7.0,BESTEFFORT,COMPLETED,cpu,23.821,"{'cpu': 1.264, 'gpu': 0.11, 'CLOUD': 0.11}",23.821,25.085,27.821,29.821
23,TT1,7.0,BESTEFFORT,COMPLETED,cpu,25.264,"{'cpu': 1.306, 'gpu': 0.136, 'CLOUD': 0.11}",25.264,26.57,29.264,31.264
24,TT2,99.0,BESTEFFORT,COMPLETED,gpu,25.548,"{'cpu': 13.208, 'gpu': 1.279, 'CLOUD': 1.072}",25.548,26.826999999999998,29.048,30.798
25,TT1,7.0,BESTEFFORT,COMPLETED,gpu,25.602,"{'cpu': 1.295, 'gpu': 0.105, 'CLOUD': 0.115}",26.826999999999998,26.932,29.602,31.602
26,TT1,16.0,BESTEFFORT,COMPLETED,cpu,27.65,"{'cpu': 1.329, 'gpu': 0.108, 'CLOUD': 0.11}",27.65,28.979,31.65,33.65
27,TT1,59.0,BESTEFFORT,COMPLETED,cpu,28.058,"{'cpu': 1.278, 'gpu': 0.129, 'CLOUD': 0.112}",28.979,30.256999999999998,32.058,34.058
28,TT1,49.0,BESTEFFORT,COMPLETED,gpu,28.581,"{'cpu': 1.038, 'gpu': 0.119, 'CLOUD': 0.105}",28.581,28.7,32.581,34.581
29,TT2,152.0,BESTEFFORT,COMPLETED,gpu,31.454,"{'cpu': 10.427, 'gpu': 1.185, 'CLOUD': 1.005}",31.454,32.639,34.954,36.704
30,TT2,75.0,BESTEFFORT,COMPLETED,gpu,33.423,"{'cpu': 11.577, 'gpu': 1.335, 'CLOUD': 1.021}",33.423,34.758,36.923,38.673
31,TT2,165.0,BESTEFFORT,COMPLETED,gpu,33.975,"{'cpu': 12.766, 'gpu': 1.186, 'CLOUD': 1.08}",34.758,35.944,37.475,39.225
32,TT1,498.0,BESTEFFORT,COMPLETED,cpu,36.224,"{'cpu': 1.291, 'gpu': 0.128, 'CLOUD': 0.116}",36.224,37.51499999999999,40.224,42.224
33,TT2,196.0,BESTEFFORT,XCOMPLETED,gpu,37.121,"{'cpu': 10.274, 'gpu': 1.142, 'CLOUD': 1.048}",41.221,42.363,40.621,42.371
34,TT2,215.0,BESTEFFORT,COMPLETED,gpu,39.51,"{'cpu': 12.34, 'gpu': 1.173, 'CLOUD': 1.025}",39.51,40.683,43.01,44.76
35,TT1,13.0,BESTEFFORT,COMPLETED,cpu,41.013,"{'cpu': 1.056, 'gpu': 0.108, 'CLOUD': 0.117}",41.013,42.068999999999996,45.013,47.013
36,TT1,6.0,BESTEFFORT,COMPLETED,cpu,41.071,"{'cpu': 1.011, 'gpu': 0.137, 'CLOUD': 0.111}",42.068999999999996,43.08,45.071,47.071
37,TT2,142.0,BESTEFFORT,MISSED,gpu,41.221,"{'cpu': 12.441, 'gpu': 1.064, 'CLOUD': 1.079}",50.575,inf,44.721,46.471
38,TT2,102.0,BESTEFFORT,COMPLETED,gpu,45.147,"{'cpu': 13.104, 'gpu': 1.119, 'CLOUD': 1.012}",45.147,46.266,48.647,50.397
39,TT1,44.0,BESTEFFORT,COMPLETED,cpu,46.483,"{'cpu': 1.018, 'gpu': 0.124, 'CLOUD': 0.115}",46.483,47.501,50.483,52.483
40,TT2,127.0,BESTEFFORT,COMPLETED,gpu,46.83,"{'cpu': 13.29, 'gpu': 1.118, 'CLOUD': 1.089}",46.83,47.948,50.33,52.08
41,TT1,95.0,BESTEFFORT,COMPLETED,cpu,47.602,"{'cpu': 1.008, 'gpu': 0.122, 'CLOUD': 0.1}",47.602,48.61,51.602,53.602
42,TT1,559.0,BESTEFFORT,COMPLETED,cpu,49.862,"{'cpu': 1.222, 'gpu': 0.13, 'CLOUD': 0.118}",49.862,51.084,53.862,55.862
43,TT1,59.0,BESTEFFORT,COMPLETED,cpu,49.97,"{'cpu': 1.193, 'gpu': 0.114, 'CLOUD': 0.114}",51.084,52.277,53.97,55.97
