id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT2,165.0,BESTEFFORT,COMPLETED,gpu,0.061,"{'cpu': 11.746, 'gpu': 1.402, 'CLOUD': 1.039}",0.061,1.4629999999999999,15.061,22.561
2,TT2,103.0,BESTEFFORT,COMPLETED,gpu,0.295,"{'cpu': 10.236, 'gpu': 1.385, 'CLOUD': 1.223}",1.4629999999999999,2.848,15.295,22.795
3,TT2,113.0,BESTEFFORT,COMPLETED,cpu,0.649,"{'cpu': 10.283, 'gpu': 1.341, 'CLOUD': 1.116}",0.649,10.931999999999999,15.649000000000001,23.149
4,TT2,142.0,BESTEFFORT,MISSED,cpu,1.275,"{'cpu': 13.224, 'gpu': 1.399, 'CLOUD': 1.231}",10.931999999999999,inf,16.275,23.775
5,TT2,77.0,BESTEFFORT,COMPLETED,gpu,2.416,"{'cpu': 16.293, 'gpu': 1.615, 'CLOUD': 1.21}",2.848,4.463,17.416,24.916
6,TT2,133.0,BESTEFFORT,COMPLETED,gpu,2.476,"{'cpu': 13.983, 'gpu': 1.139, 'CLOUD': 1.2}",4.463,5.602,17.476,24.976
7,TT2,140.0,BESTEFFORT,COMPLETED,gpu,2.724,"{'cpu': 14.95, 'gpu': 1.52, 'CLOUD': 1.173}",5.602,7.122,17.724,25.224
8,TT2,242.0,BESTEFFORT,COMPLETED,gpu,2.824,"{'cpu': 10.745, 'gpu': 1.444, 'CLOUD': 1.167}",7.122,8.565999999999999,17.823999999999998,25.323999999999998
9,TT2,148.0,BESTEFFORT,MISSED,cpu,3.61,"{'cpu': 11.443, 'gpu': 1.091, 'CLOUD': 1.038}",23.775,inf,18.61,26.11
10,TT2,112.0,BESTEFFORT,COMPLETED,gpu,3.917,"{'cpu': 10.995, 'gpu': 1.376, 'CLOUD': 1.143}",8.565999999999999,9.941999999999998,18.917,26.417
11,TT2,263.0,BESTEFFORT,COMPLETED,gpu,5.194,"{'cpu': 12.387, 'gpu': 1.011, 'CLOUD': 1.268}",9.941999999999998,10.952999999999998,20.194,27.694
12,TT2,261.0,BESTEFFORT,COMPLETED,gpu,6.212,"{'cpu': 12.018, 'gpu': 1.311, 'CLOUD': 1.22}",10.952999999999998,12.263999999999998,21.212,28.712
13,TT2,206.0,BESTEFFORT,COMPLETED,gpu,6.436,"{'cpu': 11.653, 'gpu': 1.114, 'CLOUD': 1.011}",12.475,13.589,21.436,28.936
