Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,1.8,15.9,0,823,40.5607922222
1,1000,1000,0,0,1.3,17.1,0,816,40.6691544444
2,1000,1000,0,0,1.7,14.7,0,836,40.5533672222
3,1000,1000,0,0,1.2,16.7,0,821,40.5106911111
4,1000,1000,0,0,2.6,13.9,0,835,40.49623
5,1000,999,0,0,1.3,15.7,0,829,40.45782
6,1000,1000,0,0,1.4,16.8,0,818,40.6066755556
7,1000,1000,0,0,1.8,16.9,0,813,40.5416455556
8,1000,1000,0,0,1.5,16.8,0,817,40.6822022222
9,1000,1000,0,0,1.4,16.6,0,820,40.6626488889
10,1000,1000,0,0,0.8,16.3,0,829,40.4452977778
11,1000,1000,0,0,1.3,14.5,0,842,40.5777222222
12,1000,1000,0,0,1.2,18.1,0,807,40.5571022222
13,1000,1000,0,0,1.3,16.9,0,818,40.5859933333
14,1000,999,0,0,1.5,16.9,0,815,40.4507222222
15,1000,1000,0,0,1.6,15.9,0,825,40.4968338889
16,1000,1000,0,0,0.9,16.5,0,826,40.44868
17,1000,999,0,0,2,16.8,0,811,40.6251533333
18,1000,1000,0,0,1.9,17.4,0,807,40.6356966667
19,1000,1000,0,0,0.9,16.3,0,828,40.7049966667
20,1000,1000,0,0,1.3,16.4,0,823,40.8005766667
21,1000,1000,0,0,1.8,16.1,0,821,40.4823644444
22,1000,1000,0,0,1.6,14.7,0,837,40.6773227778
23,1000,1000,0,0,0.9,15.1,0,840,40.4950855556
24,1000,1000,0,0,1.2,16.7,0,821,40.7558038889
25,1000,1000,0,0,2,16.1,0,819,40.6083755556
26,1000,1000,0,0,0.9,18.2,0,809,40.6229011111
27,1000,999,0,0,0.7,15.3,0,839,40.5611388889
28,1000,1000,0,0,2.1,16.2,0,817,40.4910655556
29,1000,999,0,0,1.7,15.3,0,829,40.64617
,,,,,,,,,
,,,,,,,,,
,,,,,1.4533333333,16.2266666667,,,
,,,,,,,,,
,,,,,17.68,,,,
