id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,498.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 1.206, 'gpu': 0.13, 'CLOUD': 0.109}",0.0,0.13,4.0,6.0
2,TT2,140.0,BESTEFFORT,COMPLETED,gpu,0.892,"{'cpu': 12.188, 'gpu': 1.19, 'CLOUD': 1.016}",0.892,2.082,4.392,6.142
3,TT2,118.0,BESTEFFORT,COMPLETED,gpu,2.862,"{'cpu': 12.591, 'gpu': 1.301, 'CLOUD': 1.044}",2.862,4.163,6.362,8.112
4,TT2,150.0,BESTEFFORT,COMPLETED,gpu,3.092,"{'cpu': 11.37, 'gpu': 1.223, 'CLOUD': 1.014}",4.163,5.386,6.5920000000000005,8.342
5,TT2,113.0,BESTEFFORT,MISSED,cpu,3.267,"{'cpu': 10.487, 'gpu': 1.346, 'CLOUD': 1.076}",3.267,inf,6.7669999999999995,8.517
6,TT2,94.0,BESTEFFORT,MISSED,cpu,3.281,"{'cpu': 10.562, 'gpu': 1.223, 'CLOUD': 1.042}",8.517,inf,6.781000000000001,8.531
7,TT2,130.0,BESTEFFORT,COMPLETED,gpu,3.349,"{'cpu': 11.495, 'gpu': 1.279, 'CLOUD': 1.019}",5.386,6.665,6.849,8.599
8,TT2,51.0,BESTEFFORT,XCOMPLETED,gpu,4.415,"{'cpu': 12.347, 'gpu': 1.09, 'CLOUD': 1.066}",7.9319999999999995,9.022,7.915,9.665
9,TT1,387.0,BESTEFFORT,COMPLETED,gpu,4.862,"{'cpu': 1.301, 'gpu': 0.124, 'CLOUD': 0.106}",6.665,6.789,8.862,10.862
10,TT2,118.0,BESTEFFORT,COMPLETED,gpu,4.95,"{'cpu': 10.765, 'gpu': 1.019, 'CLOUD': 1.023}",6.789,7.808,8.45,10.2
11,TT1,498.0,BESTEFFORT,COMPLETED,gpu,5.26,"{'cpu': 1.039, 'gpu': 0.124, 'CLOUD': 0.109}",7.808,7.9319999999999995,9.26,11.26
12,TT2,109.0,BESTEFFORT,MISSED,cpu,7.137,"{'cpu': 12.964, 'gpu': 1.277, 'CLOUD': 1.04}",9.849,inf,10.637,12.387
13,TT1,7.0,BESTEFFORT,COMPLETED,gpu,7.286,"{'cpu': 1.314, 'gpu': 0.101, 'CLOUD': 0.107}",9.022,9.123000000000001,11.286,13.286
14,TT1,559.0,BESTEFFORT,COMPLETED,cpu,7.303,"{'cpu': 1.318, 'gpu': 0.112, 'CLOUD': 0.104}",8.531,9.849,11.303,13.303
15,TT2,132.0,BESTEFFORT,XCOMPLETED,gpu,7.544,"{'cpu': 10.133, 'gpu': 1.32, 'CLOUD': 1.08}",10.142000000000001,11.462000000000002,11.044,12.794
16,TT2,97.0,BESTEFFORT,COMPLETED,gpu,7.79,"{'cpu': 10.96, 'gpu': 1.019, 'CLOUD': 1.031}",9.123000000000001,10.142000000000001,11.29,13.04
17,TT2,148.0,BESTEFFORT,MISSED,cpu,8.149,"{'cpu': 12.394, 'gpu': 1.239, 'CLOUD': 1.084}",12.387,inf,11.649,13.399
18,TT2,235.0,BESTEFFORT,MISSED,gpu,8.408,"{'cpu': 13.386, 'gpu': 1.204, 'CLOUD': 1.069}",12.591000000000001,inf,11.908,13.658
19,TT2,161.0,BESTEFFORT,XCOMPLETED,gpu,8.58,"{'cpu': 11.449, 'gpu': 1.129, 'CLOUD': 1.016}",11.462000000000002,12.591000000000001,12.08,13.83
20,TT2,221.0,BESTEFFORT,MISSED,cpu,8.867,"{'cpu': 11.297, 'gpu': 1.06, 'CLOUD': 1.044}",13.399,inf,12.367,14.117
