Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,4.7,43.8,0,515,40.4719011111
1,1000,1000,0,0,8.8,37.5,0,537,40.7369438889
2,1000,1000,0,0,5,43.9,0,511,40.6579666667
3,1000,1000,0,0,4.2,43.1,0,527,40.5705433333
4,1000,1000,0,0,3.4,42.3,0,543,40.6095388889
5,1000,1000,0,0,3.6,42.9,0,535,40.7229555556
6,1000,1000,0,0,4.2,42.7,0,531,40.6263977778
7,1000,1000,0,0,5.4,40.2,0,544,40.5463544444
8,1000,1000,0,0,6.1,39.4,0,545,40.5763244444
9,1000,1000,0,0,2.5,45.5,0,520,40.6681455556
10,1000,1000,0,0,5.9,40.9,0,532,40.4926511111
11,1000,1000,0,0,4.1,42.6,0,533,40.6557538889
12,1000,1000,0,0,5.4,42.5,0,521,40.6161688889
13,1000,1000,0,0,9.6,39.1,0,513,40.5120677778
14,1000,1000,0,0,5.1,43,0,519,40.5950766667
15,1000,1000,0,0,5.2,40.3,0,545,40.4640455556
16,1000,1000,0,0,4.3,43.9,0,518,40.5798011111
17,1000,1000,0,0,3.1,45.2,0,517,40.7340777778
18,1000,1000,0,0,4.9,42.5,0,526,40.49761
19,1000,1000,0,0,4.4,42,0,536,40.6026388889
20,1000,1000,0,0,5.9,42.5,0,516,40.7049122222
21,1000,1000,0,0,3.8,44.7,0,515,40.5424588889
22,1000,1000,0,0,4.7,45,0,503,40.6086733333
23,1000,1000,0,0,3.3,40.6,0,561,40.5616777778
24,1000,1000,0,0,4.6,45.6,0,498,40.5579733333
25,1000,1000,0,0,5.7,42.3,0,520,40.5844722222
26,1000,1000,0,0,4.4,41.8,0,538,40.7715938889
27,1000,1000,0,0,4.1,41.5,0,544,40.6222888889
28,1000,1000,0,0,6.3,39.9,0,538,40.6831655556
29,1000,1000,0,0,4,43.8,0,522,40.7430788889
,,,,,,,,,
,,,,,,,,,
,,,,,4.89,42.3666666667,,,
,,,,,,,,,
,,,,,47.2566666667,,,,
