Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,3,45.9,0,511,40.4741116667
1,1000,1000,0,0,9.1,38,0,529,40.6629911111
2,1000,1000,0,0,3.5,46.2,0,503,40.5332066667
3,1000,999,0,0,3.4,44.3,0,522,40.7058922222
4,1000,1000,0,0,3.4,43.7,0,529,40.5751155556
5,1000,1000,0,0,3.2,44.7,0,521,40.7306761111
6,1000,1000,0,0,3.2,44.4,0,524,40.7201744444
7,1000,1000,0,0,5.2,42.4,0,524,40.7232044444
8,1000,1000,0,0,3.8,42.6,0,536,40.5627755556
9,1000,1000,0,0,1.6,47,0,514,40.7291455556
10,1000,1000,0,0,3,43.2,0,538,40.6017955556
11,1000,1000,0,0,3.2,44.3,0,525,40.6728561111
12,1000,1000,0,0,7.3,41.3,0,514,40.7834922222
13,1000,1000,0,0,7.4,40.4,0,522,40.544855
14,1000,1000,0,0,4.1,44.5,0,514,40.7021172222
15,1000,999,0,0,4,42.5,0,534,40.5099544444
16,1000,1000,0,0,3,45.9,0,511,40.6047722222
17,1000,1000,0,0,3,45.2,0,518,40.7709855556
18,1000,999,0,0,4.3,43.7,0,519,40.5106116667
19,1000,1000,0,0,2.8,44.4,0,528,40.6710427778
20,1000,1000,0,0,3.2,45.7,0,511,40.6470022222
21,1000,1000,0,0,2.6,46.1,0,513,40.5461883333
22,1000,1000,0,0,4.2,46.2,0,496,40.6788388889
23,1000,1000,0,0,4.5,40.6,0,549,40.5672177778
24,1000,999,0,0,2.7,47.4,0,498,40.6199066667
25,1000,1000,0,0,2.5,45.2,0,523,40.6488905556
26,1000,1000,0,0,3.6,43.7,0,527,40.7605822222
27,1000,1000,0,0,5.1,41.1,0,538,40.6464788889
28,1000,1000,0,0,4.3,43.3,0,524,40.7128288889
29,1000,1000,0,0,3.7,44.9,0,514,40.8027811111
,,,,,,,,,
,,,,,,,,,
,,,,,3.93,43.96,,,
,,,,,,,,,
,,,,,47.89,,,,
