id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT2,171.0,BESTEFFORT,COMPLETED,gpu,0.643,"{'cpu': 12.042, 'gpu': 1.122, 'CLOUD': 1.084}",0.643,1.7650000000000001,4.143,5.893
2,TT2,120.0,BESTEFFORT,COMPLETED,gpu,1.21,"{'cpu': 10.915, 'gpu': 1.294, 'CLOUD': 1.026}",1.7650000000000001,3.059,4.71,6.46
3,TT2,218.0,BESTEFFORT,MISSED,cpu,1.429,"{'cpu': 13.468, 'gpu': 1.12, 'CLOUD': 1.189}",1.429,inf,4.929,6.679
4,TT2,326.0,BESTEFFORT,COMPLETED,gpu,2.408,"{'cpu': 13.826, 'gpu': 1.162, 'CLOUD': 1.058}",3.059,4.221,5.9079999999999995,7.6579999999999995
5,TT2,105.0,BESTEFFORT,MISSED,cpu,2.999,"{'cpu': 14.094, 'gpu': 1.111, 'CLOUD': 1.103}",6.679,inf,6.4990000000000006,8.249
6,TT2,141.0,BESTEFFORT,COMPLETED,gpu,3.012,"{'cpu': 13.051, 'gpu': 1.164, 'CLOUD': 1.02}",4.221,5.385,6.5120000000000005,8.262
7,TT2,133.0,BESTEFFORT,MISSED,gpu,3.196,"{'cpu': 12.261, 'gpu': 1.466, 'CLOUD': 1.132}",7.928999999999999,inf,6.696,8.446
8,TT2,201.0,BESTEFFORT,COMPLETED,gpu,3.2,"{'cpu': 12.48, 'gpu': 1.281, 'CLOUD': 1.0}",5.385,6.6659999999999995,6.7,8.45
9,TT2,260.0,BESTEFFORT,XCOMPLETED,gpu,3.341,"{'cpu': 12.974, 'gpu': 1.263, 'CLOUD': 1.002}",6.6659999999999995,7.928999999999999,6.841,8.591000000000001
10,TT2,119.0,BESTEFFORT,MISSED,cpu,4.284,"{'cpu': 13.451, 'gpu': 1.457, 'CLOUD': 1.189}",8.249,inf,7.784,9.533999999999999
11,TT1,49.0,BESTEFFORT,XCOMPLETED,gpu,4.476,"{'cpu': 2.269, 'gpu': 0.188, 'CLOUD': 0.145}",8.446,8.634,8.475999999999999,10.475999999999999
12,TT2,89.0,BESTEFFORT,MISSED,cpu,4.587,"{'cpu': 12.56, 'gpu': 1.431, 'CLOUD': 1.188}",9.533999999999999,inf,8.087,9.837
13,TT1,49.0,BESTEFFORT,XCOMPLETED,gpu,4.669,"{'cpu': 1.302, 'gpu': 0.192, 'CLOUD': 0.125}",8.634,8.826,8.669,10.669
14,TT2,179.0,BESTEFFORT,XCOMPLETED,gpu,4.815,"{'cpu': 13.439, 'gpu': 1.189, 'CLOUD': 1.129}",8.826,10.015,8.315000000000001,10.065000000000001
15,TT2,130.0,BESTEFFORT,MISSED,gpu,4.907,"{'cpu': 13.86, 'gpu': 1.459, 'CLOUD': 1.055}",10.015,inf,8.407,10.157
16,TT2,129.0,BESTEFFORT,MISSED,cpu,5.086,"{'cpu': 15.018, 'gpu': 1.411, 'CLOUD': 1.138}",9.837,inf,8.586,10.336
17,TT1,387.0,BESTEFFORT,XCOMPLETED,gpu,5.418,"{'cpu': 1.426, 'gpu': 0.247, 'CLOUD': 0.15}",10.157,10.404,9.418,11.418
18,TT2,68.0,BESTEFFORT,MISSED,cpu,5.582,"{'cpu': 10.644, 'gpu': 1.341, 'CLOUD': 1.135}",10.336,inf,9.082,10.832
19,TT2,92.0,BESTEFFORT,MISSED,gpu,5.957,"{'cpu': 14.007, 'gpu': 1.201, 'CLOUD': 1.098}",10.404,inf,9.457,11.207
20,TT2,213.0,BESTEFFORT,MISSED,cpu,6.402,"{'cpu': 12.975, 'gpu': 1.182, 'CLOUD': 1.13}",10.832,inf,9.902000000000001,11.652000000000001
21,TT2,88.0,BESTEFFORT,MISSED,gpu,6.45,"{'cpu': 11.067, 'gpu': 1.021, 'CLOUD': 1.192}",11.207,inf,9.95,11.7
22,TT2,228.0,BESTEFFORT,MISSED,cpu,6.951,"{'cpu': 12.227, 'gpu': 1.313, 'CLOUD': 1.113}",11.652000000000001,inf,10.451,12.201
23,TT2,285.0,BESTEFFORT,MISSED,gpu,7.391,"{'cpu': 10.814, 'gpu': 1.12, 'CLOUD': 1.14}",11.7,inf,10.891,12.641
24,TT2,130.0,BESTEFFORT,MISSED,cpu,7.474,"{'cpu': 12.758, 'gpu': 1.005, 'CLOUD': 1.047}",12.201,inf,10.974,12.724
25,TT2,117.0,BESTEFFORT,MISSED,gpu,7.517,"{'cpu': 13.858, 'gpu': 1.04, 'CLOUD': 1.135}",12.641,inf,11.017,12.767
26,TT1,157.0,BESTEFFORT,MISSED,cpu,7.612,"{'cpu': 1.223, 'gpu': 0.203, 'CLOUD': 0.137}",12.724,inf,11.612,13.612
27,TT1,120.0,BESTEFFORT,XCOMPLETED,gpu,7.718,"{'cpu': 1.957, 'gpu': 0.173, 'CLOUD': 0.194}",12.767,12.94,11.718,13.718
28,TT2,120.0,BESTEFFORT,MISSED,cpu,8.113,"{'cpu': 15.147, 'gpu': 1.163, 'CLOUD': 1.04}",13.612,inf,11.613,13.363
29,TT1,49.0,BESTEFFORT,XCOMPLETED,gpu,8.387,"{'cpu': 2.713, 'gpu': 0.27, 'CLOUD': 0.181}",13.131,13.401,12.387,14.387
30,TT1,44.0,BESTEFFORT,XCOMPLETED,gpu,8.73,"{'cpu': 1.844, 'gpu': 0.191, 'CLOUD': 0.163}",12.94,13.131,12.73,14.73
31,TT2,182.0,BESTEFFORT,MISSED,gpu,8.843,"{'cpu': 15.097, 'gpu': 1.112, 'CLOUD': 1.043}",13.538,inf,12.343,14.093
32,TT1,157.0,BESTEFFORT,COMPLETED,gpu,9.688,"{'cpu': 1.459, 'gpu': 0.137, 'CLOUD': 0.187}",13.401,13.538,13.688,15.688
33,TT2,84.0,BESTEFFORT,MISSED,gpu,10.091,"{'cpu': 14.279, 'gpu': 1.364, 'CLOUD': 1.166}",14.093,inf,13.591,15.341
34,TT2,203.0,BESTEFFORT,MISSED,cpu,10.136,"{'cpu': 13.222, 'gpu': 1.188, 'CLOUD': 1.005}",13.612,inf,13.636,15.386
35,TT2,86.0,BESTEFFORT,MISSED,cpu,10.443,"{'cpu': 11.453, 'gpu': 1.035, 'CLOUD': 1.006}",15.386,inf,13.943,15.693
36,TT2,300.0,BESTEFFORT,MISSED,gpu,10.722,"{'cpu': 13.624, 'gpu': 1.052, 'CLOUD': 1.017}",15.341,inf,14.222,15.972
37,TT2,134.0,BESTEFFORT,MISSED,gpu,11.725,"{'cpu': 12.975, 'gpu': 1.24, 'CLOUD': 1.112}",15.972,inf,15.225,16.975
38,TT2,98.0,BESTEFFORT,MISSED,cpu,11.893,"{'cpu': 15.001, 'gpu': 1.442, 'CLOUD': 1.087}",15.693,inf,15.393,17.143
39,TT2,226.0,BESTEFFORT,MISSED,cpu,12.162,"{'cpu': 11.993, 'gpu': 1.425, 'CLOUD': 1.002}",17.143,inf,15.662,17.412
