id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,13.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 1.818, 'gpu': 0.122, 'CLOUD': 0.118}",0.0,0.122,4.0,6.0
2,TT2,179.0,BESTEFFORT,COMPLETED,gpu,1.487,"{'cpu': 12.846, 'gpu': 1.162, 'CLOUD': 1.11}",1.487,2.649,16.487000000000002,23.987000000000002
3,TT2,158.0,BESTEFFORT,COMPLETED,cpu,1.946,"{'cpu': 12.775, 'gpu': 1.386, 'CLOUD': 1.002}",1.946,14.721,16.946,24.446
4,TT2,85.0,BESTEFFORT,COMPLETED,gpu,2.54,"{'cpu': 11.933, 'gpu': 1.069, 'CLOUD': 1.17}",2.649,3.718,17.54,25.04
5,TT2,168.0,BESTEFFORT,COMPLETED,gpu,2.597,"{'cpu': 11.552, 'gpu': 1.198, 'CLOUD': 1.037}",3.718,4.916,17.597,25.097
6,TT2,148.0,BESTEFFORT,XCOMPLETED,cpu,3.021,"{'cpu': 10.76, 'gpu': 1.29, 'CLOUD': 1.023}",14.721,25.481,18.021,25.521
7,TT2,162.0,BESTEFFORT,COMPLETED,gpu,3.324,"{'cpu': 11.197, 'gpu': 1.415, 'CLOUD': 1.074}",4.916,6.331,18.323999999999998,25.823999999999998
8,TT2,178.0,BESTEFFORT,COMPLETED,gpu,3.472,"{'cpu': 14.911, 'gpu': 1.495, 'CLOUD': 1.011}",6.331,7.8260000000000005,18.472,25.972
9,TT2,89.0,BESTEFFORT,COMPLETED,gpu,4.458,"{'cpu': 10.071, 'gpu': 1.211, 'CLOUD': 1.098}",7.8260000000000005,9.037,19.458,26.958
10,TT2,169.0,BESTEFFORT,COMPLETED,gpu,5.265,"{'cpu': 13.441, 'gpu': 1.367, 'CLOUD': 1.008}",9.037,10.404,20.265,27.765
11,TT2,127.0,BESTEFFORT,COMPLETED,gpu,5.595,"{'cpu': 12.369, 'gpu': 1.274, 'CLOUD': 1.122}",13.253,14.527000000000001,20.595,28.095
12,TT2,134.0,BESTEFFORT,COMPLETED,gpu,5.679,"{'cpu': 12.839, 'gpu': 1.491, 'CLOUD': 1.064}",10.404,11.895,20.679000000000002,28.179000000000002
13,TT2,158.0,BESTEFFORT,COMPLETED,gpu,5.737,"{'cpu': 10.358, 'gpu': 1.358, 'CLOUD': 1.139}",11.895,13.253,20.737000000000002,28.237000000000002
14,TT2,120.0,BESTEFFORT,COMPLETED,gpu,7.024,"{'cpu': 10.629, 'gpu': 1.423, 'CLOUD': 1.084}",14.527000000000001,15.950000000000001,22.024,29.524
15,TT2,152.0,BESTEFFORT,COMPLETED,gpu,7.547,"{'cpu': 12.669, 'gpu': 1.425, 'CLOUD': 1.151}",15.950000000000001,17.375,22.547,30.047
16,TT2,136.0,BESTEFFORT,MISSED,cpu,7.825,"{'cpu': 11.109, 'gpu': 1.408, 'CLOUD': 1.109}",25.481,inf,22.825,30.325
17,TT2,237.0,BESTEFFORT,COMPLETED,gpu,7.987,"{'cpu': 13.8, 'gpu': 1.221, 'CLOUD': 1.166}",18.693,19.914,22.987000000000002,30.487000000000002
18,TT1,7.0,BESTEFFORT,MISSED,gpu,8.336,"{'cpu': 2.675, 'gpu': 0.173, 'CLOUD': 0.18}",17.375,inf,12.336,14.336
19,TT2,89.0,BESTEFFORT,COMPLETED,gpu,8.341,"{'cpu': 14.264, 'gpu': 1.318, 'CLOUD': 1.006}",17.375,18.693,23.341,30.841
20,TT2,135.0,BESTEFFORT,XCOMPLETED,gpu,8.807,"{'cpu': 13.604, 'gpu': 1.427, 'CLOUD': 1.002}",25.092,26.519,23.807000000000002,31.307000000000002
21,TT2,212.0,BESTEFFORT,COMPLETED,gpu,9.161,"{'cpu': 14.937, 'gpu': 1.333, 'CLOUD': 1.031}",19.914,21.247,24.161,31.661
22,TT2,87.0,BESTEFFORT,COMPLETED,gpu,9.331,"{'cpu': 15.045, 'gpu': 1.217, 'CLOUD': 1.189}",21.247,22.464,24.331,31.831
23,TT2,219.0,BESTEFFORT,COMPLETED,gpu,9.431,"{'cpu': 15.017, 'gpu': 1.142, 'CLOUD': 1.094}",22.464,23.605999999999998,24.430999999999997,31.930999999999997
24,TT2,185.0,BESTEFFORT,XCOMPLETED,gpu,9.646,"{'cpu': 15.101, 'gpu': 1.486, 'CLOUD': 1.0}",23.605999999999998,25.092,24.646,32.146
25,TT1,120.0,BESTEFFORT,MISSED,cpu,9.654,"{'cpu': 1.68, 'gpu': 0.146, 'CLOUD': 0.109}",30.325,inf,13.654,15.654
26,TT2,220.0,BESTEFFORT,XCOMPLETED,gpu,9.657,"{'cpu': 14.301, 'gpu': 1.423, 'CLOUD': 1.136}",26.519,27.942,24.657,32.157
27,TT2,132.0,BESTEFFORT,MISSED,cpu,10.079,"{'cpu': 13.033, 'gpu': 1.382, 'CLOUD': 1.059}",33.079,inf,25.079,32.579
28,TT1,447.0,BESTEFFORT,MISSED,gpu,10.161,"{'cpu': 1.964, 'gpu': 0.165, 'CLOUD': 0.126}",27.942,inf,14.161,16.161
29,TT2,135.0,BESTEFFORT,MISSED,cpu,10.183,"{'cpu': 10.672, 'gpu': 1.182, 'CLOUD': 1.115}",30.325,inf,25.183,32.683
30,TT1,28.0,BESTEFFORT,MISSED,cpu,10.205,"{'cpu': 2.469, 'gpu': 0.234, 'CLOUD': 0.198}",32.683,inf,14.205,16.205
31,TT1,7.0,BESTEFFORT,MISSED,gpu,10.424,"{'cpu': 1.88, 'gpu': 0.133, 'CLOUD': 0.119}",30.473,inf,14.424,16.424
32,TT2,100.0,BESTEFFORT,MISSED,cpu,10.579,"{'cpu': 14.394, 'gpu': 1.343, 'CLOUD': 1.147}",32.683,inf,25.579,33.079
33,TT2,150.0,BESTEFFORT,MISSED,cpu,10.858,"{'cpu': 12.614, 'gpu': 1.195, 'CLOUD': 1.057}",36.518,inf,25.858,33.358000000000004
34,TT1,7.0,BESTEFFORT,MISSED,cpu,10.919,"{'cpu': 1.884, 'gpu': 0.166, 'CLOUD': 0.113}",33.079,inf,14.919,16.919
35,TT1,7.0,BESTEFFORT,MISSED,cpu,11.092,"{'cpu': 1.811, 'gpu': 0.108, 'CLOUD': 0.145}",33.079,inf,15.092,17.092
36,TT2,235.0,BESTEFFORT,MISSED,cpu,11.739,"{'cpu': 10.266, 'gpu': 1.491, 'CLOUD': 1.022}",33.079,inf,26.739,34.239000000000004
37,TT1,10.0,BESTEFFORT,MISSED,cpu,12.115,"{'cpu': 1.067, 'gpu': 0.251, 'CLOUD': 0.148}",34.239000000000004,inf,16.115000000000002,18.115000000000002
38,TT2,139.0,BESTEFFORT,MISSED,cpu,12.14,"{'cpu': 11.541, 'gpu': 1.187, 'CLOUD': 1.066}",34.239000000000004,inf,27.14,34.64
39,TT1,10.0,BESTEFFORT,MISSED,cpu,12.269,"{'cpu': 1.139, 'gpu': 0.195, 'CLOUD': 0.185}",34.64,inf,16.269,18.269
40,TT1,157.0,BESTEFFORT,MISSED,gpu,12.38,"{'cpu': 1.378, 'gpu': 0.116, 'CLOUD': 0.176}",34.294,inf,16.380000000000003,18.380000000000003
41,TT2,157.0,BESTEFFORT,MISSED,cpu,12.542,"{'cpu': 11.206, 'gpu': 1.309, 'CLOUD': 1.072}",34.64,inf,27.542,35.042
42,TT1,146.0,BESTEFFORT,MISSED,cpu,12.942,"{'cpu': 1.88, 'gpu': 0.124, 'CLOUD': 0.126}",35.042,inf,16.942,18.942
