Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
500,1000,924,0,0,0.6,0.8,1.4,0,910,6.658100000000156
501,1000,919,0,0,2.1,0.1,2.2,0,897,7.427138888888807
502,1000,915,0,0,1.4000000000000001,0.0,1.4000000000000001,0,901,6.726028888889024
503,1000,916,0,0,1.2,0.8999999999999999,2.0999999999999996,0,895,7.648271111110805
504,1000,917,0,0,1.9,0.2,2.1,0,896,7.30979444444424
505,1000,905,0,0,1.0,1.6,2.6,0,879,8.43547222222213
506,1000,941,0,0,2.5,0.2,2.7,0,914,7.534928888888892
507,1000,949,0,0,1.7999999999999998,1.0,2.8,0,921,8.693361111110931
508,1000,920,0,0,0.6,1.0999999999999999,1.6999999999999997,0,903,6.9645211111110665
509,1000,894,0,0,2.0,0.8,2.8,0,866,7.994487777777803
510,1000,935,0,0,1.3,0.7000000000000001,2.0,0,915,7.161045555555545
511,1000,923,0,0,1.2,0.4,1.6,0,907,6.745815555555145
512,1000,923,0,0,1.7999999999999998,1.2,3.0,0,893,8.593157777777716
513,1000,922,0,0,0.8,1.2,2.0,0,902,7.5929944444443676
514,1000,917,0,0,1.7999999999999998,0.6,2.4,0,893,7.585161111111017
515,1000,933,0,0,1.9,0.7000000000000001,2.6,0,907,7.807452222221856
516,1000,947,0,0,1.2,0.8,2.0,0,927,7.121973333333187
517,1000,922,0,0,1.7999999999999998,1.0999999999999999,2.8999999999999995,0,893,8.662326666666642
518,1000,931,0,0,1.6,0.8999999999999999,2.5,0,906,7.8303711111112895
519,1000,919,0,0,1.4000000000000001,0.6,2.0,0,899,7.008625555555548
520,1000,931,0,0,1.4000000000000001,0.6,2.0,0,911,7.218583333333328
521,1000,947,0,0,1.4000000000000001,0.8999999999999999,2.3,0,924,7.748403333333598
522,1000,924,0,0,1.0,0.6,1.6,0,908,6.8125844444443695
523,1000,923,0,0,1.9,0.8,2.7,0,896,8.132052222222308
524,1000,931,0,0,1.3,0.4,1.7000000000000002,0,914,6.127463333333161
525,1000,909,0,0,1.2,1.6,2.8,0,881,8.730899999999853
526,1000,924,0,0,1.7999999999999998,0.4,2.1999999999999997,0,902,7.090134444444541
527,1000,929,0,0,1.4000000000000001,1.0,2.4000000000000004,0,905,8.072340000000178
528,1000,923,0,0,1.3,0.4,1.7000000000000002,0,906,6.538418888888897
529,1000,934,0,0,1.9,0.6,2.5,0,909,8.685744444444554
